Period,CPUAvg, person,BaseOpenmrsObject:81
From 1528502513 to 1528502542,101.87,796,28780
From 1528502543 to 1528502573,100.6,827,25433
From 1528502574 to 1528502603,101.07,755,27219
From 1528502604 to 1528502633,101.93,777,27680
From 1528502634 to 1528502663,105.63,861,21499
From 1528502664 to 1528502693,100.87,782,23242
From 1528502694 to 1528502723,100.27,745,22959
From 1528502724 to 1528502753,99.43,722,22033
From 1528502754 to 1528502784,103.67,821,29894
From 1528502785 to 1528502814,105.17,795,28328
From 1528502815 to 1528502844,104.67,747,34262
From 1528502845 to 1528502874,101.03,838,23933
From 1528502875 to 1528502904,103.53,791,27584
From 1528502905 to 1528502934,104.2,757,24920
From 1528502935 to 1528502964,157.3,769,16909
From 1528502965 to 1528502995,102.23,805,35927
From 1528502996 to 1528503025,99.77,805,26594
From 1528503026 to 1528503055,105.53,749,29908
From 1528503056 to 1528503085,100.33,707,28097
From 1528503086 to 1528503115,101.13,786,26640
From 1528503116 to 1528503145,101.63,771,28764
From 1528503146 to 1528503175,97.2,766,22628
From 1528503176 to 1528503206,108.07,831,26457
From 1528503207 to 1528503236,104.6,796,36938
From 1528503237 to 1528503266,100.9,781,25697
From 1528503267 to 1528503296,104.43,778,34054
From 1528503297 to 1528503326,100.87,818,24248
From 1528503327 to 1528503356,108.4,790,37272
From 1528503357 to 1528503386,99.33,732,20701
From 1528503387 to 1528503417,101.93,719,30639
From 1528503418 to 1528503447,105.57,774,26547
From 1528503448 to 1528503477,100.2,795,27535
From 1528503478 to 1528503507,99.13,761,22566
From 1528503508 to 1528503537,104.63,786,29820
From 1528503538 to 1528503567,99.43,805,20276
From 1528503568 to 1528503597,109.8,774,25663
From 1528503598 to 1528503628,100.53,742,29003
From 1528503629 to 1528503658,98.43,853,17242
From 1528503659 to 1528503688,103.2,761,34815
From 1528503689 to 1528503718,99.4,738,21715
From 1528503719 to 1528503748,104.43,736,24348
From 1528503749 to 1528503778,97.9,739,26852
From 1528503779 to 1528503808,102.23,796,24200
From 1528503809 to 1528503838,104.83,742,36297
From 1528503839 to 1528503869,101.2,800,33252
From 1528503870 to 1528503899,105.9,778,25431
From 1528503900 to 1528503929,151.47,786,19693
From 1528503930 to 1528503959,99.6,759,24290
From 1528503960 to 1528503989,101.83,786,31616
From 1528503990 to 1528504019,106.67,832,24314
From 1528504020 to 1528504049,101.23,754,27896
From 1528504050 to 1528504080,98.8,733,25682
From 1528504081 to 1528504110,100.77,778,30403
From 1528504111 to 1528504140,96.3,784,14335
From 1528504141 to 1528504170,106.03,737,32869
From 1528504171 to 1528504200,103.37,790,30864
From 1528504201 to 1528504230,108.23,787,31709
From 1528504231 to 1528504260,100.7,792,21034
From 1528504261 to 1528504291,95.77,774,22697
From 1528504292 to 1528504321,102.1,783,29285
From 1528504322 to 1528504351,93.07,772,25542
From 1528504352 to 1528504381,109.67,722,26709
From 1528504382 to 1528504411,98.7,730,20572
From 1528504412 to 1528504441,101.77,736,30368
From 1528504442 to 1528504471,102.2,767,29068
From 1528504472 to 1528504502,103.77,816,24979
From 1528504503 to 1528504532,99.03,759,25150
From 1528504533 to 1528504562,93.57,761,20291
From 1528504563 to 1528504592,101.63,785,26577
From 1528504593 to 1528504622,96.9,758,23585
From 1528504623 to 1528504652,102.37,737,28331
From 1528504653 to 1528504682,106.47,840,29219
From 1528504683 to 1528504713,101.33,825,25125
From 1528504714 to 1528504743,95.97,706,23069
From 1528504744 to 1528504773,100.6,731,24499
From 1528504774 to 1528504803,106.97,746,30339
From 1528504804 to 1528504833,100.57,773,25705
From 1528504834 to 1528504863,100.33,795,20300
From 1528504864 to 1528504894,97.87,798,21767
From 1528504895 to 1528504924,105.83,803,27773
From 1528504925 to 1528504954,93.43,661,32846
From 1528504955 to 1528504984,102.03,756,34053
From 1528504985 to 1528505014,111.17,776,36203
From 1528505015 to 1528505044,100,822,28037
From 1528505045 to 1528505074,103.37,779,26424
From 1528505075 to 1528505105,98.8,755,26360
From 1528505106 to 1528505135,100.77,719,21005
From 1528505136 to 1528505165,100.33,778,22305
From 1528505166 to 1528505195,104.83,787,20301
From 1528505196 to 1528505225,99.97,732,26584
From 1528505226 to 1528505255,99.9,862,19874
From 1528505256 to 1528505286,103.17,795,30735
From 1528505287 to 1528505316,98.9,794,17088
From 1528505317 to 1528505346,107.5,751,30374
From 1528505347 to 1528505376,100.4,822,27604
From 1528505377 to 1528505406,110.1,789,16974
From 1528505407 to 1528505436,122.1,688,35299
From 1528505437 to 1528505466,96.6,594,20872
From 1528505467 to 1528505497,95.47,725,11374
From 1528505498 to 1528505527,99,789,22718
From 1528505528 to 1528505557,98.47,791,22705
From 1528505558 to 1528505587,101.73,768,27608
From 1528505588 to 1528505617,103.3,775,23095
From 1528505618 to 1528505647,104,794,35057
From 1528505648 to 1528505678,98.4,750,25400
From 1528505679 to 1528505708,98.5,784,30105
From 1528505709 to 1528505738,97.9,847,18076
From 1528505739 to 1528505768,104.13,785,22082
From 1528505769 to 1528505798,99.83,722,26556
From 1528505799 to 1528505828,99.4,711,26969
From 1528505829 to 1528505859,105,807,33041
From 1528505860 to 1528505889,106.6,771,27386
From 1528505890 to 1528505919,101.1,758,25920
From 1528505920 to 1528505949,102.33,844,28017
From 1528505950 to 1528505979,100.23,784,23210
From 1528505980 to 1528506009,110.07,733,35439
From 1528506010 to 1528506040,105.33,801,37925
From 1528506041 to 1528506070,103.4,800,30732
From 1528506071 to 1528506100,103.13,795,30648
From 1528506101 to 1528506130,105.2,756,25786
From 1528506131 to 1528506160,97.5,707,20535
From 1528506161 to 1528506190,98.67,778,18598
From 1528506191 to 1528506221,100.53,787,33559
From 1528506222 to 1528506251,100.8,757,24090
From 1528506252 to 1528506281,101.03,803,22648
From 1528506282 to 1528506311,103.4,741,33087
From 1528506312 to 1528506341,99.7,795,23162
From 1528506342 to 1528506371,96.43,737,22106
From 1528506372 to 1528506402,104.03,820,29279
From 1528506403 to 1528506432,99.77,809,18277
From 1528506433 to 1528506462,102.8,739,32919
From 1528506463 to 1528506492,94.27,695,19722
From 1528506493 to 1528506522,100.9,780,22038
From 1528506523 to 1528506552,103.7,754,26878
From 1528506553 to 1528506583,99.3,798,30945
From 1528506584 to 1528506613,103.97,779,28870
From 1528506614 to 1528506643,97.77,786,21207
From 1528506644 to 1528506673,101.77,792,25753
From 1528506674 to 1528506703,95.57,680,33049
From 1528506704 to 1528506733,108.23,830,20901
From 1528506734 to 1528506764,81.8,515,23782
From 1528506765 to 1528506794,70.13,435,13413
From 1528506795 to 1528506824,69.57,423,18133
From 1528506825 to 1528506854,77.7,476,18244
From 1528506855 to 1528506884,79.93,554,9819
From 1528506885 to 1528506915,97.93,725,33229
From 1528506916 to 1528506945,100.53,731,31325
From 1528506946 to 1528506975,98.7,801,26428
From 1528506976 to 1528507005,98.93,755,24699
From 1528507006 to 1528507035,94.5,802,20727
From 1528507036 to 1528507065,103.4,677,24614
From 1528507066 to 1528507096,85.63,655,19657
From 1528507097 to 1528507126,87.27,708,19879
From 1528507127 to 1528507156,86.73,670,30722
From 1528507157 to 1528507186,76.8,535,22976
From 1528507187 to 1528507216,72.3,501,25582
From 1528507217 to 1528507246,83.53,610,15905
From 1528507247 to 1528507276,102.33,714,28512
From 1528507277 to 1528507307,101.53,811,27909
From 1528507308 to 1528507337,98.67,710,31249
From 1528507338 to 1528507367,97.77,802,19242
From 1528507368 to 1528507397,107.43,793,30233
From 1528507398 to 1528507427,100.53,805,23300
From 1528507428 to 1528507457,93.3,670,31628
From 1528507458 to 1528507488,97.33,801,21150
From 1528507489 to 1528507518,99.13,848,22691
From 1528507519 to 1528507548,98.87,772,19502
From 1528507549 to 1528507578,106.83,765,28169
From 1528507579 to 1528507608,92.33,665,20929
From 1528507609 to 1528507638,103.57,744,29153
From 1528507639 to 1528507669,99.13,812,27726
From 1528507670 to 1528507699,98.43,757,22985
From 1528507700 to 1528507729,94.03,796,13660
From 1528507730 to 1528507759,104.63,752,28396
From 1528507760 to 1528507789,96.23,799,24251
From 1528507790 to 1528507819,95.1,785,14668
From 1528507820 to 1528507849,100.4,826,25880
From 1528507850 to 1528507880,100.97,813,20748
From 1528507881 to 1528507910,99.93,738,23493
From 1528507911 to 1528507940,105.6,685,39340
From 1528507941 to 1528507970,97.77,764,21090
From 1528507971 to 1528508000,99.63,777,22179
From 1528508001 to 1528508030,103.8,754,32378
From 1528508031 to 1528508061,99.23,792,25027
From 1528508062 to 1528508091,60.27,388,27649
From 1528508092 to 1528508121,71.2,554,22266
From 1528508122 to 1528508151,86.27,715,18687
From 1528508152 to 1528508181,98.6,758,23451
From 1528508182 to 1528508211,97.33,787,23316
From 1528508212 to 1528508242,102.63,736,33524
From 1528508243 to 1528508272,97.6,748,27251
From 1528508273 to 1528508302,99.53,709,22113
From 1528508303 to 1528508332,97.07,735,19906
From 1528508333 to 1528508362,89.53,594,27378
From 1528508363 to 1528508392,77.37,532,13548
From 1528508393 to 1528508423,54.23,370,7278
From 1528508424 to 1528508453,65.03,467,19178
From 1528508454 to 1528508483,50.97,352,2439
From 1528508484 to 1528508513,54.9,383,14238
From 1528508514 to 1528508543,58.17,392,14634
From 1528508544 to 1528508573,59.8,366,16261
From 1528508574 to 1528508603,66.23,432,14026
From 1528508604 to 1528508634,97.63,790,29674
From 1528508635 to 1528508664,98.87,775,21995
From 1528508665 to 1528508694,93.77,754,21101
From 1528508695 to 1528508724,99.23,777,28375
From 1528508725 to 1528508754,96.07,764,18497
From 1528508755 to 1528508784,97.9,695,27665
From 1528508785 to 1528508815,87.43,666,19800
From 1528508816 to 1528508845,78.47,667,17754
From 1528508846 to 1528508875,87.97,685,22995
From 1528508876 to 1528508905,89.47,742,16950
From 1528508906 to 1528508935,105.77,732,32721
From 1528508936 to 1528508965,101.73,786,28757
From 1528508966 to 1528508996,101.87,761,30106
From 1528508997 to 1528509026,98.93,738,29574
From 1528509027 to 1528509056,100.67,801,19699
From 1528509057 to 1528509086,101.8,809,26602
From 1528509087 to 1528509116,97.07,744,17026
From 1528509117 to 1528509146,95.07,735,15082
From 1528509147 to 1528509177,106.47,725,32032
From 1528509178 to 1528509207,96.23,756,27067
From 1528509208 to 1528509237,103.07,776,31322
From 1528509238 to 1528509267,101.6,754,27488
From 1528509268 to 1528509297,101.93,801,28308
From 1528509298 to 1528509327,99.57,802,24261
From 1528509328 to 1528509357,103.2,733,25673
From 1528509358 to 1528509388,99.4,817,25939
From 1528509389 to 1528509418,100.83,808,24604
From 1528509419 to 1528509448,81.8,550,19608
From 1528509449 to 1528509478,99.87,733,29509
From 1528509479 to 1528509508,97.73,701,18680
From 1528509509 to 1528509538,99.77,745,23595
From 1528509539 to 1528509569,98.1,822,22980
From 1528509570 to 1528509599,94.93,730,21316
From 1528509600 to 1528509629,60.97,504,15651
From 1528509630 to 1528509659,99.77,782,20696
From 1528509660 to 1528509689,98.6,733,27578
From 1528509690 to 1528509719,104.93,780,27092
From 1528509720 to 1528509750,99.73,816,25665
From 1528509751 to 1528509780,98.23,806,20803
From 1528509781 to 1528509810,102.23,807,29709
From 1528509811 to 1528509840,95.7,668,23260
From 1528509841 to 1528509870,97.57,646,26286
From 1528509871 to 1528509900,98.6,789,23435
From 1528509901 to 1528509931,99.67,807,24302
From 1528509932 to 1528509961,98.43,722,24273
From 1528509962 to 1528509991,106.33,796,42419
From 1528509992 to 1528510021,104.43,736,23560
From 1528510022 to 1528510051,97.33,729,30443
From 1528510052 to 1528510081,100.43,734,26155
From 1528510082 to 1528510111,99.73,808,22355
From 1528510112 to 1528510142,101.6,789,31650
From 1528510143 to 1528510172,99.43,713,27213
From 1528510173 to 1528510202,99.37,718,19966
From 1528510203 to 1528510232,83.97,638,21007
From 1528510233 to 1528510262,81.1,601,26815
From 1528510263 to 1528510292,69.93,610,17955
From 1528510293 to 1528510323,98.77,818,25275
From 1528510324 to 1528510353,103.6,783,31070
From 1528510354 to 1528510383,99.97,773,24060
From 1528510384 to 1528510413,99.1,592,33625
From 1528510414 to 1528510443,39.03,174,9993
From 1528510444 to 1528510473,34.87,161,8775
From 1528510474 to 1528510504,45.1,351,7275
From 1528510505 to 1528510534,64.13,456,12463
From 1528510535 to 1528510564,47,282,9921
From 1528510565 to 1528510594,42.93,254,13692
From 1528510595 to 1528510624,62.3,381,15740
From 1528510625 to 1528510655,82.83,658,12433
From 1528510656 to 1528510685,100.77,729,29249
From 1528510686 to 1528510715,97.2,725,19694
From 1528510716 to 1528510746,98.2,742,26880
From 1528510747 to 1528510776,99.3,759,21848
From 1528510777 to 1528510806,98.03,786,21407
From 1528510807 to 1528510836,92.27,648,30351
From 1528510837 to 1528510866,86.07,667,32514
From 1528510867 to 1528510896,86.57,654,26819
From 1528510897 to 1528510926,80.03,599,25837
From 1528510927 to 1528510957,98.73,821,16192
From 1528510958 to 1528510987,102.8,817,31759
From 1528510988 to 1528511017,99.53,765,21882
From 1528511018 to 1528511047,104.1,745,21047
From 1528511048 to 1528511077,97.47,663,24830
From 1528511078 to 1528511107,103.27,787,32193
From 1528511108 to 1528511138,101.2,789,26872
From 1528511139 to 1528511168,97.07,795,16860
From 1528511169 to 1528511198,101.47,788,23059
From 1528511199 to 1528511228,105.33,745,24947
From 1528511229 to 1528511258,102.77,814,26226
From 1528511259 to 1528511288,99.3,743,20231
From 1528511289 to 1528511319,99.7,844,23835
From 1528511320 to 1528511349,98.9,760,21971
From 1528511350 to 1528511379,93.7,656,26300
From 1528511380 to 1528511409,98.43,720,17108
From 1528511410 to 1528511439,101.73,773,26172
From 1528511440 to 1528511469,102.93,750,28977
From 1528511470 to 1528511500,98.43,756,34323
From 1528511501 to 1528511530,102.93,788,17123
From 1528511531 to 1528511560,100.63,789,26432
From 1528511561 to 1528511590,106.93,765,31432
From 1528511591 to 1528511620,102.13,740,35986
From 1528511621 to 1528511650,101,769,28459
From 1528511651 to 1528511681,103.07,808,34800
From 1528511682 to 1528511711,98.67,786,15799
From 1528511712 to 1528511741,106.77,699,29965
From 1528511742 to 1528511771,100.03,691,25204
From 1528511772 to 1528511801,100.1,741,25697
From 1528511802 to 1528511831,95.73,654,27054
From 1528511832 to 1528511862,77.2,508,20410
From 1528511863 to 1528511892,45.3,265,13672
From 1528511893 to 1528511922,76.07,558,20543
From 1528511923 to 1528511952,73.73,554,14289
From 1528511953 to 1528511982,83.3,523,19939
From 1528511983 to 1528512012,73.6,513,17336
From 1528512013 to 1528512043,96.83,809,19633
From 1528512044 to 1528512073,96.27,694,31207
From 1528512074 to 1528512103,99.63,786,27195
From 1528512104 to 1528512133,97.9,782,23299
From 1528512134 to 1528512163,97.33,717,23262
From 1528512164 to 1528512193,100.33,715,23263
From 1528512194 to 1528512224,94.87,714,27235
From 1528512225 to 1528512254,95.37,730,27169
From 1528512255 to 1528512284,94.5,766,19364
From 1528512285 to 1528512314,99.1,763,21640
From 1528512315 to 1528512344,108.57,786,28152
From 1528512345 to 1528512374,101,773,26051
From 1528512375 to 1528512405,94.83,762,24705
From 1528512406 to 1528512435,102.07,789,23500
From 1528512436 to 1528512465,100.5,791,26802
From 1528512466 to 1528512495,109.57,781,35517
From 1528512496 to 1528512525,101.93,727,21325
From 1528512526 to 1528512555,98.87,702,26308
From 1528512556 to 1528512586,99.07,766,28597
From 1528512587 to 1528512616,99.87,774,24233
From 1528512617 to 1528512646,98.37,758,23059
From 1528512647 to 1528512676,109.63,671,28064
From 1528512677 to 1528512706,95.47,641,18589
From 1528512707 to 1528512736,97.4,657,21110
From 1528512737 to 1528512767,98.73,691,27234
From 1528512768 to 1528512797,103.2,735,34878
From 1528512798 to 1528512827,87.5,634,35597
From 1528512828 to 1528512857,107.27,806,26800
From 1528512858 to 1528512887,99.47,725,24712
From 1528512888 to 1528512917,99.5,697,27076
From 1528512918 to 1528512947,98.5,712,31173
From 1528512948 to 1528512978,102.5,815,22030
From 1528512979 to 1528513008,94.93,698,27877
From 1528513009 to 1528513038,97.8,777,19421
From 1528513039 to 1528513068,99.77,720,28386
From 1528513069 to 1528513098,105.87,761,35552
From 1528513099 to 1528513128,97.2,772,19510
From 1528513129 to 1528513159,100.4,799,27594
From 1528513160 to 1528513189,99.73,829,24567
From 1528513190 to 1528513219,95.2,789,11349
