Period,CPUAvg, person,BaseOpenmrsObject:81
From 1528498747 to 1528498776,99.97,784,26143
From 1528498777 to 1528498807,104.27,811,30991
From 1528498808 to 1528498837,103.33,833,25074
From 1528498838 to 1528498867,103.33,752,24509
From 1528498868 to 1528498897,107.93,771,39519
From 1528498898 to 1528498927,104.37,831,25876
From 1528498928 to 1528498957,104.13,755,32644
From 1528498958 to 1528498987,100.87,760,23644
From 1528498988 to 1528499017,119.67,738,29601
From 1528499018 to 1528499047,135.7,727,20009
From 1528499048 to 1528499077,102.9,788,32798
From 1528499078 to 1528499108,98.87,816,19722
From 1528499109 to 1528499138,100.93,800,27931
From 1528499139 to 1528499168,99.4,788,21784
From 1528499169 to 1528499198,105.13,752,33698
From 1528499199 to 1528499228,98.33,780,21671
From 1528499229 to 1528499258,102.67,840,24891
From 1528499259 to 1528499288,110.47,788,34562
From 1528499289 to 1528499318,98.3,732,23910
From 1528499319 to 1528499348,100.13,727,23084
From 1528499349 to 1528499378,101.47,756,32154
From 1528499379 to 1528499409,104.6,824,24509
From 1528499410 to 1528499439,100.5,772,23651
From 1528499440 to 1528499469,99.2,821,29477
From 1528499470 to 1528499499,100.03,765,27796
From 1528499500 to 1528499529,99.23,795,21200
From 1528499530 to 1528499559,106.2,738,29227
From 1528499560 to 1528499589,99.77,800,27219
From 1528499590 to 1528499619,101.5,790,35779
From 1528499620 to 1528499649,98.53,736,20352
From 1528499650 to 1528499679,106.37,705,24255
From 1528499680 to 1528499710,100.53,796,30130
From 1528499711 to 1528499740,97.73,829,16818
From 1528499741 to 1528499770,99.9,761,26987
From 1528499771 to 1528499800,99.77,803,22532
From 1528499801 to 1528499830,114.5,749,22339
From 1528499831 to 1528499860,92.07,726,27656
From 1528499861 to 1528499890,99.27,734,25159
From 1528499891 to 1528499921,102.7,859,28695
From 1528499922 to 1528499951,80.8,653,28286
From 1528499952 to 1528499981,105.67,836,25556
From 1528499982 to 1528500011,98.53,709,23226
From 1528500012 to 1528500041,100.23,703,29765
From 1528500042 to 1528500071,101.73,779,31564
From 1528500072 to 1528500101,100.17,793,20203
From 1528500102 to 1528500131,103.17,750,35323
From 1528500132 to 1528500162,95.83,848,16539
From 1528500163 to 1528500192,94.97,738,21920
From 1528500193 to 1528500222,145.33,674,19282
From 1528500223 to 1528500252,96.87,727,24019
From 1528500253 to 1528500282,100.67,834,21884
From 1528500283 to 1528500312,99.03,843,23784
From 1528500313 to 1528500342,107.07,765,28417
From 1528500343 to 1528500373,99.7,754,26676
From 1528500374 to 1528500403,97.83,758,27692
From 1528500404 to 1528500433,97.7,793,21704
From 1528500434 to 1528500463,93.83,730,21122
From 1528500464 to 1528500493,105.2,804,28705
From 1528500494 to 1528500523,104.1,766,35737
From 1528500524 to 1528500553,104.17,806,32581
From 1528500554 to 1528500584,102.5,774,29962
From 1528500585 to 1528500614,107.43,802,28651
From 1528500615 to 1528500644,98.5,828,22736
From 1528500645 to 1528500674,100,770,25294
From 1528500675 to 1528500704,102.5,732,30568
From 1528500705 to 1528500734,105.93,729,32647
From 1528500735 to 1528500764,99.3,802,24985
From 1528500765 to 1528500794,100.8,785,18941
From 1528500795 to 1528500825,98.23,811,25050
From 1528500826 to 1528500855,105.53,775,29828
From 1528500856 to 1528500885,104.8,775,33949
From 1528500886 to 1528500915,101.87,768,26543
From 1528500916 to 1528500945,103.93,843,24079
From 1528500946 to 1528500975,99.4,770,28569
From 1528500976 to 1528501005,101.77,779,25377
From 1528501006 to 1528501036,98.6,750,24230
From 1528501037 to 1528501066,101.43,725,25300
From 1528501067 to 1528501096,101.93,762,25332
From 1528501097 to 1528501126,106.4,784,23890
From 1528501127 to 1528501156,99.1,785,20399
From 1528501157 to 1528501186,101.8,804,28665
From 1528501187 to 1528501216,108.33,773,31338
From 1528501217 to 1528501247,99.07,762,25205
From 1528501248 to 1528501277,102.93,791,27282
From 1528501278 to 1528501307,100.9,814,22431
From 1528501308 to 1528501337,101.33,798,27729
From 1528501338 to 1528501367,99.87,755,21756
From 1528501368 to 1528501397,122.6,708,27960
From 1528501398 to 1528501427,140.93,802,23905
From 1528501428 to 1528501458,103.1,808,27199
From 1528501459 to 1528501488,99.2,763,24680
From 1528501489 to 1528501518,99.37,787,24544
From 1528501519 to 1528501548,100,813,24837
From 1528501549 to 1528501578,103.9,765,24218
From 1528501579 to 1528501608,99.57,767,23505
From 1528501609 to 1528501638,101.73,790,27521
From 1528501639 to 1528501669,99,752,32477
From 1528501670 to 1528501699,104.53,777,34650
From 1528501700 to 1528501729,100.33,744,26711
From 1528501730 to 1528501759,98.73,750,21180
From 1528501760 to 1528501789,96.23,751,24723
From 1528501790 to 1528501819,100.57,817,23496
From 1528501820 to 1528501849,100.43,798,24833
From 1528501850 to 1528501879,100.1,794,20891
From 1528501880 to 1528501910,114.1,836,20965
From 1528501911 to 1528501940,101.6,730,34390
From 1528501941 to 1528501970,98.47,760,29338
From 1528501971 to 1528502000,100.37,855,24927
From 1528502001 to 1528502030,100.37,773,23326
From 1528502031 to 1528502060,102.13,688,26703
From 1528502061 to 1528502090,97.63,730,29910
From 1528502091 to 1528502121,99.83,805,27428
From 1528502122 to 1528502151,100.53,786,25930
From 1528502152 to 1528502181,95.97,791,15505
From 1528502182 to 1528502211,104.5,774,36512
From 1528502212 to 1528502241,102.97,781,22753
From 1528502242 to 1528502271,103.23,768,29056
From 1528502272 to 1528502301,98.83,794,22623
From 1528502302 to 1528502332,99.63,847,29065
From 1528502333 to 1528502362,104.43,767,21918
From 1528502363 to 1528502392,99.37,749,20428
From 1528502393 to 1528502422,100.9,729,30124
From 1528502423 to 1528502452,102.57,781,30982
From 1528502453 to 1528502482,99,798,18940
From 1528502483 to 1528502512,106.5,767,25941
