BootstrapNum, LoggingLocation, p-value, EffectSize
1,ConceptServiceImpl.300,0.1106,negligible
2,ConceptServiceImpl.300,0.2896,negligible
3,ConceptServiceImpl.300,0.1353,negligible
4,ConceptServiceImpl.300,0.0686,negligible
5,ConceptServiceImpl.300,0.0417,negligible
6,ConceptServiceImpl.300,0.1301,negligible
7,ConceptServiceImpl.300,0.1245,negligible
8,ConceptServiceImpl.300,0.3054,negligible
9,ConceptServiceImpl.300,0.1823,negligible
10,ConceptServiceImpl.300,0.271,negligible
11,ConceptServiceImpl.300,0.1168,negligible
12,ConceptServiceImpl.300,0.2957,negligible
13,ConceptServiceImpl.300,0.1666,negligible
14,ConceptServiceImpl.300,0.066,negligible
15,ConceptServiceImpl.300,0.4328,negligible
16,ConceptServiceImpl.300,0.1053,negligible
17,ConceptServiceImpl.300,0.1591,negligible
18,ConceptServiceImpl.300,0.3948,negligible
19,ConceptServiceImpl.300,0.1405,negligible
20,ConceptServiceImpl.300,0.0989,negligible
21,ConceptServiceImpl.300,0.0624,negligible
22,ConceptServiceImpl.300,0.1171,negligible
23,ConceptServiceImpl.300,0.0785,negligible
24,ConceptServiceImpl.300,0.0541,negligible
25,ConceptServiceImpl.300,0.3492,negligible
26,ConceptServiceImpl.300,0.1002,negligible
27,ConceptServiceImpl.300,0.1123,negligible
28,ConceptServiceImpl.300,0.1189,negligible
29,ConceptServiceImpl.300,0.0271,negligible
30,ConceptServiceImpl.300,0.1082,negligible
31,ConceptServiceImpl.300,0.1843,negligible
32,ConceptServiceImpl.300,0.348,negligible
33,ConceptServiceImpl.300,0.1279,negligible
34,ConceptServiceImpl.300,0.102,negligible
35,ConceptServiceImpl.300,0.2603,negligible
36,ConceptServiceImpl.300,0.0952,negligible
37,ConceptServiceImpl.300,0.1726,negligible
38,ConceptServiceImpl.300,0.1542,negligible
39,ConceptServiceImpl.300,0.2298,negligible
40,ConceptServiceImpl.300,0.0927,negligible
41,ConceptServiceImpl.300,0.0744,negligible
42,ConceptServiceImpl.300,0.0857,negligible
43,ConceptServiceImpl.300,0.1857,negligible
44,ConceptServiceImpl.300,0.3355,negligible
45,ConceptServiceImpl.300,0.0797,negligible
46,ConceptServiceImpl.300,0.1505,negligible
47,ConceptServiceImpl.300,0.1195,negligible
48,ConceptServiceImpl.300,0.2956,negligible
49,ConceptServiceImpl.300,0.0513,negligible
50,ConceptServiceImpl.300,0.5272,negligible
51,ConceptServiceImpl.300,0.3512,negligible
52,ConceptServiceImpl.300,0.1862,negligible
53,ConceptServiceImpl.300,0.1328,negligible
54,ConceptServiceImpl.300,0.1675,negligible
55,ConceptServiceImpl.300,0.0856,negligible
56,ConceptServiceImpl.300,0.0653,negligible
57,ConceptServiceImpl.300,0.0915,negligible
58,ConceptServiceImpl.300,0.5311,negligible
59,ConceptServiceImpl.300,0.3338,negligible
60,ConceptServiceImpl.300,0.1179,negligible
61,ConceptServiceImpl.300,0.1257,negligible
62,ConceptServiceImpl.300,0.2894,negligible
63,ConceptServiceImpl.300,0.4442,negligible
64,ConceptServiceImpl.300,0.2956,negligible
65,ConceptServiceImpl.300,0.212,negligible
66,ConceptServiceImpl.300,0.197,negligible
67,ConceptServiceImpl.300,0.3849,negligible
68,ConceptServiceImpl.300,0.1471,negligible
69,ConceptServiceImpl.300,0.1513,negligible
70,ConceptServiceImpl.300,0.0746,negligible
71,ConceptServiceImpl.300,0.1085,negligible
72,ConceptServiceImpl.300,0.2695,negligible
73,ConceptServiceImpl.300,0.1068,negligible
74,ConceptServiceImpl.300,0.1535,negligible
75,ConceptServiceImpl.300,0.1183,negligible
76,ConceptServiceImpl.300,0.1413,negligible
77,ConceptServiceImpl.300,0.1806,negligible
78,ConceptServiceImpl.300,0.0661,negligible
79,ConceptServiceImpl.300,0.172,negligible
80,ConceptServiceImpl.300,0.1862,negligible
81,ConceptServiceImpl.300,0.2823,negligible
82,ConceptServiceImpl.300,0.0628,negligible
83,ConceptServiceImpl.300,0.1295,negligible
84,ConceptServiceImpl.300,0.1464,negligible
85,ConceptServiceImpl.300,0.3029,negligible
86,ConceptServiceImpl.300,0.0873,negligible
87,ConceptServiceImpl.300,0.0718,negligible
88,ConceptServiceImpl.300,0.1536,negligible
89,ConceptServiceImpl.300,0.2081,negligible
90,ConceptServiceImpl.300,0.1472,negligible
91,ConceptServiceImpl.300,0.2487,negligible
92,ConceptServiceImpl.300,0.3161,negligible
93,ConceptServiceImpl.300,0.1109,negligible
94,ConceptServiceImpl.300,0.1417,negligible
95,ConceptServiceImpl.300,0.067,negligible
96,ConceptServiceImpl.300,0.1257,negligible
97,ConceptServiceImpl.300,0.1929,negligible
98,ConceptServiceImpl.300,0.0953,negligible
99,ConceptServiceImpl.300,0.2835,negligible
100,ConceptServiceImpl.300,0.0506,negligible
