Period, CPUAvg, person,obs,encounter,concept,
From 193378 To 193408,54.27,278,4,10,10,
From 193408 To 193438,67.3,353,13,7,9,
From 193478 To 193508,48.13,267,9,6,6,
From 193508 To 193538,56.93,306,10,7,9,
From 193578 To 193608,63.73,342,9,9,11,
From 193608 To 193638,49.97,261,8,12,7,
From 193678 To 193708,65.07,351,10,7,11,
From 193708 To 193738,57.23,311,9,6,11,
From 193778 To 193808,62.23,306,8,9,6,
From 193809 To 193839,57.03,297,8,11,10,
From 193879 To 193909,55.8,287,11,7,10,
From 193909 To 193939,58.8,308,6,7,11,
From 193979 To 194009,43.93,256,6,8,11,
From 194009 To 194039,64.4,325,11,6,5,
From 194079 To 194109,61.83,320,8,13,6,
From 194109 To 194139,48.13,281,9,13,8,
From 194179 To 194209,59.13,309,7,9,11,
From 194209 To 194239,64.93,300,9,9,9,
From 194279 To 194309,53.43,276,15,4,4,
From 194310 To 194340,59.6,318,6,8,13,
From 194380 To 194410,70.37,331,10,9,8,
From 194410 To 194440,58.9,291,4,8,13,
From 194480 To 194510,53.5,299,10,10,6,
From 194510 To 194540,66.47,326,6,7,10,
From 194580 To 194610,62.53,301,5,8,10,
From 194610 To 194640,49.0,289,10,8,8,
From 194680 To 194710,73.87,340,7,10,6,
From 194710 To 194740,49.23,263,10,7,9,
From 194780 To 194810,52.07,284,6,12,7,
From 194810 To 194840,63.63,354,13,9,13,
From 194881 To 194911,47.93,265,6,10,7,
From 194911 To 194941,65.03,346,11,6,7,
From 194981 To 195011,61.93,316,9,13,7,
From 195011 To 195041,61.9,307,9,3,9,
From 195081 To 195111,57.97,297,11,4,11,
From 195111 To 195141,48.0,289,11,8,11,
From 195181 To 195211,59.9,315,10,11,10,
From 195211 To 195241,52.4,288,7,13,8,
From 195281 To 195311,64.27,299,7,8,5,
From 195311 To 195341,62.67,315,10,6,9,
From 195382 To 195412,51.17,298,7,12,8,
From 195412 To 195442,56.97,311,4,9,13,
From 195482 To 195512,61.27,322,10,7,7,
From 195512 To 195542,56.47,253,2,9,8,
From 195582 To 195612,67.57,370,8,10,10,
From 195612 To 195642,60.93,295,6,8,6,
From 195682 To 195712,60.23,305,17,8,7,
From 195712 To 195742,71.57,372,7,7,10,
From 195782 To 195812,69.43,301,9,9,5,
From 195812 To 195842,54.0,275,6,7,12,
From 195883 To 195913,65.33,360,9,16,11,
From 195913 To 195943,55.13,284,9,4,8,
From 199983 To 200013,58.63,298,6,7,12,
From 200013 To 200043,60.17,309,7,9,9,
From 200083 To 200113,60.2,317,9,7,7,
From 200113 To 200143,60.37,316,10,11,9,
From 200183 To 200213,58.37,311,5,13,8,
From 200213 To 200243,65.5,337,9,7,11,
From 200283 To 200313,57.57,329,11,10,8,
From 200313 To 200343,52.87,298,13,10,9,
From 200384 To 200414,49.57,271,7,9,7,
From 200414 To 200444,66.27,334,6,9,10,
From 200484 To 200514,48.73,273,7,5,14,
