Period, CPUAvg, person,concept,obs,encounter,
From 164320 To 164350,130.17,2467,64,75,63,
From 164390 To 164420,133.43,2452,71,66,85,
From 164420 To 164450,128.53,2417,71,82,68,
From 164490 To 164520,132.67,2466,71,87,70,
From 164520 To 164550,130.4,2451,66,77,68,
From 164590 To 164620,134.97,2390,68,65,62,
From 164620 To 164650,128.43,2422,72,60,72,
From 164690 To 164720,129.6,2513,54,77,86,
From 164721 To 164751,135.87,2532,69,74,61,
From 164791 To 164821,127.73,2418,86,50,67,
From 164821 To 164851,130.83,2431,73,67,75,
From 164891 To 164921,135.83,2461,72,74,69,
From 164921 To 164951,127.8,2457,79,68,74,
From 164991 To 165021,135.37,2403,70,88,57,
From 165021 To 165051,128.7,2459,74,83,71,
From 165091 To 165121,128.47,2449,69,68,83,
From 165121 To 165151,135.6,2411,73,78,58,
From 165191 To 165221,129.07,2408,62,64,63,
From 165222 To 165252,136.0,2520,86,65,64,
From 165292 To 165322,128.6,2409,62,59,77,
From 165322 To 165352,128.77,2432,70,78,77,
From 165392 To 165422,134.5,2450,66,61,72,
From 165422 To 165452,130.5,2421,75,73,54,
From 165492 To 165522,128.07,2429,61,73,77,
From 165522 To 165552,134.93,2415,75,88,59,
From 165592 To 165622,130.8,2422,68,76,57,
From 165622 To 165652,134.63,2421,72,65,69,
From 165693 To 165723,128.6,2451,76,64,73,
From 165723 To 165753,135.03,2459,86,67,77,
From 165793 To 165823,128.6,2401,72,63,57,
From 165823 To 165853,129.67,2364,77,67,66,
From 165893 To 165923,132.93,2392,71,83,63,
From 165923 To 165953,129.07,2421,65,79,58,
From 169993 To 170023,130.87,2409,78,51,77,
From 170023 To 170053,130.3,2362,74,61,73,
From 170093 To 170123,128.63,2414,64,67,68,
From 170124 To 170154,132.8,2560,78,70,98,
From 170194 To 170224,129.33,2369,72,42,67,
From 170224 To 170254,129.13,2385,76,63,58,
From 170294 To 170324,133.23,2367,68,64,62,
From 170324 To 170354,127.8,2423,75,81,69,
From 170394 To 170424,127.53,2399,65,78,74,
From 170424 To 170454,133.53,2376,57,67,67,
