 CPUAvg, ConceptServiceImpl:929,ConceptServiceImpl:300,ConceptServiceImpl:298
100.83,536,31,31
99.4,432,34,34
99.27,455,35,35
97.53,507,44,44
98.8,470,36,36
100.37,432,36,36
101.3,542,35,35
99.1,408,33,33
100.17,374,38,38
99.97,490,38,38
103.87,538,30,30
98.77,440,27,27
99.13,623,39,39
101.87,402,33,33
97.6,605,52,52
97.8,360,48,48
96.3,509,43,43
98.27,407,46,46
101.97,493,48,48
98.67,485,41,41
98.97,498,39,39
98.3,396,39,39
100.67,366,36,36
99.73,386,54,54
102.2,410,44,44
102.03,475,40,40
98.83,371,39,39
100.53,438,39,39
99.8,420,51,51
100.67,498,36,36
101.87,406,29,29
100.17,412,41,41
99.07,570,41,41
99.6,442,43,43
101.77,470,46,46
101.93,484,51,51
98.3,416,33,33
100.33,531,28,28
102.03,497,44,44
99.8,588,32,32
100.57,640,43,43
102.27,502,47,47
100.3,514,41,41
101.5,535,38,38
99.5,511,32,32
99.37,422,33,33
101.13,489,43,43
101.63,403,36,36
96.9,429,45,45
100.5,568,41,41
101.07,539,36,36
99.07,378,42,42
102.43,498,40,40
100.33,424,41,41
100.17,556,47,47
100.5,390,40,40
60.63,316,19,20
9.3,0,2,1
50.9,198,14,14
94.53,466,40,40
100.2,376,45,45
93.6,418,42,42
96.83,398,42,42
94.67,468,24,24
94.5,370,43,43
96.63,471,47,47
99.17,417,39,39
97.57,368,42,42
99.57,474,39,39
94.6,391,41,41
93.23,492,40,40
96.27,301,46,46
94.5,376,34,34
92.87,387,44,44
95.37,413,39,39
96.47,596,46,46
96.13,530,37,37
97.33,484,38,38
94.07,368,27,27
96.77,398,43,43
95.97,586,29,29
97.47,600,42,42
96.2,344,42,42
96.6,454,44,44
98.27,413,44,44
98.83,313,44,44
97.9,397,28,28
96.87,499,39,39
101.3,480,33,33
100,358,35,35
100.8,508,38,38
93.77,500,36,36
96.13,336,26,26
90.5,450,33,33
95.07,464,41,41
95.8,405,36,36
96.5,507,40,40
92.57,611,35,35
97.47,369,39,39
98.07,392,46,46
96.8,435,44,44
98.97,521,37,37
101.27,374,40,40
102.27,540,38,38
96.7,388,30,30
94.4,503,45,45
95.83,449,48,48
94.13,383,36,36
94.53,483,38,38
97.13,352,41,41
96.63,592,29,29
92.53,339,39,39
92.03,327,31,31
96.27,406,40,40
93.4,483,28,28
96.07,493,47,47
92.97,471,46,46
96.47,481,42,42
92.07,386,37,37
95.7,388,44,44
95.73,375,44,44
97.87,558,35,35
98.57,493,34,34
96.23,558,30,30
93.9,420,30,30
94.97,337,32,32
97,453,33,33
95.97,426,37,37
99.03,364,43,43
97.9,356,38,38
97.03,538,55,55
100.47,382,30,30
93.97,307,36,36
96.57,453,42,42
92.9,474,42,42
92.63,358,41,41
82.93,376,28,28
95.53,465,33,33
95.87,450,35,35
95.73,427,44,44
97.7,370,39,39
96.6,497,41,41
98.03,507,38,38
98.43,541,34,34
90.33,403,35,35
98.13,407,40,40
96.73,349,47,47
82.77,414,36,36
74.7,400,36,36
68.13,328,28,28
20.8,106,9,10
43.13,117,18,17
64.1,289,35,35
63.83,331,29,29
55.7,287,24,24
44.57,255,19,19
53.67,197,23,23
50.7,186,21,21
63.7,208,16,16
70.47,322,29,29
71.13,276,37,37
54.3,280,18,18
81.03,385,31,31
79.2,399,40,40
