Period, CPUAvg, person,concept,obs,encounter,
From 4924 To 4954,77.77,412,12,14,10,
From 4994 To 5024,97.83,575,18,17,15,
From 5024 To 5054,90.6,586,22,8,19,
From 5095 To 5125,75.23,456,13,9,14,
From 5125 To 5155,88.53,566,16,14,16,
From 5195 To 5225,86.3,551,16,18,10,
From 5225 To 5255,88.33,561,15,19,21,
From 5295 To 5325,98.47,648,15,19,19,
From 5325 To 5355,80.17,470,13,12,14,
From 5395 To 5425,94.5,518,14,11,13,
From 5426 To 5456,92.13,695,25,20,16,
From 5496 To 5526,65.2,308,14,7,12,
From 5526 To 5556,95.9,618,17,17,18,
From 5596 To 5626,79.33,522,15,10,15,
From 5626 To 5656,77.5,434,10,13,10,
From 5696 To 5726,84.2,544,13,13,19,
From 5726 To 5756,102.5,577,15,13,23,
From 5797 To 5827,77.1,427,11,11,15,
From 5827 To 5857,99.17,583,10,12,22,
From 5897 To 5927,102.17,658,18,23,14,
From 5927 To 5957,65.03,303,10,10,4,
From 9997 To 10027,92.9,689,27,24,14,
From 10027 To 10057,98.5,636,17,24,21,
From 10097 To 10127,56.67,247,5,8,7,
From 10128 To 10158,106.33,693,23,16,13,
From 10198 To 10228,91.4,649,16,21,25,
From 10228 To 10258,71.67,351,11,14,11,
From 10298 To 10328,99.97,605,15,16,14,
From 10328 To 10358,76.77,581,17,24,23,
From 10398 To 10428,74.2,381,7,15,8,
From 10428 To 10458,90.2,603,12,16,20,
From 10499 To 10529,86.17,640,17,19,19,
From 10529 To 10559,76.33,435,15,18,10,
From 10599 To 10629,85.4,462,11,18,14,
From 10629 To 10659,88.23,552,16,18,15,
From 10699 To 10729,78.9,448,14,14,12,
From 10729 To 10759,85.97,605,13,21,22,
From 10799 To 10829,90.8,629,17,19,23,
From 10870 To 10900,79.23,477,13,15,13,
From 10900 To 10930,98.1,602,13,19,17,
From 10970 To 11000,98.03,584,17,17,10,
From 11000 To 11030,67.67,378,11,9,15,
From 11070 To 11100,91.63,605,13,24,18,
From 11100 To 11130,92.2,574,18,17,17,
From 11171 To 11201,82.97,473,7,15,14,
From 11201 To 11231,79.63,492,9,15,14,
From 11271 To 11301,95.97,653,19,23,16,
From 11301 To 11331,67.47,309,3,11,11,
From 11371 To 11401,97.7,615,17,18,17,
From 11401 To 11431,90.87,561,18,18,12,
From 11471 To 11501,74.93,388,11,12,14,
From 11502 To 11532,100.87,603,18,20,18,
From 11572 To 11602,79.67,561,17,15,13,
From 11602 To 11632,86.2,502,11,16,17,
From 11672 To 11702,97.1,569,12,21,8,
From 11702 To 11732,88.27,585,14,14,18,
From 11772 To 11802,68.4,345,6,12,8,
From 11802 To 11832,90.93,559,26,13,9,
From 11873 To 11903,78.93,544,19,9,14,
From 11903 To 11933,86.07,465,14,12,20,
From 11973 To 12003,91.2,585,14,22,14,
From 12003 To 12033,82.27,582,25,15,20,
From 12073 To 12103,70.23,342,6,15,12,
From 12103 To 12133,84.0,516,10,13,10,
From 12173 To 12203,87.27,586,19,16,12,
From 12204 To 12234,69.33,395,12,8,15,
From 12274 To 12304,83.27,483,16,12,12,
From 12304 To 12334,87.13,480,16,12,13,
From 12374 To 12404,77.7,431,14,10,8,
From 12404 To 12434,69.47,399,10,12,16,
From 12474 To 12504,99.63,693,11,24,18,
From 12504 To 12534,74.47,444,16,13,12,
From 12575 To 12605,75.6,379,8,10,9,
From 12605 To 12635,89.07,557,18,15,16,
From 12675 To 12705,85.67,565,15,19,11,
From 12705 To 12735,74.63,367,8,7,17,
From 12775 To 12805,52.6,230,6,8,11,
From 12805 To 12835,48.47,194,8,5,5,
From 12876 To 12906,59.13,352,5,8,9,
From 12906 To 12936,38.1,120,3,5,5,
From 12976 To 13006,28.5,149,5,4,4,
From 13007 To 13037,30.53,178,3,9,7,
From 13077 To 13107,34.3,197,5,8,4,
From 13107 To 13137,28.53,145,6,2,4,
From 13177 To 13207,77.23,548,16,16,16,
From 13207 To 13237,57.57,424,10,5,13,
From 13277 To 13307,84.23,496,15,15,16,
From 13307 To 13337,67.4,327,10,13,10,
From 13378 To 13408,127.37,865,27,22,25,
From 13408 To 13438,84.83,459,10,19,13,
From 13478 To 13508,100.83,586,15,8,22,
From 13508 To 13538,102.73,635,18,23,13,
From 13578 To 13608,77.03,405,13,14,11,
From 13608 To 13638,83.43,486,15,15,10,
From 13678 To 13708,93.03,606,15,19,13,
From 13709 To 13739,70.63,369,6,12,9,
From 13779 To 13809,97.77,594,14,10,13,
From 13809 To 13839,92.9,622,23,16,17,
From 13879 To 13909,66.1,341,7,7,13,
From 13909 To 13939,93.8,596,26,15,22,
From 13979 To 14009,87.37,583,20,14,12,
From 14009 To 14039,71.17,428,15,14,16,
From 14079 To 14109,92.0,600,22,19,14,
From 14110 To 14140,81.63,572,19,14,14,
From 14180 To 14210,72.23,402,16,8,7,
From 14210 To 14240,85.63,503,13,15,14,
From 14280 To 14310,84.8,508,19,16,6,
From 14310 To 14340,81.13,394,8,6,13,
From 14380 To 14410,77.13,479,20,18,10,
From 14411 To 14441,97.17,694,21,22,21,
From 14481 To 14511,79.77,485,13,14,15,
From 14511 To 14541,75.9,395,7,17,12,
From 14581 To 14611,90.8,608,11,16,16,
From 14611 To 14641,74.77,458,16,13,21,
From 14681 To 14711,66.7,385,9,13,14,
From 14711 To 14741,86.2,592,21,10,20,
