Period,CPUAvg,Concept:514,Encounter:318,Context:524,Encounter:311,BaseOpenmrsData:135,Concept:280,Concept:206,Concept:990,ConceptName:213,Concept:1019,Obs:706,BaseOpenmrsData:49,Concept:1096,BaseOpenmrsData:42,Obs:174,Encounter:369,ServiceContext:134,Encounter:362,Format:60,BaseOpenmrsData:100,Concept:191,Daemon:146,BaseOpenmrsData:107,Concept:217,Daemon:269,Obs:630,Obs:566,Concept:593,OpenmrsUtil:495,Concept:1082,ServiceContext:189,Obs:166,Encounter:55,Concept:347,ConceptServiceImpl:308,BaseOpenmrsObject:33,Obs:411,BaseOpenmrsData:92,Context:347,Concept:224,BaseOpenmrsData:114,BaseOpenmrsData:35,Obs:1107,Obs:559,Concept:1375,Encounter:41,ConceptName:378,Obs:551,UserContext:180,Obs:490,Obs:254,Encounter:341,Encounter:265,ConceptServiceImpl:848,Obs:543,Context:354,Concept:238,BaseOpenmrsData:84,Encounter:411,OpenmrsUtil:508,Encounter:104,LocaleUtility:99,Obs:758,Obs:222,Obs:574,Encounter:76,Concept:557,Obs:425,Obs:534,Context:95,Context:163,HibernateContextDAO:146,Obs:740,Concept:1220,Obs:660,Obs:85,Concept:958,Obs:1070,Obs:970,BaseOpenmrsData:149,Concept:177,Obs:1074,BaseOpenmrsObject:64,Obs:979,Concept:795,HibernateAdministrationDAO:63,BaseOpenmrsData:142,ConceptDatatype:54,Concept:252,Obs:527,Encounter:329,Obs:645,Obs:207,Concept:1121,ServiceContext:342,ConceptName:244,Obs:443,Obs:675,ServiceContext:500,Concept:944,BaseOpenmrsData:77,ConceptName:96,BaseOpenmrsMetadata:37,ConceptName:139,BaseOpenmrsData:70,Obs:237,Person:104,Encounter:275,Context:436,Concept:787,UserContext:131,Concept:266,Encounter:90,Context:269,Encounter:97,LocaleUtility:127,Context:262,Concept:1034,Context:147,Concept:972,ConceptName:237,ConceptName:80,Encounter:69,BaseOpenmrsData:63,ConceptName:84,LocaleUtility:40,Encounter:62,Obs:957,ServiceContext:86,Encounter:83,Obs:653,Concept:86,BaseOpenmrsData:121,Obs:181,Patient:55,BaseOpenmrsData:128,Concept:1027,Obs:581,ConceptServiceImpl:858,Encounter:420,ServiceContext:368,ConceptName:220,Obs:1091,Obs:462,Context:582,Concept:584,BaseOpenmrsData:56
From 1528429565 to 1528429594,120.0,7244,69,6228,69,215588,23105,23105,23105,4744,952,1945,112460,23105,208969,4843,69,82,69,0,4195048,23105,6451,208969,1139,5,1945,1945,3622,7262,23105,85054,1945,207,3622,0,3391501,1945,4140025,85054,23105,103232,105177,1945,579,23105,130,4744,1945,7080,482,1945,69,69,266,579,81,23105,207024,138,3316,69,3622,1139,1945,66,69,7244,1945,1945,86,90202,1,1945,952,1945,1945,23105,48625,1945,215588,23105,48625,888598,1945,28976,29550,136823,1139,23105,2389,138,1945,1945,23105,768,4129,3890,1945,90202,23105,103232,45157,725,53568,207024,1945,2787,69,3251,28976,6418,23105,69,82,69,3622,768,23105,10877,23105,12902,4129,69,103232,1531,10702,69,1945,90202,276,861,24164,215588,1945,180,103232,952,1945,483,69,81,4129,1945,1945,6228,21732,208969
From 1528429595 to 1528429625,131.83,6380,85,5564,85,215273,22961,22961,22961,4210,849,2234,122419,22961,209089,4268,85,110,85,0,4097859,22961,6264,209089,1004,5,2234,2234,3190,7050,22961,73237,2234,255,3190,0,3220466,2234,4050619,73237,22961,112473,114707,2234,488,22961,154,4210,2234,6378,460,2234,85,85,303,488,93,22961,206855,170,3481,85,3190,1004,2234,68,85,6380,2234,2234,98,78168,1,2234,849,2234,2234,22961,55850,2234,215273,22961,55850,837702,2234,25520,25518,141725,1004,22961,2198,170,2234,2234,22961,781,3624,4468,2234,78168,22961,112473,40159,706,47568,206855,2234,3135,85,3158,25520,6173,22961,85,110,85,3190,781,22961,10099,22961,11474,3624,85,112473,1337,9568,85,2234,78168,340,756,23948,215273,2234,188,112473,849,2234,460,85,93,3624,2234,2234,5564,19140,209089
From 1528429626 to 1528429655,117.4,6098,84,5333,84,198431,21699,21699,21699,4043,879,1974,119516,21699,191445,3612,84,96,84,1,3765882,21699,6399,191445,851,5,1974,1974,3049,6611,21699,84662,1974,252,3051,0,3509617,1974,3711098,84662,21699,110185,112159,1974,440,21699,147,4043,1974,6167,355,1974,84,84,194,440,85,21699,189471,168,3363,84,3049,851,1974,58,84,6098,1974,1974,90,89508,1,1974,879,1974,1974,21699,49350,1974,198431,21699,49350,947149,1974,24394,29384,144021,851,21699,1784,168,1974,1974,21699,567,3570,3948,1974,89508,21699,110185,38171,729,45016,189471,1974,2871,84,3232,24394,6357,21699,84,96,84,3049,567,21699,9963,21699,10906,3570,84,110185,1319,9216,84,1974,89508,336,612,22605,198431,1974,194,110185,879,1974,355,84,85,3570,1974,1974,5333,18294,191445
From 1528429656 to 1528429685,133.6,6884,83,5744,83,207175,26382,26382,26382,4632,1059,1634,123911,26382,200207,3806,83,112,83,0,3943947,26382,6412,200205,893,5,1634,1634,3442,6881,26382,82512,1634,249,3440,0,3543002,1634,3890573,82512,26382,115010,116644,1634,431,26382,133,4632,1634,6574,395,1634,83,83,214,431,90,26382,198572,166,3339,83,3442,893,1634,54,83,6884,1634,1634,95,87409,1,1634,1059,1634,1634,26382,40850,1634,207175,26382,40850,941630,1634,27534,28641,148110,893,26382,1866,166,1634,1634,26382,631,4113,3268,1634,87409,26382,115010,44107,726,52096,198572,1634,2560,83,3243,27534,6350,26382,83,112,83,3442,631,26382,10393,26382,12602,4113,83,115010,1490,10016,83,1634,87409,332,714,27176,207175,1634,200,115010,1059,1634,395,83,90,4113,1634,1634,5744,20652,200206
From 1528429686 to 1528429715,121.3,8310,73,6562,73,229255,33407,33407,33407,5664,1407,1788,121946,33407,224546,3824,73,108,73,0,4385318,33407,6696,224546,898,5,1788,1788,4155,8058,33407,61378,1788,219,4155,0,2658829,1788,4346152,61378,33407,111635,113423,1788,443,33407,128,5664,1788,7458,389,1788,73,73,206,443,93,33407,222758,146,3757,73,4155,898,1788,56,73,8310,1788,1788,98,66372,1,1788,1407,1788,1788,33407,44700,1788,229255,33407,44700,619926,1788,33240,21707,135338,898,33407,1870,146,1788,1788,33407,623,5002,3576,1788,66372,33407,111635,54292,712,63872,222758,1788,2698,73,3371,33240,6574,33407,73,108,73,4155,623,33407,11363,33407,15512,5002,73,111635,1850,11613,73,1788,66372,292,696,34313,229255,1788,167,111635,1407,1788,389,73,93,5002,1788,1788,6562,24930,224546
From 1528429716 to 1528429745,140.03,7262,78,5987,78,227707,24125,24125,24125,4872,1098,2107,114755,24125,221540,4019,78,100,78,0,4364951,24125,6223,221540,949,5,2107,2107,3631,7540,24125,72859,2107,234,3631,0,3265367,2107,4317961,72859,24125,104958,107065,2107,486,24125,140,4872,2107,6808,429,2107,78,78,228,486,84,24125,219433,156,3444,78,3631,949,2107,52,78,7262,2107,2107,89,77745,1,2107,1098,2107,2107,24125,52675,2107,227707,24125,52675,837804,2107,29048,25424,134075,949,24125,2058,156,2107,2107,24125,677,4212,4214,2107,77745,24125,104958,46137,726,54392,219433,2107,2930,78,3141,29048,6150,24125,78,100,78,3631,677,24125,10473,24125,13182,4212,78,104958,1584,10439,78,2107,77745,312,669,25127,227707,2107,176,104958,1098,2107,429,78,84,4212,2107,2107,5987,21786,221540
From 1528429746 to 1528429775,120.5,6016,66,5185,66,216184,21610,21610,21610,4042,926,1737,115155,21610,209727,3228,66,96,66,0,4159309,21610,6308,209727,762,5,1737,1737,3008,6358,21610,80626,1737,198,3008,0,3342788,1737,4107198,80626,21610,105946,107683,1737,394,21610,121,4042,1737,6015,330,1737,66,66,192,394,84,21610,207990,132,3377,66,3008,762,1737,46,66,6016,1737,1737,88,85399,1,1737,926,1737,1737,21610,43425,1737,216184,21610,43425,879933,1737,24064,28034,137922,762,21610,1640,132,1737,1737,21610,540,3589,3474,1737,85399,21610,105946,38346,710,45168,207990,1737,2606,66,3184,24064,6256,21610,66,96,66,3008,540,21610,9737,21610,10956,3589,66,105946,1320,9023,66,1737,85399,264,540,22350,216184,1737,184,105946,926,1737,330,66,84,3589,1737,1737,5185,18048,209727
From 1528429776 to 1528429806,136.97,7590,83,6330,83,222644,31119,31119,31119,5079,1140,2180,126538,31119,216479,4274,83,108,83,0,4288603,31119,6820,216479,1007,5,2180,2180,3795,7871,31119,73322,2180,249,3795,0,3244831,2180,4241509,73322,31119,116598,118778,2180,508,31119,150,5079,2180,7229,438,2180,83,83,236,508,91,31119,214299,166,3510,83,3795,1007,2180,68,83,7590,2180,2180,97,78485,1,2180,1140,2180,2180,31119,54500,2180,222644,31119,54500,828498,2180,30360,25694,145722,1007,31119,2128,166,2180,2180,31119,700,4476,4360,2180,78485,31119,116598,48244,741,56864,214299,2180,3129,83,3444,30360,6742,31119,83,108,83,3795,700,31119,11245,31119,13784,4476,83,116598,1648,11024,83,2180,78485,332,738,32096,222644,2180,186,116598,1140,2180,438,83,91,4476,2180,2180,6330,22770,216479
From 1528429807 to 1528429836,116.03,7394,102,6192,102,211547,22989,22989,22989,4928,1059,2368,123654,22989,206085,4439,102,120,102,0,4100529,22989,6433,206085,1047,5,2368,2368,3697,7905,22989,69314,2368,306,3697,0,2892185,2368,4055940,69314,22989,114000,116368,2368,532,22989,178,4928,2368,7035,463,2368,102,102,263,532,93,22989,203717,204,3317,102,3697,1047,2368,64,102,7394,2368,2368,98,74371,1,2368,1059,2368,2368,22989,59200,2368,211547,22989,59200,718962,2368,29576,24253,141180,1047,22989,2253,204,2368,2368,22989,745,4105,4736,2368,74371,22989,114000,46305,748,54664,203717,2368,3270,102,3235,29576,6343,22989,102,120,102,3697,745,22989,10836,22989,13230,4105,102,114000,1591,10732,102,2368,74371,408,753,24031,211547,2368,184,114000,1059,2368,463,102,93,4105,2368,2368,6192,22182,206085
From 1528429837 to 1528429866,140.1,7916,51,6101,51,210350,35544,35544,35544,5380,1414,1383,125090,35544,201372,3150,51,86,51,0,3991899,35544,6623,201372,744,5,1383,1383,3958,7417,35544,99002,1383,153,3958,0,4409954,1383,3927603,99002,35544,116094,117477,1383,386,35544,95,5380,1383,6952,321,1383,51,51,179,386,96,35544,199989,102,3532,51,3958,744,1383,48,51,7916,1383,1383,101,103893,1,1383,1414,1383,1383,35544,34575,1383,210350,35544,34575,1221417,1383,31664,34168,156662,744,35544,1593,102,1383,1383,35544,530,4656,2766,1383,103893,35544,116094,51758,712,60632,199989,1383,2338,51,3364,31664,6546,35544,51,86,51,3958,530,35544,10916,35544,14788,4656,51,116094,1800,10910,51,1383,103893,204,522,36217,210350,1383,211,116094,1414,1383,321,51,96,4656,1383,1383,6101,23748,201372
