Period,CPUAvg,Concept:514,Encounter:318,Context:524,Encounter:311,BaseOpenmrsData:135,Concept:280,Concept:206,Concept:990,ConceptName:213,Concept:1019,Obs:706,BaseOpenmrsData:49,Concept:1096,BaseOpenmrsData:42,Obs:174,Encounter:369,ServiceContext:134,Encounter:362,Format:60,BaseOpenmrsData:100,Concept:191,Daemon:146,BaseOpenmrsData:107,Concept:217,Daemon:269,Obs:630,Obs:566,Concept:593,OpenmrsUtil:495,Concept:1082,ServiceContext:189,Obs:166,Encounter:55,Concept:347,ConceptServiceImpl:308,BaseOpenmrsObject:33,Obs:411,BaseOpenmrsData:92,Context:347,Concept:224,BaseOpenmrsData:114,BaseOpenmrsData:35,Obs:1107,Obs:559,Concept:1375,Encounter:41,ConceptName:378,Obs:551,UserContext:180,Obs:490,Obs:254,Encounter:341,Encounter:265,ConceptServiceImpl:848,Obs:543,Context:354,Concept:238,BaseOpenmrsData:84,Encounter:411,OpenmrsUtil:508,Encounter:104,LocaleUtility:99,Obs:758,Obs:222,Obs:574,Encounter:76,Concept:557,Obs:425,Obs:534,Context:95,Context:163,HibernateContextDAO:146,Obs:740,Concept:1220,Obs:660,Obs:85,Concept:958,Obs:1070,Obs:970,BaseOpenmrsData:149,Concept:177,Obs:1074,BaseOpenmrsObject:64,Obs:979,Concept:795,HibernateAdministrationDAO:63,BaseOpenmrsData:142,ConceptDatatype:54,Concept:252,Obs:527,Encounter:329,Obs:645,Obs:207,Concept:1121,ServiceContext:342,ConceptName:244,Obs:443,Obs:675,ServiceContext:500,Concept:944,BaseOpenmrsData:77,ConceptName:96,BaseOpenmrsMetadata:37,ConceptName:139,BaseOpenmrsData:70,Obs:237,Person:104,Encounter:275,Context:436,Concept:787,UserContext:131,Concept:266,Encounter:90,Context:269,Encounter:97,LocaleUtility:127,Context:262,Concept:1034,Context:147,Concept:972,ConceptName:237,ConceptName:80,Encounter:69,BaseOpenmrsData:63,ConceptName:84,LocaleUtility:40,Encounter:62,Obs:957,ServiceContext:86,Encounter:83,Obs:653,Concept:86,BaseOpenmrsData:121,Obs:181,Patient:55,BaseOpenmrsData:128,Concept:1027,Obs:581,ConceptServiceImpl:858,Encounter:420,ServiceContext:368,ConceptName:220,Obs:1091,Obs:462,Context:582,Concept:584,BaseOpenmrsData:56
From 1528432369 to 1528432398,82.97,6924,37,5338,37,153662,22925,22925,22925,4649,1090,1616,87285,22925,149450,3560,37,56,37,1,2928462,22925,4717,149450,841,5,1616,1616,3462,6703,22925,48570,1616,111,3462,0,2307948,1616,2897300,48570,22925,80397,82013,1616,441,22925,86,4649,1616,5961,356,1616,37,37,198,441,66,22925,147834,74,2398,37,3462,841,1616,52,37,6924,1616,1616,71,52247,1,1616,1090,1616,1616,22925,40400,1616,153662,22925,40400,578739,1616,27696,17049,99768,841,22925,1792,74,1616,1616,22925,573,4087,3232,1616,52215,22925,80397,44009,484,51744,147834,1616,2267,37,2389,27696,4627,22925,37,56,37,3462,573,22925,8730,22925,12574,4087,37,80397,1531,9423,37,1616,52247,148,588,23811,153662,1616,110,80397,1090,1616,356,37,66,4087,1616,1616,5338,20772,149450
From 1528432399 to 1528432429,81.07,4442,35,3857,35,129328,13549,13549,13549,2886,504,1602,64928,13549,125799,3415,35,48,35,0,2434831,13549,3727,125799,803,5,1602,1602,2221,4818,13549,48079,1602,105,2221,0,1878433,1602,2403770,48079,13549,59061,60663,1602,410,13549,85,2886,1602,4351,332,1602,35,35,172,410,48,13549,124197,70,1932,35,2221,803,1602,48,35,4442,1602,1602,53,51122,1,1602,504,1602,1602,13549,40050,1602,129328,13549,40050,481217,1602,17768,16717,77817,803,13549,1656,70,1602,1602,13549,515,2584,3204,1602,51102,13549,59061,27405,413,32696,124197,1602,2069,35,1871,17768,3698,13549,35,48,35,2221,515,13549,6536,13549,7830,2584,35,59061,914,6572,35,1602,51122,140,609,14327,129328,1602,102,59061,504,1602,332,35,48,2584,1602,1602,3857,13326,125799
From 1528432430 to 1528432459,97.93,5510,48,4827,48,174339,17074,17074,17074,3589,690,1860,93646,17074,168373,3845,48,60,48,0,3253847,17074,5253,168373,907,5,1860,1860,2755,5935,17074,68507,1860,144,2755,0,2953737,1860,3209536,68507,17074,85569,87429,1860,468,17074,105,3589,1860,5516,382,1860,48,48,210,468,70,17074,166513,96,2818,48,2755,907,1860,62,48,5510,1860,1860,75,72637,1,1860,690,1860,1860,17074,46500,1860,174339,17074,46500,793825,1860,22040,23795,113245,907,17074,1910,96,1860,1860,17074,606,3018,3720,1860,72635,17074,85569,33852,579,40160,166513,1860,2589,48,2653,22040,5204,17074,48,60,48,2755,606,17074,8620,17074,9672,3018,48,85569,1158,8271,48,1860,72637,192,651,18041,174339,1860,146,85569,690,1860,382,48,70,3018,1860,1860,4827,16530,168373
From 1528432460 to 1528432489,76.03,4180,43,3660,43,125441,14554,14554,14554,2745,517,1437,74787,14554,120550,2895,43,52,43,0,2386378,14554,4049,120550,687,5,1437,1437,2090,4563,14554,57535,1437,129,2090,0,2404688,1437,2349050,57535,14554,69085,70522,1437,369,14554,87,2745,1437,4184,304,1437,43,43,166,369,57,14554,119113,86,1994,43,2090,687,1437,38,43,4180,1437,1437,62,60744,1,1437,517,1437,1437,14554,35925,1437,125441,14554,35925,659894,1437,16720,19901,92294,687,14554,1512,86,1437,1437,14554,482,2439,2874,1437,60742,14554,69085,25676,457,30408,119113,1437,2014,43,2045,16720,4011,14554,43,52,43,2090,482,14554,6593,14554,7336,2439,43,69085,886,6274,43,1437,60744,172,441,15216,125441,1437,122,69085,517,1437,304,43,57,2439,1437,1437,3660,12540,120550
From 1528432490 to 1528432519,72.07,4602,21,3544,21,111934,21434,21434,21434,3126,745,1134,69577,21434,109001,2309,21,42,21,0,2110194,21434,3385,109001,542,5,1134,1134,2301,4617,21434,35451,1134,63,2301,0,1575701,1134,2087414,35451,21434,64516,65650,1134,269,21434,55,3126,1134,3981,230,1134,21,21,118,269,54,21434,107867,42,1814,21,2301,542,1134,34,21,4602,1134,1134,59,37954,1,1134,745,1134,1134,21434,28350,1134,111934,21434,28350,386715,1134,18408,12400,78520,542,21434,1116,42,1134,1134,21434,366,2843,2268,1134,37952,21434,64516,30044,330,35440,107867,1134,1635,21,1727,18408,3279,21434,21,42,21,2301,366,21434,5988,21434,8584,2843,21,64516,1014,6282,21,1134,37954,84,423,21989,111934,1134,80,64516,745,1134,230,21,54,2843,1134,1134,3544,13806,109001
From 1528432520 to 1528432549,102.8,6766,42,5333,42,183817,31963,31963,31963,4609,1203,1593,97663,31963,178608,2684,42,64,42,0,3507569,31963,5822,178608,634,5,1593,1593,3383,6700,31963,63498,1593,126,3383,8,2731368,1593,3466783,63498,31963,89500,91093,1593,327,31963,91,4609,1593,6115,277,1593,42,42,139,327,74,31963,177015,84,2951,42,3383,634,1593,40,42,6766,1593,1593,79,67822,1,1593,1211,1593,1593,31963,39825,1593,183817,31963,39825,696480,1593,27064,22277,114607,634,31963,1347,84,1593,1593,31963,459,3988,3186,1593,67820,31963,89500,44296,629,51880,177015,1593,2356,42,2934,27064,5757,31963,42,64,42,3383,459,31963,9507,31963,12656,3988,42,89500,1538,9498,42,1593,67822,168,444,32615,183817,1593,138,89500,1203,1593,277,42,74,3988,1593,1593,5333,20298,178608
From 1528432550 to 1528432579,81.8,5058,23,4025,23,128344,14562,14562,14562,3342,705,1499,61288,14562,122436,3165,23,28,23,0,2395919,14562,3492,122436,743,5,1499,1499,2529,5171,14562,71045,1499,69,2529,0,2953729,1499,2349466,71045,14562,55693,57192,1499,376,14562,70,3342,1499,4472,299,1499,23,23,141,376,45,14562,120937,46,1909,23,2529,743,1499,50,23,5058,1499,1499,50,73909,1,1499,705,1499,1499,14562,37475,1499,128344,14562,37475,838166,1499,20232,24305,84563,743,14562,1491,46,1499,1499,14562,452,2684,2998,1499,73907,14562,55693,31584,401,37352,120937,1499,1943,23,1766,20232,3494,14562,23,28,23,2529,452,14562,6564,14562,9024,2684,23,55693,1081,7001,23,1499,73909,92,579,15260,128344,1499,121,55693,705,1499,299,23,45,2684,1499,1499,4025,15174,122436
From 1528432580 to 1528432609,64.13,2980,38,2703,38,91224,9810,9810,9810,1885,300,965,65659,9810,88542,2465,38,48,38,0,1677850,9810,3063,88542,582,5,965,965,1490,3189,9810,32373,965,114,1490,0,1393252,965,1657015,32373,9810,61606,62571,965,308,9810,67,1885,965,3092,236,965,38,38,126,308,53,9810,87577,76,1473,38,1490,582,965,38,38,2980,965,965,58,34695,1,965,300,965,965,9810,24125,965,91224,9810,24125,358448,965,11920,11296,74409,582,9810,1214,76,965,965,9810,370,1680,1930,965,34693,9810,61606,17731,317,21112,87577,965,1470,38,1551,11920,2969,9810,38,48,38,1490,370,9810,4925,9810,5066,1680,38,61606,608,4582,38,965,34695,152,411,10372,91224,965,81,61606,300,965,236,38,53,1680,965,965,2703,8940,88542
From 1528432610 to 1528432640,96.8,6738,75,5815,75,196767,20790,20790,20790,4374,818,2348,106803,20790,192065,4910,75,96,75,0,3634556,20790,5779,192065,1156,5,2348,2348,3369,7241,20790,57321,2348,225,3369,0,2550220,2348,3597858,57321,20790,97560,99908,2348,577,20790,148,4374,2348,6579,510,2348,75,75,308,577,79,20790,189717,150,3075,75,3369,1156,2348,76,75,6738,2348,2348,84,61949,1,2348,818,2348,2348,20790,58700,2348,196767,20790,58700,628821,2348,26952,20165,120115,1156,20790,2482,150,2348,2348,20790,835,3702,4696,2348,61947,20790,97560,41230,612,48960,189717,2348,3158,75,2900,26952,5717,20790,75,96,75,3369,835,20790,9976,20790,11780,3702,75,97560,1395,9948,75,2348,61949,300,858,21967,196767,2348,152,97560,818,2348,510,75,79,3702,2348,2348,5815,20214,192065
From 1528432641 to 1528432670,90.77,3898,30,3640,30,145019,9993,9993,9993,2493,376,1938,73647,9993,137996,3386,30,48,30,0,2741698,9993,4081,137996,800,5,1938,1938,1949,4806,9993,84422,1938,90,1949,0,3417378,1938,2686479,84422,9993,66800,68738,1938,397,9993,89,2493,1938,4161,386,1938,30,30,212,397,49,9993,136058,60,2277,30,1949,800,1938,48,30,3898,1938,1938,54,87904,1,1938,376,1938,1938,9993,48450,1938,145019,9993,48450,989385,1938,15592,28873,101128,800,9993,1778,60,1938,1938,9993,606,2107,3876,1938,87902,9993,66800,23212,494,27672,136058,1938,2450,30,2063,15592,4119,9993,30,48,30,1949,606,9993,6615,9993,6632,2107,30,66800,773,6110,30,1938,87904,120,558,10804,145019,1938,156,66800,376,1938,386,30,49,2107,1938,1938,3640,11694,137996
From 1528432671 to 1528432700,72.53,2970,37,2709,37,101185,9733,9733,9733,1932,365,1101,60478,9733,98517,2119,37,48,37,0,1860562,9733,3345,98517,500,5,1101,1101,1485,3363,9733,34708,1101,111,1485,0,1411677,1101,1838295,34708,9733,55473,56574,1101,255,9733,71,1932,1101,3154,224,1101,37,37,118,255,54,9733,97416,74,1761,37,1485,500,1101,28,37,2970,1101,1101,59,37229,1,1101,365,1101,1101,9733,27525,1101,101185,9733,27525,359824,1101,11880,12174,68976,500,9733,1076,74,1101,1101,9733,350,1635,2202,1101,37227,9733,55473,18305,357,21712,97416,1101,1579,37,1676,11880,3246,9733,37,48,37,1485,350,9733,5107,9733,5230,1635,37,55473,620,4639,37,1101,37229,148,357,10216,101185,1101,83,55473,365,1101,224,37,54,1635,1101,1101,2709,8910,98517
From 1528432701 to 1528432730,99.5,6668,66,5851,66,175083,16221,16221,16221,4316,701,2561,109723,16221,168361,5468,66,76,66,0,3307260,16221,5585,168361,1289,5,2561,2561,3334,7414,16221,86596,2561,198,3334,0,3375682,2561,3250938,86596,16221,101015,103576,2561,643,16221,145,4316,2561,6564,584,2561,66,66,320,643,73,16221,165800,132,2875,66,3334,1289,2561,84,66,6668,2561,2561,78,91313,1,2561,701,2561,2561,16221,64025,2561,175083,16221,64025,917549,2561,26672,29847,135427,1289,16221,2774,132,2561,2561,16221,917,3673,5122,2561,91311,16221,101015,40432,631,48168,165800,2561,3358,66,2825,26672,5585,16221,66,76,66,3334,917,16221,9916,16221,11552,3673,66,101015,1344,9898,66,2561,91313,264,936,17457,175083,2561,178,101015,701,2561,584,66,73,3673,2561,2561,5851,20004,168361
From 1528432731 to 1528432760,78.1,4092,30,3383,30,127479,15548,15548,15548,2723,652,1094,75527,15548,121635,2137,30,44,30,0,2369231,15548,3942,121635,500,5,1094,1094,2046,4213,15548,64010,1094,90,2046,0,2861441,1094,2327542,64010,15548,70050,71144,1094,242,15548,64,2723,1094,3886,212,1094,30,30,120,242,57,15548,120541,60,2060,30,2046,500,1094,30,30,4092,1094,1094,62,67003,1,1094,652,1094,1094,15548,27350,1094,127479,15548,27350,810845,1094,16368,22025,96397,500,15548,1028,60,1094,1094,15548,345,2372,2188,1094,67001,15548,70050,26096,448,30816,120541,1094,1670,30,2007,16368,3893,15548,30,44,30,2046,345,15548,6250,15548,7456,2372,30,70050,894,5932,30,1094,67003,120,411,16029,127479,1094,127,70050,652,1094,212,30,57,2372,1094,1094,3383,12276,121635
From 1528432761 to 1528432790,68.37,2576,24,2266,24,94508,9668,9668,9668,1668,346,892,46877,9668,90446,1631,24,36,24,0,1710789,9668,2734,90446,386,5,892,892,1288,2806,9668,49323,892,72,1288,0,1986130,892,1678656,49323,9668,42662,43554,892,210,9668,51,1668,892,2621,159,892,24,24,86,210,35,9668,89554,48,1519,24,1288,386,892,18,24,2576,892,892,40,51438,1,892,346,892,892,9668,22300,892,94508,9668,22300,564280,892,10304,16942,62591,386,9668,825,48,892,892,9668,254,1484,1784,892,51436,9668,42662,15890,316,18768,89554,892,1235,24,1373,10304,2735,9668,24,36,24,1288,254,9668,4245,9668,4540,1484,24,42662,556,3909,24,892,51438,96,261,10102,94508,892,97,42662,346,892,159,24,35,1484,892,892,2266,7728,90446
From 1528432791 to 1528432820,94.0,6708,49,5808,49,189269,17453,17453,17453,4305,704,2270,95541,17453,185134,5466,49,56,49,0,3533179,17453,5183,185134,1288,5,2270,2270,3354,7046,17453,48532,2270,147,3354,0,2288098,2270,3502132,48532,17453,86300,88570,2270,658,17453,119,4305,2270,6496,549,2270,49,49,312,658,71,17453,182864,98,3061,49,3354,1288,2270,84,49,6708,2270,2270,76,52848,1,2270,704,2270,2270,17453,56750,2270,189269,17453,56750,550949,2270,26832,17125,105484,1288,17453,2726,98,2270,2270,17453,875,3752,4540,2270,52846,17453,86300,40334,549,48096,182864,2270,2976,49,2621,26832,5090,17453,49,56,49,3354,875,17453,9530,17453,11524,3752,49,86300,1362,9850,49,2270,52848,196,942,18719,189269,2270,110,86300,704,2270,549,49,71,3752,2270,2270,5808,20124,185134
From 1528432821 to 1528432851,97.33,5972,39,4967,39,181127,17076,17076,17076,3944,818,1968,83703,17076,176668,3808,39,56,39,0,3426383,17076,4803,176668,898,5,1968,1968,2986,6335,17076,54843,1968,117,2986,0,2430503,1968,3391075,54843,17076,75625,77593,1968,452,17076,99,3944,1968,5609,402,1968,39,39,228,452,63,17076,174700,78,2703,39,2986,898,1968,58,39,5972,1968,1968,68,58702,1,1968,818,1968,1968,17076,49200,1968,181127,17076,49200,612886,1968,23888,19184,97326,898,17076,1936,78,1968,1968,17076,644,3260,3936,1968,58700,17076,75625,37121,521,43880,174700,1968,2589,39,2421,23888,4738,17076,39,56,39,2986,644,17076,8412,17076,10606,3260,39,75625,1270,8595,39,1968,58702,156,648,18003,181127,1968,117,75625,818,1968,402,39,63,3260,1968,1968,4967,17916,176668
From 1528432852 to 1528432881,62.6,1626,15,1538,15,65988,4945,4945,4945,1043,157,682,37208,4945,62197,1386,15,20,15,0,1227444,4945,1948,62197,328,5,682,682,813,1923,4945,44870,682,45,813,0,1801807,682,1198027,44870,4945,34196,34878,682,171,4945,37,1043,682,1778,143,682,15,15,85,171,27,4945,61515,30,1104,15,813,328,682,22,15,1626,682,682,32,46458,1,682,157,682,682,4945,17050,682,65988,4945,17050,533056,682,6504,15284,52548,328,4945,714,30,682,682,4945,233,918,1364,682,46456,4945,34196,9695,232,11592,61515,682,970,15,983,6504,1958,4945,15,20,15,813,233,4945,2967,4945,2770,918,15,34196,328,2591,15,682,46458,60,222,5310,65988,682,80,34196,157,682,143,15,27,918,682,682,1538,4878,62197
From 1528432882 to 1528432911,98.67,5882,73,5234,73,180608,17221,17221,17221,3800,676,1990,110797,17221,175579,4474,73,92,73,0,3396015,17221,5668,175579,1052,5,1990,1990,2941,6342,17221,60982,1990,219,2941,0,2643662,1990,3356789,60982,17221,102576,104566,1990,537,17221,135,3800,1990,5972,434,1990,73,73,240,537,84,17221,173589,146,2862,73,2941,1052,1990,64,73,5882,1990,1990,89,65403,1,1990,676,1990,1990,17221,49750,1990,180608,17221,49750,676474,1990,23528,21329,126705,1052,17221,2181,146,1990,1990,17221,687,3230,3980,1990,65401,17221,102576,35861,616,42648,173589,1990,2828,73,2858,23528,5575,17221,73,92,73,2941,687,17221,9331,17221,10246,3230,73,102576,1213,8913,73,1990,65403,292,798,18241,180608,1990,154,102576,676,1990,434,73,84,3230,1990,1990,5234,17646,175579
From 1528432912 to 1528432941,85.4,7534,64,5753,64,165847,21774,21774,21774,5115,1193,1766,90550,21774,162288,3844,64,80,64,0,3107844,21774,4871,162288,906,5,1766,1766,3767,7331,21774,46692,1766,192,3767,1,2037391,1766,3078030,46692,21774,83083,84849,1766,473,21774,119,5115,1766,6399,367,1766,64,64,193,473,68,21774,160522,128,2555,64,3767,906,1766,60,64,7534,1766,1766,73,50423,1,1766,1194,1766,1766,21774,44150,1766,165847,21774,44150,474072,1766,30136,16445,101132,906,21774,1873,128,1766,1766,21774,580,4287,3532,1766,50421,21774,83083,48111,512,56560,160522,1766,2442,64,2444,30136,4800,21774,64,80,64,3767,580,21774,9255,21774,13746,4287,64,83083,1667,10166,64,1766,50423,256,660,22649,165847,1766,128,83083,1193,1766,367,64,68,4287,1766,1766,5753,22602,162288
From 1528432942 to 1528432971,65.87,3346,25,2722,25,89034,15459,15459,15459,2224,540,791,52121,15459,85862,1699,25,32,25,0,1730941,15459,2876,85862,400,5,791,791,1673,3273,15459,36195,791,75,1673,0,1595730,791,1707538,36195,15459,48284,49075,791,193,15459,50,2224,791,3097,188,791,25,25,108,193,37,15459,85071,50,1406,25,1673,400,791,28,25,3346,791,791,42,38430,1,791,540,791,791,15459,19775,791,89034,15459,19775,426270,791,13384,12589,62906,400,15459,870,50,791,791,15459,309,2034,1582,791,38428,15459,48284,21364,324,25104,85071,791,1192,25,1462,13384,2843,15459,25,32,25,1673,309,15459,4794,15459,6104,2034,25,48284,733,4770,25,791,38430,100,297,15830,89034,791,77,48284,540,791,188,25,37,2034,791,791,2722,10038,85862
From 1528432972 to 1528433001,87.5,5316,43,4683,43,159061,13671,13671,13671,3419,546,2423,84759,13671,153623,4323,43,52,43,0,2917536,13671,4596,153623,1022,5,2423,2423,2658,6274,13671,64618,2423,129,2658,0,2714596,2423,2875651,64618,13671,76839,79262,2423,544,13671,118,3419,2423,5281,418,2423,43,43,228,544,63,13671,151200,86,2510,43,2658,1022,2423,68,43,5316,2423,2423,68,68354,1,2423,546,2423,2423,13671,60575,2423,159061,13671,60575,730600,2423,21264,22364,102835,1022,13671,2152,86,2423,2423,13671,657,2905,4846,2423,68352,13671,76839,31773,505,37776,151200,2423,3039,43,2323,21264,4552,13671,43,52,43,2658,657,13671,8008,13671,9078,2905,43,76839,1090,7939,43,2423,68354,172,705,14673,159061,2423,132,76839,546,2423,418,43,63,2905,2423,2423,4683,15948,153623
From 1528433002 to 1528433031,92.23,5264,58,4716,58,171491,15958,15958,15958,3403,598,1729,92273,15958,166797,4017,58,68,58,0,3208740,15958,5123,166797,947,5,1729,1729,2632,5609,15958,61583,1729,174,2632,0,2468531,1729,3169054,61583,15958,84312,86041,1729,489,15958,112,3403,1729,5395,394,1729,58,58,226,489,70,15958,165068,116,2794,58,2632,947,1729,64,58,5264,1729,1729,75,65581,1,1729,598,1729,1729,15958,43225,1729,171491,15958,43225,634428,1729,21056,21473,108417,947,15958,1992,116,1729,1729,15958,633,2963,3458,1729,65579,15958,84312,32081,544,38184,165068,1729,2437,58,2578,21056,5061,15958,58,68,58,2632,633,15958,8404,15958,9166,2963,58,84312,1087,8027,58,1729,65581,232,687,16881,171491,1729,135,84312,598,1729,394,58,70,2963,1729,1729,4716,15792,166797
From 1528433032 to 1528433062,69.07,3392,16,2917,16,83316,12227,12227,12227,2133,327,1541,55906,12227,78792,2894,16,24,16,0,1587694,12227,2675,78792,685,5,1541,1541,1696,3965,12227,49613,1541,48,1696,0,2121611,1541,1555248,49613,12227,51604,53145,1541,357,12227,64,2133,1541,3244,304,1541,16,16,180,357,42,12227,77251,32,1366,16,1696,685,1541,44,16,3392,1541,1541,47,51938,1,1541,327,1541,1541,12227,38525,1541,83316,12227,38525,608321,1541,13568,16963,72117,685,12227,1502,32,1541,1541,12227,494,1972,3082,1541,51936,12227,51604,20223,310,24104,77251,1541,1913,16,1369,13568,2636,12227,16,24,16,1696,494,12227,4879,12227,5778,1972,16,51604,684,4940,16,1541,51938,64,462,12901,83316,1541,94,51604,327,1541,304,16,42,1972,1541,1541,2917,10176,78792
From 1528433063 to 1528433092,84.93,7490,35,5618,35,152733,26292,26292,26292,5071,1243,1787,81723,26292,149410,3518,35,44,35,0,2888904,26292,4712,149410,829,5,1787,1787,3745,7284,26292,40734,1787,105,3745,8,1930355,1787,2862991,40734,26292,74839,76626,1787,414,26292,91,5071,1787,6250,370,1787,35,35,206,414,64,26292,147623,70,2292,35,3745,829,1787,56,35,7490,1787,1787,69,44395,1,1787,1251,1787,1787,26292,44675,1787,152733,26292,44675,449263,1787,29960,14463,90694,829,26292,1774,70,1787,1787,26292,614,4159,3574,1787,44393,26292,74839,48167,469,56576,147623,1787,2456,35,2370,29960,4622,26292,35,44,35,3745,614,26292,8990,26292,13762,4159,35,74839,1665,9995,35,1787,44395,140,606,27089,152733,1787,88,74839,1243,1787,370,35,64,4159,1787,1787,5618,22470,149410
From 1528433093 to 1528433122,87.2,6648,74,5315,74,173254,26362,26362,26362,4481,1053,1440,98154,26362,168999,3456,74,88,74,0,3264419,26362,5234,168999,814,5,1440,1440,3324,6398,26362,51854,1440,222,3324,0,2375323,1440,3231205,51854,26362,90815,92255,1440,404,26362,119,4481,1440,6007,372,1440,74,74,210,404,75,26362,167559,148,2666,74,3324,814,1440,48,74,6648,1440,1440,80,55873,1,1440,1053,1440,1440,26362,36000,1440,173254,26362,36000,586276,1440,26592,18236,111219,814,26362,1762,148,1440,1440,26362,604,3871,2880,1440,55871,26362,90815,42791,569,50392,167559,1440,2165,74,2635,26592,5147,26362,74,88,74,3324,604,26362,9080,26362,12226,3871,74,90815,1457,9331,74,1440,55873,296,600,27168,173254,1440,136,90815,1053,1440,372,74,75,3871,1440,1440,5315,19944,168999
From 1528433123 to 1528433152,84.13,4772,41,3970,41,130835,15768,15768,15768,3114,646,1340,69873,15768,127265,3058,41,52,41,0,2531266,15768,3822,127265,721,5,1340,1340,2386,4796,15768,43328,1340,123,2386,0,1915419,1340,2503368,43328,15768,64164,65504,1340,373,15768,83,3114,1340,4479,298,1340,41,41,190,373,50,15768,125925,82,1981,41,2386,721,1340,50,41,4772,1340,1340,55,46387,1,1340,646,1340,1340,15768,33500,1340,130835,15768,33500,487899,1340,19088,15144,81348,721,15768,1532,82,1340,1340,15768,501,2677,2680,1340,46385,15768,64164,29589,431,35024,125925,1340,1828,41,1936,19088,3772,15768,41,52,41,2386,501,15768,6718,15768,8454,2677,41,64164,1019,6865,41,1340,46387,164,522,16484,130835,1340,99,64164,646,1340,298,41,50,2677,1340,1340,3970,14316,127265
From 1528433153 to 1528433182,83.27,4862,28,3854,28,120972,16835,16835,16835,3272,726,1419,68542,16835,117540,2774,28,40,28,0,2239789,16835,3606,117540,654,5,1419,1419,2431,5051,16835,45134,1419,84,2431,0,1801392,1419,2210620,45134,16835,62853,64272,1419,325,16835,73,3272,1419,4319,296,1419,28,28,184,325,54,16835,116121,56,1949,28,2431,654,1419,46,28,4862,1419,1419,59,47979,1,1419,726,1419,1419,16835,35475,1419,120972,16835,35475,456042,1419,19448,15681,80552,654,16835,1426,56,1419,1419,16835,494,2795,2838,1419,47977,16835,62853,30667,360,36120,116121,1419,1954,28,1817,19448,3537,16835,28,40,28,2431,494,16835,6457,16835,8762,2795,28,62853,1051,6750,28,1419,47979,112,474,17451,120972,1419,91,62853,726,1419,296,28,54,2795,1419,1419,3854,14586,117540
From 1528433183 to 1528433212,64.57,2060,39,1999,39,86866,5003,5003,5003,1347,213,1056,50478,5003,84126,1696,39,52,39,0,1537877,5003,2617,84126,400,5,1056,1056,1030,2646,5003,34328,1056,117,1030,0,1416444,1056,1515706,34328,5003,45996,47052,1056,204,5003,71,1347,1056,2337,176,1056,39,39,80,204,35,5003,83070,78,1523,39,1030,400,1056,24,39,2060,1056,1056,40,36282,1,1056,213,1056,1056,5003,26400,1056,86866,5003,26400,382283,1056,8240,11912,59618,400,5003,840,78,1056,1056,5003,260,1076,2112,1056,36280,5003,45996,12544,284,14928,83070,1056,1438,39,1311,8240,2610,5003,39,52,39,1030,260,5003,3893,5003,3584,1076,39,45996,417,3367,39,1056,36282,156,288,5455,86866,1056,89,45996,213,1056,176,39,35,1076,1056,1056,1999,6180,84126
From 1528433213 to 1528433242,64.63,2874,6,2374,6,72858,11997,11997,11997,1881,380,739,39520,11997,69026,1903,6,8,6,0,1414594,11997,2247,69026,450,5,739,739,1437,2833,11997,41315,739,18,1437,0,1875252,739,1387598,41315,11997,36522,37261,739,227,11997,29,1881,739,2663,212,739,6,6,128,227,30,11997,68287,12,1091,6,1437,450,739,28,6,2874,739,739,35,43243,1,739,380,739,739,11997,18475,739,72858,11997,18475,540274,739,11496,14169,53657,450,11997,1006,12,739,739,11997,350,1612,1478,739,43241,11997,36522,17766,275,21048,68287,739,1015,6,1152,11496,2214,11997,6,8,6,1437,350,11997,4000,11997,5076,1612,6,36522,607,4100,6,739,43243,24,309,12382,72858,739,65,36522,380,739,212,6,30,1612,739,739,2374,8622,69026
From 1528433243 to 1528433273,55.63,2890,16,2435,16,65527,9726,9726,9726,1885,347,932,43556,9726,64281,2108,16,24,16,0,1234299,9726,2274,64281,498,5,932,932,1445,3039,9726,15277,932,48,1445,0,739304,932,1224668,15277,9726,40168,41100,932,253,9726,45,1885,932,2734,230,932,16,16,122,253,35,9726,63349,32,1110,16,1445,498,932,28,16,2890,932,932,40,17089,1,932,347,932,932,9726,23300,932,65527,9726,23300,163925,932,11560,5495,46004,498,9726,1088,32,932,932,9726,360,1631,1864,932,17087,9726,40168,17801,213,21144,63349,932,1311,16,1146,11560,2206,9726,16,24,16,1445,360,9726,4064,9726,5086,1631,16,40168,600,4179,16,932,17089,64,348,10189,65527,932,38,40168,347,932,230,16,35,1631,932,932,2435,8670,64281
From 1528433274 to 1528433303,80.8,4918,48,3938,48,121541,14536,14536,14536,3315,768,1294,68460,14536,118014,2662,48,60,48,0,2273152,14536,3779,118014,623,5,1294,1294,2459,4948,14536,45241,1294,144,2459,0,1872520,1294,2243990,45241,14536,62794,64088,1294,300,14536,87,3315,1294,4439,270,1294,48,48,152,300,50,14536,116720,96,1980,48,2459,623,1294,36,48,4918,1294,1294,55,48204,1,1294,768,1294,1294,14536,32350,1294,121541,14536,32350,478076,1294,19672,15779,80584,623,14536,1292,96,1294,1294,14536,434,2837,2588,1294,48202,14536,62794,31472,440,37128,116720,1294,1761,48,1907,19672,3729,14536,48,60,48,2459,434,14536,6653,14536,8992,2837,48,62794,1068,6898,48,1294,48204,192,510,15191,121541,1294,107,62794,768,1294,270,48,50,2837,1294,1294,3938,14754,118014
