 CPUAvg,buy,main, AService:570,ItemDaoImpl:233,SearchController:32,SearchController:91,AController:54,ItemDaoImpl:280,AController:90,AController:114,AuthorDaoImpl:64,SearchController:70,AController:96,AController:134,AController:102,AService:468,DaoImpl:43,AController:108,AController:42
124.8,4341,743,0,17444,4343,4338,117520,0,27921,23686,1455,4338,27921,71058,27921,1455,68616,23686,23685
129.17,4473,743,0,18120,4486,4485,122773,0,29191,24682,1509,4485,29191,74046,29191,1509,71014,24682,24688
125.87,4388,713,0,17202,4354,4353,119534,0,28427,24069,1437,4353,28427,72207,28427,1437,69131,24069,24017
131.03,4512,719,0,18597,4621,4624,124245,0,29514,24960,1547,4624,29514,74880,29514,1547,71960,24960,24929
119.73,4201,726,0,16462,4112,4117,114537,0,27263,23058,1370,4117,27263,69174,27263,1370,66344,23058,23074
117.1,4062,683,0,16164,4053,4049,111421,0,26495,22420,1350,4049,26495,67260,26495,1350,64273,22420,22400
131.67,4612,775,0,18563,4604,4602,125602,0,29865,25262,1549,4602,29865,75786,29865,1549,73059,25262,25304
125.07,4390,737,0,16451,4228,4225,119322,0,28401,24033,1369,4225,28401,72099,28401,1369,68390,24033,24012
122.77,4218,672,0,16940,4216,4219,115016,0,27349,23130,1413,4219,27349,69390,27349,1413,66920,23130,23190
127.43,4532,719,0,17675,4427,4431,123591,0,29396,24845,1469,4431,29396,74535,29396,1469,71069,24845,24834
124.57,4213,718,0,17932,4433,4431,116265,0,27600,23412,1496,4431,27600,70236,27600,1496,68016,23412,23390
122.97,4395,718,0,17415,4298,4302,118732,0,28249,23882,1449,4302,28249,71646,28249,1449,68824,23882,23928
125.6,4261,746,0,17690,4369,4361,117883,0,28019,23729,1476,4361,28019,71187,28019,1476,68657,23729,23676
125.03,4525,780,0,17870,4496,4499,123177,0,29311,24817,1490,4499,29311,74451,29311,1490,71339,24817,24778
124.33,4322,728,0,17617,4347,4345,118277,0,28142,23795,1469,4345,28142,71385,28142,1469,68744,23795,23836
126.5,4373,731,0,17816,4437,4441,120083,0,28542,24168,1482,4441,28542,72504,28542,1482,69828,24168,24185
118.57,4153,697,0,16619,4176,4179,113653,0,27030,22865,1384,4179,27030,68595,27030,1384,65739,22865,22862
112.2,3906,639,0,15155,3853,3852,106624,0,25369,21447,1263,3852,25369,64341,25369,1263,61275,21447,21475
134.27,4729,796,0,18071,4569,4561,128240,0,30510,25813,1511,4561,30510,77439,30510,1511,73831,25813,25773
124.63,4362,737,0,17937,4417,4425,120014,0,28534,24136,1490,4425,28534,72408,28534,1490,69691,24136,24182
113.6,3867,622,0,16511,4099,4097,106559,0,25279,21445,1377,4097,25279,64335,25279,1377,62432,21445,21426
124.73,4294,672,0,17582,4321,4319,116623,0,27755,23474,1464,4319,27755,70422,27755,1464,68107,23474,23435
127.63,4433,739,0,17932,4477,4481,121649,0,28927,24477,1495,4481,28927,73431,28927,1495,70588,24477,24537
126.97,4384,683,0,18551,4542,4542,120671,0,28673,24280,1545,4542,28673,72840,28673,1545,70438,24280,24220
128.83,4410,774,0,18493,4508,4509,121861,0,28961,24524,1541,4509,28961,73572,28961,1541,71162,24524,24510
120.4,4285,746,0,16096,4174,4172,116725,0,27789,23473,1342,4172,27789,70419,27789,1342,66741,23473,23532
129.93,4679,759,0,19026,4727,4724,126754,0,30133,25521,1586,4724,30133,76563,30133,1586,73928,25521,25506
128.47,4453,754,0,18327,4550,4552,122182,0,29046,24585,1528,4552,29046,73755,29046,1528,71106,24585,24610
121.97,4206,674,0,17252,4263,4259,115949,0,27588,23325,1438,4259,27588,69975,27588,1438,67313,23325,23323
122.83,4283,684,0,17808,4390,4388,116190,0,27600,23392,1485,4388,27600,70176,27600,1485,67717,23392,23299
124.13,4302,748,0,17081,4329,4334,118358,0,28147,23809,1421,4334,28147,71427,28147,1421,68487,23809,23858
126.4,4443,756,0,17167,4385,4384,120700,0,28718,24302,1432,4384,28718,72906,28718,1432,69473,24302,24293
124.07,4389,709,0,16980,4226,4228,118846,0,28281,23904,1413,4228,28281,71712,28281,1413,68870,23904,23907
117.03,4123,692,0,16090,4071,4072,112613,0,26794,22665,1341,4072,26794,67995,26794,1341,64924,22665,22679
116.7,4004,666,0,16616,4095,4092,111068,0,26405,22349,1385,4092,26405,67047,26405,1385,64412,22349,22325
121,4363,719,0,15725,4090,4091,117330,0,27923,23629,1312,4091,27923,70887,27923,1312,67069,23629,23662
114.47,3992,694,0,16399,4037,4040,109474,0,26035,22042,1365,4040,26035,66126,26035,1365,63756,22042,22061
126.93,4449,736,0,17397,4351,4351,121386,0,28884,24410,1449,4351,28884,73230,28884,1449,69945,24410,24367
120.4,4164,691,0,16486,4165,4156,113676,0,27023,22873,1378,4156,27023,68619,27023,1378,65733,22873,22886
123.93,4255,718,0,17738,4354,4364,117469,0,27921,23622,1474,4364,27921,70866,27921,1474,68434,23622,23595
128.87,4602,784,0,18840,4631,4626,124978,0,29702,25145,1571,4626,29702,75435,29702,1571,73074,25145,25197
