Period, CPUAvg, person,encounter,obs,concept,
From 134601 To 134631,103.4,549,14,14,16,
From 134671 To 134701,101.03,551,17,14,15,
From 134701 To 134731,102.9,512,11,17,14,
From 134772 To 134802,115.03,583,15,15,17,
From 134802 To 134832,103.4,582,18,15,9,
From 134872 To 134902,98.77,546,13,16,23,
From 134902 To 134932,102.6,541,17,19,12,
From 134972 To 135002,103.07,505,18,18,13,
From 135002 To 135032,96.37,488,20,17,10,
From 135073 To 135103,107.47,531,11,14,16,
From 135103 To 135133,120.5,499,13,15,9,
From 135173 To 135203,116.63,553,12,9,27,
From 135203 To 135233,99.97,456,9,12,14,
From 135273 To 135303,90.3,476,15,8,20,
From 135304 To 135334,109.5,568,11,32,15,
From 135374 To 135404,108.73,565,15,24,19,
From 135404 To 135434,102.27,551,21,17,10,
From 135474 To 135504,98.97,550,23,17,7,
From 135504 To 135534,97.43,496,7,20,16,
From 135574 To 135604,97.57,559,19,20,13,
From 135604 To 135634,103.6,591,24,16,12,
From 135675 To 135705,99.13,571,25,15,19,
From 135705 To 135735,98.07,525,14,19,17,
From 135775 To 135805,96.5,523,20,12,16,
From 135805 To 135835,104.07,481,16,14,11,
From 135875 To 135905,103.93,516,19,14,10,
From 135905 To 135935,97.47,538,19,19,7,
From 139976 To 140006,104.73,586,14,19,19,
From 140006 To 140036,99.8,535,11,16,17,
From 140076 To 140106,108.9,515,15,18,12,
From 140106 To 140136,103.6,567,15,14,11,
From 140176 To 140206,102.47,536,14,18,17,
From 140206 To 140236,101.3,562,25,17,11,
From 140277 To 140307,101.7,557,15,15,11,
From 140307 To 140337,109.2,501,19,15,9,
From 140377 To 140407,100.33,566,17,20,14,
From 140407 To 140437,108.3,585,21,14,18,
From 140477 To 140507,102.73,462,10,14,12,
From 140507 To 140537,102.7,540,13,14,16,
From 140578 To 140608,104.6,500,14,11,12,
From 140608 To 140638,105.07,515,11,17,17,
From 140678 To 140708,103.23,460,9,16,11,
From 140708 To 140738,95.17,563,19,17,17,
From 140778 To 140808,102.4,569,20,18,14,
From 140808 To 140838,111.27,530,16,15,15,
From 140879 To 140909,96.97,576,11,22,21,
From 140909 To 140939,102.5,546,12,18,16,
From 140979 To 141009,98.2,550,20,14,18,
From 141009 To 141039,96.1,522,14,18,15,
From 141079 To 141109,103.77,609,13,17,25,
From 141109 To 141139,100.93,517,15,11,22,
From 141180 To 141210,103.87,528,25,12,13,
From 141210 To 141240,98.47,611,16,17,19,
From 141280 To 141310,101.7,581,22,12,22,
From 141310 To 141340,100.0,517,14,12,12,
From 141380 To 141410,100.23,499,13,20,18,
From 141410 To 141440,103.4,487,10,13,16,
From 141481 To 141511,98.4,535,14,10,17,
From 141511 To 141541,106.7,526,17,21,16,
From 141581 To 141611,96.13,579,18,17,12,
From 141611 To 141641,102.73,534,15,18,8,
From 141681 To 141711,100.07,565,11,21,26,
From 141712 To 141742,104.43,566,13,15,15,
From 141782 To 141812,101.8,503,10,16,16,
From 141812 To 141842,107.17,558,16,18,11,
From 141882 To 141912,100.5,565,12,20,13,
From 141912 To 141942,102.0,522,12,19,17,
From 141982 To 142012,103.4,565,14,24,20,
From 142013 To 142043,100.03,597,13,19,20,
From 142083 To 142113,102.6,549,16,15,9,
From 142113 To 142143,98.57,552,19,18,12,
From 142183 To 142213,99.17,509,14,20,14,
From 142213 To 142243,102.9,489,18,11,12,
From 142283 To 142313,102.1,472,12,13,15,
From 142314 To 142344,103.67,519,15,15,13,
From 142384 To 142414,106.33,552,14,9,16,
From 142414 To 142444,101.2,576,20,23,10,
From 142484 To 142514,99.63,520,12,12,16,
From 142514 To 142544,107.3,520,16,12,15,
From 142585 To 142615,94.97,610,14,18,22,
From 142615 To 142645,100.77,509,18,14,12,
From 142685 To 142715,104.9,545,21,20,10,
From 142715 To 142745,73.0,323,11,10,11,
From 142785 To 142815,71.47,336,8,11,10,
From 142816 To 142846,66.67,351,16,9,10,
From 142886 To 142916,88.23,341,4,10,11,
From 142916 To 142946,33.17,108,4,1,0,
From 142987 To 143017,59.57,316,7,15,6,
From 143018 To 143048,60.0,372,15,12,8,
From 143088 To 143118,59.6,316,8,13,12,
From 143118 To 143148,77.93,386,13,8,7,
From 143188 To 143218,52.93,219,6,5,9,
From 143219 To 143249,99.8,581,19,13,19,
From 143289 To 143319,100.23,484,13,18,12,
From 143319 To 143349,96.53,528,17,8,17,
From 143389 To 143419,94.07,423,15,15,12,
From 143419 To 143449,102.0,537,14,15,16,
From 143490 To 143520,101.53,558,16,7,16,
From 143520 To 143550,87.47,455,14,11,11,
From 143590 To 143620,92.93,566,18,9,18,
From 143620 To 143650,100.9,554,6,22,19,
From 143690 To 143720,83.37,466,15,12,16,
From 143721 To 143751,90.23,544,14,20,16,
From 143791 To 143821,89.23,498,10,18,10,
From 143821 To 143851,92.33,453,16,12,12,
From 143891 To 143921,87.67,472,16,12,14,
From 143922 To 143952,86.1,525,14,11,21,
From 143992 To 144022,89.63,466,20,10,10,
From 144022 To 144052,91.4,531,15,17,11,
From 144092 To 144122,99.13,505,13,14,16,
From 144122 To 144152,99.4,458,11,13,20,
From 144193 To 144223,91.77,505,14,16,17,
From 144223 To 144253,96.43,557,21,15,11,
From 144293 To 144323,93.93,389,14,8,12,
From 144323 To 144353,59.13,278,9,6,5,
From 144393 To 144423,87.73,472,9,13,12,
From 144424 To 144454,99.33,535,11,19,22,
From 144494 To 144524,98.87,604,20,16,16,
From 144524 To 144554,103.8,493,17,10,15,
From 144594 To 144624,103.87,537,19,14,13,
From 144625 To 144655,70.17,352,9,2,12,
From 144695 To 144725,96.7,539,19,9,13,
From 144725 To 144755,105.67,538,22,9,12,
From 144795 To 144825,99.77,571,22,14,13,
From 144826 To 144856,99.8,613,15,23,18,
From 144896 To 144926,101.43,501,12,16,9,
From 144926 To 144956,91.8,412,12,18,9,
From 144996 To 145026,78.03,439,14,14,13,
