Period,CPUAvg, person,BaseOpenmrsObject:81
From 1530290199 to 1530290228,100.53,545,23146
From 1530290229 to 1530290258,101.73,554,12129
From 1530290259 to 1530290288,102.2,546,29522
From 1530290289 to 1530290318,100.1,549,20862
From 1530290319 to 1530290348,107,529,28144
From 1530290349 to 1530290379,100.27,600,22891
From 1530290380 to 1530290409,102.83,533,25060
From 1530290410 to 1530290439,101.1,620,19523
From 1530290440 to 1530290469,100.03,533,24676
From 1530290470 to 1530290499,102.87,515,23238
From 1530290500 to 1530290529,109.83,531,34055
From 1530290530 to 1530290559,103.4,562,26447
From 1530290560 to 1530290590,101.93,583,26634
From 1530290591 to 1530290620,107.87,526,28391
From 1530290621 to 1530290650,100.13,545,17919
From 1530290651 to 1530290680,102.77,457,33119
From 1530290681 to 1530290710,103.37,506,27820
From 1530290711 to 1530290740,107.87,541,28348
From 1530290741 to 1530290771,103.9,593,33105
From 1530290772 to 1530290801,102.3,540,27851
From 1530290802 to 1530290831,105.23,539,24406
From 1530290832 to 1530290861,100.93,575,22133
From 1530290862 to 1530290891,104.47,527,28255
From 1530290892 to 1530290921,102.1,520,32383
From 1530290922 to 1530290952,128.73,619,21225
From 1530290953 to 1530290982,100.6,520,22658
From 1530290983 to 1530291012,102.63,538,26467
From 1530291013 to 1530291042,109.1,550,39131
From 1530291043 to 1530291072,98.87,619,14068
From 1530291073 to 1530291102,107.8,534,37369
From 1530291103 to 1530291133,100.5,528,23039
From 1530291134 to 1530291163,97.97,451,28577
From 1530291164 to 1530291193,100.67,498,21459
From 1530291194 to 1530291223,104.3,539,33526
From 1530291224 to 1530291253,102.6,560,26253
From 1530291254 to 1530291283,104.77,511,29816
From 1530291284 to 1530291314,119.63,593,36751
From 1530291315 to 1530291344,101.2,539,24248
From 1530291345 to 1530291374,95.33,527,18842
From 1530291375 to 1530291404,93.9,548,18025
From 1530291405 to 1530291434,99.83,539,25185
From 1530291435 to 1530291464,98.8,527,19665
From 1530291465 to 1530291495,100.2,567,24710
From 1530291496 to 1530291525,104.8,547,29975
From 1530291526 to 1530291555,113.27,590,33330
From 1530291556 to 1530291585,98.97,525,26590
From 1530291586 to 1530291615,113.87,525,28127
From 1530291616 to 1530291646,97,517,23100
From 1530291647 to 1530291676,98.67,497,21353
From 1530291677 to 1530291706,103.7,485,32316
From 1530291707 to 1530291736,99.53,549,19212
From 1530291737 to 1530291766,103.4,580,31192
From 1530291767 to 1530291796,103.37,547,29708
From 1530291797 to 1530291826,100.07,545,22681
From 1530291827 to 1530291857,100.13,575,31193
From 1530291858 to 1530291887,102.33,539,28910
From 1530291888 to 1530291917,102.33,556,26515
From 1530291918 to 1530291947,109.53,539,30289
From 1530291948 to 1530291977,97.67,519,23158
From 1530291978 to 1530292007,96.57,575,19710
From 1530292008 to 1530292038,104.17,591,39157
From 1530292039 to 1530292068,102.17,570,24642
From 1530292069 to 1530292098,107.4,522,27011
From 1530292099 to 1530292128,95.87,513,16112
From 1530292129 to 1530292158,98.13,475,14421
From 1530292159 to 1530292188,97.53,520,22805
From 1530292189 to 1530292219,99.43,555,26517
From 1530292220 to 1530292249,100.87,595,22685
From 1530292250 to 1530292279,101.7,522,26204
From 1530292280 to 1530292309,108.83,536,27723
From 1530292310 to 1530292339,98.17,545,28030
From 1530292340 to 1530292369,98.3,551,21300
From 1530292370 to 1530292399,104.27,574,30417
From 1530292400 to 1530292430,97.83,562,21221
From 1530292431 to 1530292460,99.73,514,23396
From 1530292461 to 1530292490,101.83,536,30173
From 1530292491 to 1530292520,108.07,600,31883
From 1530292521 to 1530292550,96.67,566,10502
From 1530292551 to 1530292580,101.63,516,28138
From 1530292581 to 1530292611,119.03,538,26830
From 1530292612 to 1530292641,84.97,268,25108
From 1530292642 to 1530292671,53.5,269,24
From 1530292672 to 1530292701,109.37,502,24903
From 1530292702 to 1530292731,106.5,498,24643
From 1530292732 to 1530292761,109.3,545,24557
From 1530292762 to 1530292792,101.1,572,29388
From 1530292793 to 1530292822,102.2,552,29658
From 1530292823 to 1530292852,105.37,560,24329
From 1530292853 to 1530292882,100.97,537,30614
From 1530292883 to 1530292912,101.03,569,17913
From 1530292913 to 1530292942,100,498,31999
From 1530292943 to 1530292973,94.5,541,23267
From 1530292974 to 1530293003,94.67,568,22968
From 1530293004 to 1530293033,95.67,536,33849
From 1530293034 to 1530293063,95.13,519,21237
From 1530293064 to 1530293093,104.5,575,34044
From 1530293094 to 1530293123,99.43,465,28415
From 1530293124 to 1530293154,95.03,516,15991
From 1530293155 to 1530293184,96.43,508,17651
From 1530293185 to 1530293214,105.37,558,28149
From 1530293215 to 1530293244,100.27,542,26172
From 1530293245 to 1530293274,99.17,539,20876
From 1530293275 to 1530293304,101.5,558,27642
From 1530293305 to 1530293335,107.17,521,23301
From 1530293336 to 1530293365,99.63,547,21720
From 1530293366 to 1530293395,98.2,582,23193
From 1530293396 to 1530293425,97.43,556,21045
From 1530293426 to 1530293455,106.4,523,22644
From 1530293456 to 1530293485,108.7,566,43124
From 1530293486 to 1530293516,97.3,630,19715
From 1530293517 to 1530293546,100.07,530,28421
From 1530293547 to 1530293576,100.7,486,33121
From 1530293577 to 1530293606,100.73,505,25160
From 1530293607 to 1530293636,103.77,487,21010
From 1530293637 to 1530293666,100.1,499,25214
From 1530293667 to 1530293696,103.3,541,28152
From 1530293697 to 1530293727,99.87,581,22928
From 1530293728 to 1530293757,100.3,548,26254
From 1530293758 to 1530293787,100.83,538,22271
From 1530293788 to 1530293817,101.77,560,24712
From 1530293818 to 1530293847,104.9,547,21037
From 1530293848 to 1530293877,98.67,578,30521
From 1530293878 to 1530293908,101.67,560,21529
From 1530293909 to 1530293938,99.07,541,21154
From 1530293939 to 1530293968,106,518,35962
From 1530293969 to 1530293998,101.37,578,31484
From 1530293999 to 1530294028,102.67,581,31569
From 1530294029 to 1530294058,96.97,528,17428
From 1530294059 to 1530294089,116.5,510,41304
From 1530294090 to 1530294119,106.17,497,30227
From 1530294120 to 1530294149,104.3,456,38417
From 1530294150 to 1530294179,99.47,567,17706
From 1530294180 to 1530294209,98.87,555,26385
From 1530294210 to 1530294239,102.27,512,26198
From 1530294240 to 1530294269,106.7,558,27632
From 1530294270 to 1530294300,101.9,561,26020
From 1530294301 to 1530294330,104.2,570,25829
From 1530294331 to 1530294360,102.6,532,27051
From 1530294361 to 1530294390,103.4,549,26872
From 1530294391 to 1530294420,101.03,551,28652
From 1530294421 to 1530294450,102.9,512,21176
From 1530294451 to 1530294481,115.03,583,32107
From 1530294482 to 1530294511,103.4,582,30349
From 1530294512 to 1530294541,98.77,546,15656
From 1530294542 to 1530294571,102.6,541,26364
From 1530294572 to 1530294601,103.07,505,22964
From 1530294602 to 1530294631,96.37,488,14181
From 1530294632 to 1530294662,107.47,531,34335
From 1530294663 to 1530294692,120.5,499,35573
From 1530294693 to 1530294722,116.63,553,20882
From 1530294723 to 1530294752,99.97,456,29356
From 1530294753 to 1530294782,90.3,476,6914
From 1530294783 to 1530294813,109.5,568,21430
From 1530294814 to 1530294843,108.73,565,19164
From 1530294844 to 1530294873,102.27,551,28649
From 1530294874 to 1530294903,98.97,550,21077
From 1530294904 to 1530294933,97.43,496,23548
From 1530294934 to 1530294963,97.57,559,21705
From 1530294964 to 1530294993,103.6,591,29824
From 1530294994 to 1530295024,99.13,571,21243
From 1530295025 to 1530295054,98.07,525,23169
From 1530295055 to 1530295084,96.5,523,19306
From 1530295085 to 1530295114,104.07,481,20067
From 1530295115 to 1530295144,103.93,516,31688
From 1530295145 to 1530295174,97.47,538,21237
From 1530295175 to 1530295205,104.73,586,35409
From 1530295206 to 1530295235,99.8,535,26473
From 1530295236 to 1530295265,108.9,515,28248
From 1530295266 to 1530295295,103.6,567,29385
From 1530295296 to 1530295325,102.47,536,27066
From 1530295326 to 1530295355,101.3,562,21485
From 1530295356 to 1530295386,101.7,557,28647
From 1530295387 to 1530295416,109.2,501,35555
From 1530295417 to 1530295446,100.33,566,19350
From 1530295447 to 1530295476,108.3,585,33880
From 1530295477 to 1530295506,102.73,462,24740
From 1530295507 to 1530295536,102.7,540,23381
From 1530295537 to 1530295567,104.6,500,28007
From 1530295568 to 1530295597,105.07,515,37813
From 1530295598 to 1530295627,103.23,460,30314
From 1530295628 to 1530295657,95.17,563,14186
From 1530295658 to 1530295687,102.4,569,31312
From 1530295688 to 1530295717,111.27,530,29712
From 1530295718 to 1530295748,96.97,576,20960
From 1530295749 to 1530295778,102.5,546,34596
From 1530295779 to 1530295808,98.2,550,21764
From 1530295809 to 1530295838,96.1,522,19586
From 1530295839 to 1530295868,103.77,609,26463
From 1530295869 to 1530295898,100.93,517,21599
From 1530295899 to 1530295929,103.87,528,25025
From 1530295930 to 1530295959,98.47,611,19786
From 1530295960 to 1530295989,101.7,581,19421
From 1530295990 to 1530296019,100,517,28530
From 1530296020 to 1530296049,100.23,499,23466
From 1530296050 to 1530296079,103.4,487,30622
From 1530296080 to 1530296110,98.4,535,17714
From 1530296111 to 1530296140,106.7,526,25929
From 1530296141 to 1530296170,96.13,579,13907
From 1530296171 to 1530296200,102.73,534,29944
From 1530296201 to 1530296230,100.07,565,24894
From 1530296231 to 1530296261,104.43,566,29576
From 1530296262 to 1530296291,101.8,503,37350
From 1530296292 to 1530296321,107.17,558,30798
From 1530296322 to 1530296351,100.5,565,21484
From 1530296352 to 1530296381,102,522,28715
From 1530296382 to 1530296411,103.4,565,18210
From 1530296412 to 1530296442,100.03,597,26600
From 1530296443 to 1530296472,102.6,549,28902
From 1530296473 to 1530296502,98.57,552,23122
From 1530296503 to 1530296532,99.17,509,16182
From 1530296533 to 1530296562,102.9,489,19134
From 1530296563 to 1530296592,102.1,472,30374
From 1530296593 to 1530296623,103.67,519,26762
