Period,CPUAvg,ConceptServiceImpl:848,Concept:1220,BaseOpenmrsObject:81,BaseOpenmrsObject:64,BaseOpenmrsObject:66,BaseOpenmrsObject:70,Concept:1226,Encounter:69
From 1528484216 to 1528484245,101.4,232,1552,24963,949823,132,220,1552,47
From 1528484246 to 1528484276,99.23,300,980,28804,1017082,142,234,980,71
From 1528484277 to 1528484306,99.8,332,1095,19484,714648,121,206,1095,47
From 1528484307 to 1528484336,101.37,380,857,31705,1209413,149,242,857,51
From 1528484337 to 1528484366,85.33,258,850,25320,977505,117,190,850,26
From 1528484367 to 1528484396,79.63,186,923,16310,606996,95,160,923,41
From 1528484397 to 1528484426,101.3,318,1187,26400,1014771,133,220,1187,62
From 1528484427 to 1528484457,102.57,266,1671,27396,1043946,149,250,1671,70
From 1528484458 to 1528484487,84.3,130,1184,23467,879403,112,182,1184,55
From 1528484488 to 1528484517,105.23,214,755,32504,1208397,145,232,755,93
From 1528484518 to 1528484547,96.03,204,1151,22661,863222,130,220,1151,78
From 1528484548 to 1528484577,96.63,380,1367,17468,649346,117,202,1367,66
From 1528484578 to 1528484607,100.57,293,1221,21042,786990,127,216,1221,53
From 1528484608 to 1528484638,96.57,249,1159,25690,958874,135,224,1159,82
From 1528484639 to 1528484668,101.9,224,1398,28720,1058182,137,222,1398,70
From 1528484669 to 1528484698,99.57,170,1407,18832,710016,117,200,1407,78
From 1528484699 to 1528484728,92.8,242,1117,28917,1114650,130,210,1117,46
From 1528484729 to 1528484759,104.23,313,1206,31979,1212301,144,232,1206,76
From 1528484760 to 1528484789,101.33,337,779,25028,953461,137,230,779,79
From 1528484790 to 1528484819,96.0,290,870,27145,1025903,134,220,870,79
From 1528484820 to 1528484849,93.57,166,1269,24484,912246,125,206,1269,52
From 1528484850 to 1528484879,81.87,168,396,23888,915351,101,160,396,47
From 1528484880 to 1528484909,98.4,264,484,25693,959776,122,198,484,75
From 1528484910 to 1528484940,102.9,202,773,32948,1241595,138,216,773,59
From 1528484941 to 1528484970,94.4,170,1486,19818,737594,123,210,1486,96
From 1528484971 to 1528485000,101.4,172,1428,30165,1120037,134,214,1428,80
From 1528485001 to 1528485030,60.43,92,593,11767,441950,72,122,593,48
From 1528485031 to 1528485060,56.03,92,537,11916,470956,63,104,537,30
From 1528485061 to 1528485090,49.8,142,728,5800,215177,53,94,728,9
From 1528485091 to 1528485121,38.3,70,318,13788,507880,49,72,318,4
From 1528485122 to 1528485151,40.57,34,180,8282,314053,39,62,180,25
From 1528485152 to 1528485181,30.2,22,436,6235,247620,36,60,436,24
From 1528485182 to 1528485212,26.67,64,170,4938,195021,19,28,170,3
From 1528485213 to 1528485242,29.03,36,403,1259,49020,28,52,403,14
From 1528485243 to 1528485272,44.9,130,340,9637,371564,46,74,340,28
From 1528485273 to 1528485302,34.3,78,258,2489,97356,34,62,258,30
From 1528485303 to 1528485332,37.93,102,468,9288,345252,41,64,468,19
From 1528485333 to 1528485362,91.2,246,927,11731,439480,112,202,927,102
From 1528485363 to 1528485392,94.5,256,1299,23500,883196,129,216,1299,72
From 1528485393 to 1528485423,96.47,300,1255,30361,1136101,138,222,1255,57
From 1528485424 to 1528485453,98.63,367,1016,22364,842743,137,234,1016,48
From 1528485454 to 1528485483,101.5,277,1211,34803,1335915,152,244,1211,71
From 1528485484 to 1528485513,95.1,244,794,24590,922467,123,202,794,73
From 1528485514 to 1528485543,85.4,186,719,23589,890241,110,178,719,45
From 1528485544 to 1528485573,84.47,218,1005,18390,675047,107,180,1005,49
From 1528485574 to 1528485604,82.23,230,743,24060,882671,117,190,743,87
From 1528485605 to 1528485634,72.8,124,750,17777,674719,86,140,750,25
From 1528485635 to 1528485664,74.47,128,900,25008,954493,105,166,900,52
From 1528485665 to 1528485694,82.37,140,886,23537,886584,110,178,886,48
From 1528485695 to 1528485724,73.3,120,738,21320,808350,101,164,738,57
From 1528485725 to 1528485755,77.9,140,757,25816,971673,109,172,757,57
From 1528485756 to 1528485785,81.93,148,1039,24795,936640,116,188,1039,64
From 1528485786 to 1528485815,82.2,284,1113,21140,794227,117,196,1113,60
From 1528485816 to 1528485845,95.0,228,720,32270,1234680,135,214,720,52
From 1528485846 to 1528485875,88.13,172,984,15594,598668,99,170,984,90
From 1528485876 to 1528485905,102.93,203,794,25166,966186,119,194,794,52
From 1528485906 to 1528485936,97.73,321,940,24751,932895,132,220,940,82
From 1528485937 to 1528485966,102.13,229,577,26495,978250,124,200,577,84
From 1528485967 to 1528485996,93.13,255,1108,27730,1024054,143,236,1108,72
From 1528485997 to 1528486026,99.17,207,573,26895,1008117,124,200,573,70
From 1528486027 to 1528486056,95.3,227,878,32150,1225701,147,238,878,69
From 1528486057 to 1528486087,102.57,172,936,29650,1126681,127,202,936,53
From 1528486088 to 1528486117,97.57,225,1663,24827,938368,134,226,1663,68
From 1528486118 to 1528486147,100.73,163,1959,24735,931081,134,222,1959,59
From 1528486148 to 1528486177,97.73,230,1030,29271,1097664,144,236,1030,83
From 1528486178 to 1528486207,101.9,284,1393,22416,847516,125,210,1393,69
From 1528486208 to 1528486237,104.83,278,987,35810,1366650,155,248,987,70
From 1528486238 to 1528486268,85.4,166,715,28356,1073330,105,160,715,38
From 1528486269 to 1528486298,49.83,130,610,11927,454001,68,114,610,25
From 1528486299 to 1528486328,37.23,126,193,9365,351066,46,74,193,21
From 1528486329 to 1528486358,57.07,116,413,19823,742583,76,116,413,34
From 1528486359 to 1528486388,48.9,158,453,13006,491643,71,118,453,28
From 1528486389 to 1528486418,52.57,130,619,6910,253499,63,111,619,55
From 1528486419 to 1528486449,103.53,270,1527,28808,1065253,153,255,1527,62
From 1528486450 to 1528486479,95.6,220,976,34594,1320343,139,218,976,75
From 1528486480 to 1528486509,99.33,216,984,25957,979366,130,214,984,79
From 1528486510 to 1528486539,97.2,236,1081,26660,1034283,133,220,1081,68
From 1528486540 to 1528486569,101.17,232,1129,24867,940190,136,228,1129,79
From 1528486570 to 1528486599,98.93,238,1051,22788,874633,117,194,1051,73
From 1528486600 to 1528486630,96.47,372,1531,20824,769345,133,228,1531,60
From 1528486631 to 1528486660,86.13,108,1556,20626,798965,107,177,1556,43
From 1528486661 to 1528486690,83.5,236,716,15646,600730,99,171,716,71
From 1528486691 to 1528486720,82.13,250,925,24812,936876,117,190,925,51
From 1528486721 to 1528486750,88.07,172,1202,17325,638841,114,196,1202,69
From 1528486751 to 1528486780,104.9,282,1576,28707,1054493,148,244,1576,78
From 1528486781 to 1528486811,101.07,250,732,31943,1210603,148,240,732,69
From 1528486812 to 1528486841,96.9,322,1501,15768,608993,121,214,1501,60
From 1528486842 to 1528486871,78.17,163,854,15819,615484,88,148,854,68
From 1528486872 to 1528486901,51.4,141,330,13046,496148,59,94,330,14
From 1528486902 to 1528486931,52.83,100,460,10804,415523,49,78,460,26
From 1528486932 to 1528486962,37.77,76,381,11657,434728,58,94,381,21
From 1528486963 to 1528486992,60.1,162,780,9449,356337,70,122,780,52
From 1528486993 to 1528487022,58.23,171,297,12868,481783,65,106,297,37
From 1528487023 to 1528487052,66.8,159,657,13872,512450,85,144,657,51
From 1528487053 to 1528487082,57.57,90,536,14047,526965,64,102,536,24
From 1528487083 to 1528487112,96.03,188,1349,21226,799970,119,200,1349,37
From 1528487113 to 1528487143,102.27,226,1574,24842,939329,135,226,1574,71
From 1528487144 to 1528487173,101.1,234,1264,25300,975646,125,206,1264,45
From 1528487174 to 1528487203,93.33,198,1214,30571,1104519,133,214,1214,65
From 1528487204 to 1528487233,99.1,216,1079,24846,940065,127,210,1079,63
From 1528487234 to 1528487263,92.3,240,1534,26453,972968,134,220,1534,66
From 1528487264 to 1528487293,91.53,158,1462,20956,779436,129,220,1462,80
From 1528487294 to 1528487324,92.3,206,1283,25157,965345,118,192,1283,71
From 1528487325 to 1528487354,86.53,246,1008,17887,681679,112,192,1008,73
From 1528487355 to 1528487384,83.17,248,559,25260,972795,113,182,559,77
From 1528487385 to 1528487414,100.5,348,1246,20412,781418,129,222,1246,53
From 1528487415 to 1528487444,103.63,250,1464,21235,802970,124,210,1464,69
From 1528487445 to 1528487474,86.23,194,745,26361,1009957,126,206,745,77
From 1528487475 to 1528487505,54.43,126,492,12891,483004,72,120,492,35
From 1528487506 to 1528487535,53.23,140,1192,6009,229166,62,112,1192,30
From 1528487536 to 1528487565,58.23,116,983,12877,481773,74,124,983,49
From 1528487566 to 1528487595,58.3,122,381,14092,530058,65,104,381,33
From 1528487596 to 1528487625,92.13,224,1139,24151,890133,124,204,1139,61
From 1528487626 to 1528487656,83.3,164,515,21079,790116,108,178,515,77
From 1528487657 to 1528487686,105.7,228,889,29016,1077127,145,238,889,98
From 1528487687 to 1528487716,98.6,278,906,27083,1021559,136,224,906,58
From 1528487717 to 1528487746,106.87,282,763,37006,1416309,155,246,763,61
From 1528487747 to 1528487776,95.83,238,1184,25174,964070,131,218,1184,76
From 1528487777 to 1528487806,101.83,272,718,20052,756788,117,198,718,80
From 1528487807 to 1528487837,72.73,114,727,21510,822531,95,152,727,46
From 1528487838 to 1528487867,78.2,256,743,25902,978152,111,176,743,16
From 1528487868 to 1528487897,92.8,296,746,25191,966847,124,204,746,52
From 1528487898 to 1528487927,99.97,264,1340,23603,890536,132,222,1340,72
From 1528487928 to 1528487957,102.73,128,886,32010,1216997,127,198,886,34
