Period,CPUAvg,ConceptServiceImpl:848,Concept:1220,BaseOpenmrsObject:81,BaseOpenmrsObject:64,BaseOpenmrsObject:66,BaseOpenmrsObject:70,Concept:1226,Encounter:69
From 1528475924 to 1528475954,102.57,272,1272,32254,1190668,151,244,1272,72
From 1528475955 to 1528475984,92.33,292,1431,19503,714824,124,212,1431,75
From 1528475985 to 1528476014,86.23,292,367,23285,866491,118,194,367,77
From 1528476015 to 1528476044,79.53,164,888,18770,703572,107,180,888,68
From 1528476045 to 1528476074,99.73,192,1163,25463,943752,128,210,1163,55
From 1528476075 to 1528476104,105.77,306,1400,28403,1033142,148,244,1400,85
From 1528476105 to 1528476134,92.67,308,852,26029,942195,126,204,851,44
From 1528476135 to 1528476165,74.13,154,1222,12447,449855,88,152,1223,31
From 1528476166 to 1528476195,63.13,196,651,11721,438760,74,126,651,38
From 1528476196 to 1528476225,65.1,198,448,9547,363376,68,118,448,52
From 1528476226 to 1528476255,79.4,172,431,22626,863471,95,150,431,50
From 1528476256 to 1528476285,68.77,149,1045,5850,217072,67,122,1045,39
From 1528476286 to 1528476315,103.9,207,1233,31183,1154659,148,240,1233,58
From 1528476316 to 1528476345,103.37,270,1505,24614,922610,139,234,1505,79
From 1528476346 to 1528476376,103.9,278,1450,35671,1315120,168,272,1450,69
From 1528476377 to 1528476406,108.33,172,1097,28684,1054357,145,238,1097,74
From 1528476407 to 1528476436,100.13,274,920,21802,799156,123,206,920,81
From 1528476437 to 1528476466,88.27,332,895,16106,590182,123,216,895,74
From 1528476467 to 1528476496,98.27,258,1260,20733,763111,122,206,1260,76
From 1528476497 to 1528476526,90.67,240,1133,17162,627493,111,190,1133,55
From 1528476527 to 1528476557,98.73,291,1336,26041,945721,138,228,1336,77
From 1528476558 to 1528476587,102.0,222,1162,20338,736128,127,216,1162,65
From 1528476588 to 1528476617,103.17,225,876,31450,1173053,143,230,876,76
From 1528476618 to 1528476647,101.17,385,908,25806,968088,139,232,908,62
From 1528476648 to 1528476677,110.93,229,958,27660,1022680,133,216,958,70
From 1528476678 to 1528476707,97.57,294,810,27707,1025060,140,230,810,84
From 1528476708 to 1528476737,101.4,231,1176,27774,1028594,139,228,1176,77
From 1528476738 to 1528476768,80.27,201,994,18912,715126,101,168,994,39
From 1528476769 to 1528476798,57.37,74,862,13901,515916,60,96,862,15
From 1528476799 to 1528476828,53.97,100,543,10618,399400,65,108,543,31
From 1528476829 to 1528476858,47.23,164,668,13846,511394,71,116,668,23
From 1528476859 to 1528476888,57.03,132,779,15953,582621,70,110,779,20
