Period,CPUAvg,Concept:1027,BaseOpenmrsObject:82,Person:186,BaseOpenmrsObject:65,BaseOpenmrsObject:67,BaseOpenmrsObject:71
From 1532366917 to 1532366946,102.43,637,23937,14,1396087,102,176
From 1532366947 to 1532366977,106.9,1073,20025,12,1156002,74,124
From 1532366978 to 1532367007,104.13,793,29673,16,1743562,94,154
From 1532367008 to 1532367037,100.4,723,18773,7,1158174,79,136
From 1532367038 to 1532367067,102.9,1079,22354,15,1320459,87,147
From 1532367068 to 1532367097,103.4,1056,32123,17,1922462,96,156
From 1532367098 to 1532367127,101.73,909,20480,9,1206934,81,139
From 1532367128 to 1532367158,96.43,597,20585,11,1220429,74,124
From 1532367159 to 1532367188,95.73,697,19154,9,1161691,75,128
From 1532367189 to 1532367218,104.7,995,26705,13,1615994,86,142
From 1532367219 to 1532367248,111.73,692,24630,16,1480349,91,154
From 1532367249 to 1532367278,102.97,615,26063,15,1538940,80,130
From 1532367279 to 1532367308,104.2,660,28654,15,1734935,91,150
From 1532367309 to 1532367339,104.17,573,29880,15,1767976,97,160
From 1532367340 to 1532367369,100.5,470,18636,8,1101262,65,108
From 1532367370 to 1532367399,102.77,587,20850,13,1251791,83,142
From 1532367400 to 1532367429,108.0,359,36060,15,2115263,91,142
From 1532367430 to 1532367459,109.0,738,30870,14,1835588,97,158
From 1532367460 to 1532367489,97.17,521,22282,18,1311457,79,132
From 1532367490 to 1532367520,103.7,359,30823,17,1773187,84,132
From 1532367521 to 1532367550,99.6,1091,14617,10,846055,82,146
From 1532367551 to 1532367580,102.4,700,42427,23,2485062,108,168
From 1532367581 to 1532367610,96.8,938,15444,7,940101,77,136
From 1532367611 to 1532367640,107.43,662,30605,17,1858779,94,154
From 1532367641 to 1532367670,106.37,514,33739,13,2004912,96,154
From 1532367671 to 1532367701,104.1,1065,24707,14,1488363,88,148
From 1532367702 to 1532367731,105.4,538,39155,16,2319669,92,140
From 1532367732 to 1532367761,92.73,644,26368,15,1575261,93,156
From 1532367762 to 1532367791,106.1,448,28247,20,1686947,80,128
From 1532367792 to 1532367821,102.97,961,26150,13,1549675,83,136
From 1532367822 to 1532367851,99.9,549,13420,9,815244,73,130
From 1532367852 to 1532367881,104.9,932,18857,8,1126823,70,118
From 1532367882 to 1532367912,106.67,371,20520,11,1214478,69,114
From 1532367913 to 1532367942,106.03,942,13253,9,793974,66,116
From 1532367943 to 1532367972,106.37,1122,24306,10,1440090,87,146
From 1532367973 to 1532368002,100.53,906,22189,12,1301939,74,122
From 1532368003 to 1532368032,105.53,904,27351,20,1580507,104,176
From 1532368033 to 1532368062,99.43,565,18393,10,1070143,70,118
From 1532368063 to 1532368093,106.93,551,27880,13,1689058,89,146
From 1532368094 to 1532368123,108.4,520,44413,22,2608789,100,152
From 1532368124 to 1532368153,91.6,576,13537,11,827793,76,134
From 1532368154 to 1532368183,103.87,1485,34095,16,2045896,96,154
From 1532368184 to 1532368213,107.53,778,34106,17,2050710,95,152
From 1532368214 to 1532368243,100.9,518,24498,13,1462341,91,154
From 1532368244 to 1532368274,106.53,819,32385,17,1958158,94,152
From 1532368275 to 1532368304,97.67,646,15154,9,908531,71,124
From 1532368305 to 1532368334,115.57,829,36864,22,2155895,101,160
From 1532368335 to 1532368364,104.43,579,36050,7,2168380,87,134
From 1532368365 to 1532368394,92.63,599,20909,22,1261634,66,108
From 1532368395 to 1532368424,103.37,492,47989,15,2812347,98,142
From 1532368425 to 1532368455,98.67,866,13485,19,821372,74,132
From 1532368456 to 1532368485,107.7,899,28240,12,1685444,93,154
From 1532368486 to 1532368515,115.07,509,37831,22,2271365,100,158
From 1532368516 to 1532368545,97.6,859,14685,8,741773,67,118
From 1532368546 to 1532368575,117.3,365,46150,25,2704486,111,170
From 1532368576 to 1532368605,103.07,613,25819,12,1509845,84,138
From 1532368606 to 1532368636,109.63,815,40544,21,2375334,109,172
From 1532368637 to 1532368666,103.97,307,28077,16,1668120,90,148
From 1532368667 to 1532368696,109.17,775,24894,13,1509406,83,138
From 1532368697 to 1532368726,101.63,993,16940,10,1010568,85,150
From 1532368727 to 1532368756,107.17,620,30122,15,1798849,87,140
From 1532368757 to 1532368786,102.83,872,25050,15,1527049,91,154
From 1532368787 to 1532368817,105.0,866,26496,12,1590659,85,140
From 1532368818 to 1532368847,110.4,1021,24040,15,1408228,97,166
From 1532368848 to 1532368877,101.63,674,26052,14,1535569,85,139
From 1532368878 to 1532368907,104.83,1097,26239,9,1560682,84,139
From 1532368908 to 1532368937,91.53,774,27855,13,1641582,80,128
From 1532368938 to 1532368967,97.8,566,11660,11,716582,57,100
From 1532368968 to 1532368998,112.17,479,33833,19,2017118,98,158
From 1532368999 to 1532369028,101.13,555,22283,13,1311688,84,142
From 1532369029 to 1532369058,107.5,695,31676,16,1873481,89,142
From 1532369059 to 1532369088,107.8,500,27660,15,1615960,97,162
