Period,CPUAvg,Concept:1027,BaseOpenmrsObject:82,Person:186,BaseOpenmrsObject:65,BaseOpenmrsObject:67,BaseOpenmrsObject:71
From 1532376673 to 1532376702,103.53,737,26163,13,1551036,80,130
From 1532376703 to 1532376732,104.6,826,18651,12,1101405,76,130
From 1532376733 to 1532376762,99.9,816,24310,11,1440498,87,146
From 1532376763 to 1532376793,95.83,628,30180,17,1805158,89,144
From 1532376794 to 1532376823,106.7,987,32239,14,1936380,100,164
From 1532376824 to 1532376853,103.3,352,26436,15,1584662,81,132
From 1532376854 to 1532376883,99.13,684,18461,12,1079044,74,126
From 1532376884 to 1532376913,102.23,801,24481,14,1461701,82,136
From 1532376914 to 1532376944,109.53,932,35686,17,2126173,99,158
From 1532376945 to 1532376974,103.37,411,25896,14,1519298,77,124
From 1532376975 to 1532377004,99.23,264,31881,13,1896768,94,152
From 1532377005 to 1532377034,86.4,769,22429,17,1327966,80,136
From 1532377035 to 1532377064,98.77,601,27606,11,1611213,85,136
From 1532377065 to 1532377095,104.97,570,33243,17,1948979,96,154
From 1532377096 to 1532377125,105.67,433,29458,20,1722283,99,164
From 1532377126 to 1532377155,104.43,735,30460,18,1839248,93,152
From 1532377156 to 1532377185,102.87,399,27398,12,1635629,77,124
From 1532377186 to 1532377216,98.27,904,19656,12,1169943,87,150
From 1532377217 to 1532377246,86.5,810,22832,7,1375501,73,120
From 1532377247 to 1532377276,82.03,770,11485,11,694255,62,110
From 1532377277 to 1532377306,89.7,349,21001,10,1270960,70,116
From 1532377307 to 1532377336,102.83,579,28561,16,1725007,86,140
From 1532377337 to 1532377367,100.77,443,24235,13,1433490,84,140
From 1532377368 to 1532377397,113.93,343,34097,16,2051890,86,134
From 1532377398 to 1532377427,94.87,1014,23039,15,1401393,80,134
From 1532377428 to 1532377457,99.63,624,22296,11,1312377,73,120
From 1532377458 to 1532377487,98.43,760,19179,8,1163121,72,122
From 1532377488 to 1532377518,102.37,632,18847,12,1126024,72,122
From 1532377519 to 1532377548,102.77,685,24371,10,1448086,80,132
From 1532377549 to 1532377578,82.5,430,16978,6,1017404,63,106
From 1532377579 to 1532377608,75.9,707,11494,8,696856,55,96
From 1532377609 to 1532377639,75.2,419,20734,10,1238405,59,94
From 1532377640 to 1532377669,73.63,508,18684,12,1107545,53,83
From 1532377670 to 1532377699,82.8,602,12711,7,730248,60,105
From 1532377700 to 1532377729,66.1,351,16697,5,985347,42,64
From 1532377730 to 1532377759,65.4,303,26049,13,1540687,66,102
From 1532377760 to 1532377790,69.93,298,5550,12,326022,43,78
From 1532377791 to 1532377820,106.07,743,26403,13,1578073,96,162
From 1532377821 to 1532377850,108.77,1240,34152,19,2055702,97,156
From 1532377851 to 1532377880,98.17,794,20637,11,1224926,82,140
From 1532377881 to 1532377910,110.7,1088,24162,13,1424700,83,138
From 1532377911 to 1532377941,99.17,948,22142,11,1292048,95,164
From 1532377942 to 1532377971,98.8,464,30176,13,1806981,93,152
From 1532377972 to 1532378001,86.83,319,28505,15,1717273,74,116
From 1532378002 to 1532378031,97.0,691,17075,10,1026641,80,140
From 1532378032 to 1532378061,94.87,614,24702,12,1489133,79,130
From 1532378062 to 1532378092,101.73,829,24947,17,1519884,76,124
From 1532378093 to 1532378122,102.0,609,28495,15,1715902,80,128
From 1532378123 to 1532378152,93.7,692,28929,14,1766852,90,148
From 1532378153 to 1532378182,98.3,766,27997,14,1657135,82,132
From 1532378183 to 1532378212,92.6,765,21704,10,1244495,73,120
From 1532378213 to 1532378243,93.0,902,28123,17,1671951,96,160
From 1532378244 to 1532378273,96.4,419,26013,13,1531143,86,142
From 1532378274 to 1532378303,100.87,755,13478,10,863162,69,122
From 1532378304 to 1532378333,106.53,792,38274,14,2323133,107,172
From 1532378334 to 1532378363,101.53,599,18978,13,1141200,79,136
From 1532378364 to 1532378394,96.03,1186,13166,10,781841,71,126
From 1532378395 to 1532378424,95.6,640,28105,14,1669496,78,124
From 1532378425 to 1532378454,102.07,815,24979,10,1521203,76,124
From 1532378455 to 1532378484,103.2,864,20946,15,1263615,83,142
From 1532378485 to 1532378514,102.07,1273,20890,11,1254292,95,166
From 1532378515 to 1532378545,108.27,766,25182,13,1545717,91,154
From 1532378546 to 1532378575,111.1,661,38067,20,2297153,108,174
