Period, CPUAvg, person,concept,obs,encounter,
From 135085 To 135115,106.53,524,15,12,12,
From 135115 To 135145,97.67,531,14,16,16,
From 135185 To 135215,115.57,523,17,11,14,
From 135215 To 135245,104.43,400,11,13,14,
From 135285 To 135315,92.63,390,13,4,5,
From 135315 To 135345,103.37,403,11,8,8,
From 135386 To 135416,98.67,519,14,11,18,
From 135416 To 135446,107.7,509,18,10,21,
From 135486 To 135516,115.07,501,13,8,14,
From 135516 To 135546,97.6,526,18,18,11,
From 135586 To 135616,117.3,512,12,13,11,
From 135616 To 135646,103.07,502,15,15,11,
From 135687 To 135717,109.63,556,17,14,13,
From 135717 To 135747,103.97,510,7,18,16,
From 135787 To 135817,109.17,509,16,19,9,
From 135817 To 135847,101.63,544,19,18,19,
From 135887 To 135917,107.17,485,16,12,13,
From 135917 To 135947,102.83,505,15,14,18,
From 139988 To 140018,105.0,540,17,14,13,
From 140018 To 140048,110.4,575,19,16,17,
From 140088 To 140118,101.63,501,11,15,15,
From 140118 To 140148,104.83,450,17,14,17,
From 140188 To 140218,91.53,408,14,7,13,
From 140218 To 140248,97.8,464,12,10,18,
From 140289 To 140319,112.17,494,9,12,15,
From 140319 To 140349,101.13,533,15,17,16,
From 140389 To 140419,107.5,502,17,12,12,
From 140419 To 140449,107.8,523,10,17,21,
From 140489 To 140519,102.13,518,19,11,11,
From 140520 To 140550,104.73,513,12,18,9,
From 140590 To 140620,103.93,519,13,12,16,
From 140620 To 140650,101.2,512,10,19,17,
From 140690 To 140720,110.33,482,16,14,11,
From 140720 To 140750,100.47,533,18,9,18,
From 140790 To 140820,102.2,469,12,18,14,
From 140821 To 140851,102.2,562,16,11,20,
From 140891 To 140921,109.07,534,10,17,19,
From 140921 To 140951,116.27,493,12,15,7,
From 140991 To 141021,105.37,535,24,16,17,
From 141021 To 141051,100.77,496,10,11,20,
From 141091 To 141121,106.53,430,10,12,17,
From 141122 To 141152,95.0,409,14,12,10,
From 141192 To 141222,86.47,420,9,15,12,
From 141222 To 141252,107.4,513,18,13,18,
From 141292 To 141322,108.3,541,13,14,20,
From 141322 To 141352,101.93,499,10,9,24,
From 141392 To 141422,101.0,505,19,13,12,
From 141423 To 141453,105.2,547,19,15,10,
From 141493 To 141523,103.27,490,12,17,15,
From 141523 To 141553,102.17,528,10,17,15,
From 141593 To 141623,104.4,536,20,10,16,
From 141623 To 141653,103.93,492,10,15,21,
From 141693 To 141723,89.77,332,10,7,9,
From 141724 To 141754,107.87,450,13,8,13,
From 141794 To 141824,100.6,494,17,17,13,
From 141824 To 141854,101.8,471,13,13,17,
From 141894 To 141924,96.8,481,12,14,19,
From 141924 To 141954,104.6,375,8,16,10,
From 141995 To 142025,106.5,485,13,14,13,
From 142025 To 142055,103.67,450,15,9,14,
From 142095 To 142125,103.3,487,13,16,12,
From 142125 To 142155,111.9,489,13,15,13,
From 142195 To 142225,93.03,337,4,9,6,
From 142225 To 142255,111.37,531,14,13,18,
From 142296 To 142326,108.9,555,14,17,13,
From 142326 To 142356,103.73,484,8,18,16,
From 142396 To 142426,104.07,494,11,18,13,
From 142426 To 142456,102.13,563,24,14,20,
From 142496 To 142526,96.43,497,19,15,15,
From 142527 To 142557,103.5,481,11,12,14,
From 142597 To 142627,104.5,498,19,10,15,
From 142627 To 142657,99.5,556,18,18,17,
From 142697 To 142727,105.83,529,14,13,19,
From 142727 To 142757,102.5,381,10,7,11,
From 142797 To 142827,95.7,499,16,19,14,
From 142828 To 142858,103.4,510,13,10,15,
From 142898 To 142928,108.4,446,15,12,19,
From 142928 To 142958,99.13,468,11,11,20,
From 142998 To 143028,106.03,499,12,22,13,
From 143028 To 143058,102.37,514,18,14,14,
From 143098 To 143128,103.73,529,16,12,16,
From 143129 To 143159,95.0,465,19,13,10,
From 143199 To 143229,90.0,380,8,12,13,
From 143229 To 143259,94.43,541,21,15,11,
From 143299 To 143329,103.97,430,8,16,11,
From 143329 To 143359,95.33,534,22,15,13,
From 143399 To 143429,103.3,487,12,16,11,
From 143470 To 143500,103.27,494,16,10,12,
From 143500 To 143530,101.57,490,18,9,14,
From 143570 To 143600,103.7,531,12,15,19,
From 143600 To 143630,99.7,540,17,20,13,
From 143670 To 143700,100.23,486,12,13,18,
From 143701 To 143731,107.53,405,10,9,13,
From 143771 To 143801,78.0,376,11,11,4,
From 143801 To 143831,90.13,411,13,14,12,
From 143871 To 143901,100.6,422,17,11,11,
From 143901 To 143931,96.9,484,12,16,16,
From 143972 To 144002,74.8,409,14,8,6,
From 144002 To 144032,100.17,485,15,14,18,
From 144073 To 144103,83.77,445,11,11,9,
From 144103 To 144133,94.63,509,22,11,19,
From 144173 To 144203,99.7,490,14,21,16,
From 144204 To 144234,54.63,236,8,10,7,
From 144274 To 144304,58.03,260,5,7,7,
From 144305 To 144335,62.8,388,8,9,13,
From 144375 To 144405,101.9,456,19,13,12,
From 144406 To 144436,82.17,455,12,13,14,
From 144476 To 144506,91.33,464,11,20,13,
From 144506 To 144536,84.97,473,11,13,17,
From 144576 To 144606,90.6,500,14,15,14,
From 144607 To 144637,81.07,390,7,11,16,
From 144677 To 144707,77.07,384,10,9,9,
From 144707 To 144737,80.97,354,10,12,11,
From 144777 To 144807,104.33,463,8,13,13,
From 144808 To 144838,98.03,508,21,14,14,
From 144878 To 144908,94.33,462,8,17,19,
From 144908 To 144938,97.33,472,16,7,19,
From 144979 To 145009,98.03,454,14,10,12,
From 145009 To 145039,89.83,456,9,11,10,
From 145079 To 145109,95.6,504,11,22,17,
From 145109 To 145139,83.93,483,15,14,16,
From 145180 To 145210,87.03,436,13,10,8,
From 145210 To 145240,95.87,502,20,8,13,
From 145280 To 145310,86.13,339,9,12,10,
From 145310 To 145340,73.4,442,9,12,14,
From 145381 To 145411,95.7,468,17,16,11,
From 145411 To 145441,69.83,357,19,5,10,
From 145481 To 145511,49.97,220,7,9,4,
From 145511 To 145541,56.47,156,5,6,0,
From 145581 To 145611,55.0,293,7,3,15,
From 145612 To 145642,69.1,429,15,14,16,
From 145682 To 145712,78.43,403,10,6,14,
From 145712 To 145742,58.53,262,5,7,4,
From 145782 To 145812,80.8,447,15,10,9,
From 145812 To 145842,83.8,485,17,14,9,
From 145883 To 145913,102.0,408,14,16,7,
From 145913 To 145943,68.63,366,11,6,9,
From 149983 To 150013,96.67,454,13,6,18,
From 150013 To 150043,100.13,500,23,16,7,
From 150084 To 150114,98.77,451,8,15,19,
From 150115 To 150145,88.6,449,9,14,11,
From 150185 To 150215,102.6,487,12,12,14,
From 150215 To 150245,96.7,484,10,15,19,
From 150285 To 150315,71.2,316,13,9,7,
From 150315 To 150345,70.4,334,10,8,8,
From 150386 To 150416,46.77,248,7,9,14,
From 150416 To 150446,76.0,340,7,10,7,
From 150486 To 150516,45.5,198,5,11,4,
