 CPUAvg,search,main, Customer:198,AddressDaoImpl:53,Address:195,AService:538,CustomerDaoImpl:65,AService:530,AService:515,Customer:234,Customer:223,AService:522,Customer:139,ShoppingCartDapImpl:44,AController:42,Customer:96,Customer:245,AController:89,Customer:113,Address:135,Address:77,DaoImpl:42,Address:96,Address:165,AController:101,AController:109,AController:108,Customer:126,AService:545,Customer:102,BuyController:55,BuyController:198,Customer:185,AService:508,Address:123,Address:149,ShoppingCart:64,Customer:210,Customer:273,Address:109,Customer:256,AController:54,Customer:160,Customer:148,Customer:88,Address:68,Address:83,CountryDaoImpl:56,AController:134,Customer:290,Customer:173,AController:96,Customer:278
129.07,4389,732,12925,8599,42940,8652,4326,4326,4326,12925,12925,4326,17251,17138,23764,38775,12925,28154,12925,21471,38614,68261,21471,21471,28154,23820,23820,17251,8591,8600,4326,12978,12925,4326,21471,21471,103142,12925,12925,21471,12925,118446,12925,12925,8600,12872,12872,12886,71460,12925,12925,28154,12925
119.8,4178,666,12091,8088,40513,8008,4005,4005,4005,12091,12091,4005,16095,16257,22395,36332,12091,26430,12091,20259,36508,65355,20259,20259,26430,22379,22379,16095,8090,8086,4005,12015,12091,4005,20259,20259,97601,12091,12091,20259,12091,111245,12092,12092,8087,12171,12170,12162,67137,12091,12091,26430,12091
132.9,4551,762,13917,9275,46371,9284,4642,4642,4642,13917,13917,4642,18559,18544,25379,41758,13917,29908,13917,23183,41729,72619,23183,23183,29908,25318,25318,18559,9280,9275,4642,13926,13917,4642,23183,23183,111122,13917,13917,23183,13917,125725,13917,13917,9275,13908,13908,13905,75954,13917,13917,29908,13917
131.47,4428,742,13826,9205,45994,9240,4619,4619,4619,13826,13826,4619,18446,18369,25082,41364,13826,29735,13826,22996,41375,71388,22996,22996,29735,25118,25118,18446,9197,9206,4619,13857,13826,4619,22996,22996,109924,13826,13826,22996,13826,124868,13825,13825,9205,13791,13792,13789,75354,13826,13826,29735,13826
134.1,4626,771,13916,9274,46359,9284,4642,4642,4642,13916,13916,4642,18558,18531,25533,41727,13916,30180,13916,23180,41717,73390,23180,23180,30180,25538,25538,18558,9267,9274,4642,13926,13916,4642,23180,23180,111230,13916,13916,23180,13916,126942,13916,13916,9274,13906,13906,13906,76614,13916,13916,30180,13916
130.93,4521,791,13348,8899,44458,8899,4451,4451,4451,13348,13348,4451,17797,17828,24611,40161,13348,29052,13348,22240,40007,71090,22234,22240,29052,24591,24591,17797,8905,8918,4451,13353,13348,4451,22240,22240,107009,13348,13348,22240,13348,122152,13349,13349,8920,13347,13340,13387,73773,13348,13348,29052,13348
102.4,3611,573,10470,7017,35115,6945,3491,3491,3491,10470,10470,3491,13943,14025,19300,31426,10470,22763,10470,17566,31624,56053,17572,17566,22763,19282,19282,13943,6988,6978,3491,10473,10470,3491,17566,17566,84080,10470,10470,17566,10470,95810,10489,10489,6996,10543,10530,10515,57846,10470,10470,22763,10470
128.47,4373,795,13432,8921,44617,8982,4471,4471,4471,13432,13432,4471,17923,17908,24493,40279,13432,28939,13432,22292,40146,70025,22292,22292,28939,24468,24468,17923,8972,8941,4471,13413,13432,4471,22292,22292,107217,13432,13432,22292,13432,121619,13412,13412,8921,13371,13391,13409,73404,13432,13432,28939,13432
125.63,4331,735,12949,8647,43089,8617,4316,4316,4316,12949,12949,4316,17257,17190,23794,38787,12949,28140,12949,21625,38773,68434,21625,21625,28140,23808,23808,17257,8599,8639,4316,12948,12949,4316,21625,21625,103475,12949,12949,21625,12949,118307,12956,12956,8647,12978,12958,12962,71424,12949,12949,28140,12949
126.87,4522,762,13450,8978,45018,8942,4478,4474,4478,13450,13450,4478,17917,17978,24620,40376,13450,29118,13450,22452,40544,71242,22448,22452,29118,24638,24638,17917,8959,8967,4478,13434,13450,4478,22452,22452,108078,13450,13450,22452,13450,122444,13453,13453,8978,13478,13488,13444,73914,13450,13450,29118,13450
