Period, CPUAvg, person,encounter,obs,concept,
From 10591 To 10621,132.57,349,10,8,12,
From 10621 To 10651,79.83,221,5,3,6,
From 10692 To 10722,117.67,360,12,10,10,
From 10722 To 10752,113.67,308,12,8,6,
From 10792 To 10822,77.23,278,7,9,10,
From 10822 To 10852,123.03,281,7,5,10,
From 10892 To 10922,112.1,297,12,6,7,
From 10922 To 10952,109.77,282,9,6,10,
From 10992 To 11022,90.9,307,10,4,13,
From 11022 To 11052,118.9,305,10,9,12,
From 11092 To 11122,97.83,279,6,12,10,
From 11122 To 11152,136.2,354,13,7,8,
From 11193 To 11223,74.83,238,5,6,8,
From 11223 To 11253,137.63,343,8,8,7,
From 11293 To 11323,110.9,273,4,9,6,
From 11323 To 11353,79.8,258,8,10,5,
From 11393 To 11423,127.1,323,7,11,9,
From 11423 To 11453,113.07,305,7,12,8,
From 11493 To 11523,109.9,254,10,6,6,
From 11523 To 11553,120.53,345,10,15,3,
From 11593 To 11623,106.23,327,8,11,12,
From 11624 To 11654,80.73,201,12,10,6,
From 11694 To 11724,136.8,340,11,12,6,
From 11724 To 11754,96.43,303,9,8,8,
From 11794 To 11824,110.07,291,6,7,14,
From 11824 To 11854,114.83,308,8,9,7,
From 11894 To 11924,106.97,308,9,13,4,
From 11924 To 11954,92.43,281,9,11,6,
From 11994 To 12024,131.83,335,8,7,10,
From 12024 To 12054,118.4,303,7,8,9,
From 12095 To 12125,106.23,300,7,9,7,
From 12125 To 12155,91.4,288,7,12,11,
From 12195 To 12225,126.33,366,9,8,12,
From 12225 To 12255,85.63,274,8,8,7,
From 12295 To 12325,119.77,328,7,11,9,
From 12325 To 12355,105.77,275,8,12,5,
From 12395 To 12425,132.43,347,6,9,10,
From 12425 To 12455,91.17,269,5,7,7,
From 12496 To 12526,126.43,323,9,11,9,
From 12526 To 12556,130.8,335,7,8,7,
From 12596 To 12626,115.47,279,8,6,8,
From 12626 To 12656,113.4,293,8,8,7,
From 12696 To 12726,94.37,318,7,6,11,
From 12726 To 12756,108.47,305,6,13,8,
From 12796 To 12826,103.4,315,7,8,15,
From 12826 To 12856,97.07,322,7,10,12,
From 12896 To 12926,121.8,310,14,5,6,
From 12927 To 12957,116.1,297,10,6,9,
From 12997 To 13027,140.77,345,9,5,12,
From 13027 To 13057,77.33,261,9,9,7,
From 13097 To 13127,121.13,274,8,7,12,
From 13127 To 13157,124.7,295,12,4,9,
From 13197 To 13227,113.17,305,8,7,12,
From 13227 To 13257,105.57,305,7,14,3,
From 13297 To 13327,124.2,346,8,7,11,
From 13327 To 13357,101.5,250,3,13,7,
From 13398 To 13428,105.83,304,8,11,6,
From 13428 To 13458,105.3,306,5,11,8,
From 13498 To 13528,112.97,288,10,12,6,
From 13528 To 13558,112.5,271,7,10,5,
From 13598 To 13628,106.33,308,7,9,4,
From 13628 To 13658,92.43,276,8,10,7,
From 13698 To 13728,129.57,351,11,8,7,
From 13728 To 13758,107.63,315,9,12,9,
From 13799 To 13829,92.13,286,8,8,9,
From 13829 To 13859,125.7,332,7,9,13,
From 13899 To 13929,113.3,296,5,7,6,
From 13929 To 13959,121.27,328,12,6,13,
From 13999 To 14029,97.77,294,9,7,11,
From 14029 To 14059,109.8,273,8,9,10,
From 14099 To 14129,104.2,290,6,12,8,
From 14129 To 14159,89.4,287,7,13,5,
From 14199 To 14229,108.7,311,11,9,7,
From 14270 To 14300,116.57,330,10,9,10,
From 14300 To 14330,111.1,324,7,13,7,
From 14370 To 14400,112.0,298,7,7,8,
From 14400 To 14430,102.87,252,8,7,10,
From 14470 To 14500,133.9,344,10,12,9,
From 14500 To 14530,79.4,252,4,7,10,
From 14570 To 14600,130.13,295,9,13,10,
From 14600 To 14630,123.73,301,9,14,4,
From 14671 To 14701,119.37,312,8,11,6,
From 14701 To 14731,85.57,301,11,7,11,
From 14771 To 14801,114.33,338,8,13,13,
From 14801 To 14831,105.03,276,10,6,9,
From 14871 To 14901,94.2,315,7,9,9,
From 14901 To 14931,127.87,315,4,13,6,
From 14971 To 15001,101.2,271,5,8,13,
From 15001 To 15031,135.43,338,8,9,5,
From 15072 To 15102,95.63,305,13,5,9,
From 15102 To 15132,132.27,329,7,3,6,
From 15172 To 15202,98.23,271,7,11,10,
From 15202 To 15232,124.37,311,6,6,8,
From 15272 To 15302,109.67,308,4,9,11,
From 15302 To 15332,126.03,344,10,7,8,
From 15372 To 15402,108.0,284,11,6,3,
From 15402 To 15432,119.83,296,9,6,13,
