Period, CPUAvg, person,concept,obs,encounter,
From 144219 To 144249,114.93,1037,23,32,27,
From 144289 To 144319,106.37,1041,24,30,32,
From 144319 To 144349,102.13,1091,40,29,23,
From 144389 To 144419,108.67,1084,30,27,27,
From 144419 To 144449,102.63,1029,28,34,25,
From 144489 To 144519,101.37,1047,33,23,28,
From 144519 To 144549,105.7,1097,29,31,19,
From 144589 To 144619,104.2,984,22,30,30,
From 144620 To 144650,106.07,1117,26,35,30,
From 144690 To 144720,108.77,1099,35,32,28,
From 144720 To 144750,102.8,1112,34,23,44,
From 144790 To 144820,106.37,1068,22,31,28,
From 144820 To 144850,105.0,1073,31,27,31,
From 144890 To 144920,110.9,1136,32,28,21,
From 144920 To 144950,105.47,1137,43,35,35,
From 144990 To 145020,106.2,1051,38,20,28,
From 145020 To 145050,101.67,1045,32,27,31,
From 145090 To 145120,139.2,990,29,36,21,
From 145120 To 145150,102.77,1116,39,33,25,
From 145191 To 145221,100.3,1102,44,29,29,
From 145221 To 145251,104.77,1113,33,37,35,
From 145291 To 145321,108.97,1081,34,20,28,
From 145321 To 145351,106.93,1150,26,28,32,
From 145391 To 145421,106.37,1031,26,34,21,
From 145421 To 145451,103.93,1020,32,28,32,
From 145491 To 145521,106.27,1123,28,43,29,
From 145521 To 145551,104.1,1098,30,27,35,
From 145591 To 145621,107.73,1110,37,30,41,
From 145621 To 145651,105.83,1104,33,28,36,
From 145692 To 145722,106.07,1195,24,45,39,
From 145722 To 145752,103.83,1086,30,41,35,
From 145792 To 145822,110.07,1043,26,34,36,
From 145822 To 145852,98.8,1055,24,27,37,
From 145892 To 145922,103.83,1090,40,29,24,
From 145922 To 145952,106.2,1080,35,30,23,
From 149992 To 150022,106.17,1092,31,38,31,
From 150022 To 150052,105.6,1029,30,23,27,
From 150092 To 150122,108.0,1140,25,32,29,
From 150122 To 150152,107.23,1075,32,31,27,
From 150193 To 150223,105.17,1084,29,35,32,
From 150223 To 150253,103.8,1080,24,27,38,
From 150293 To 150323,107.5,1066,23,29,38,
From 150323 To 150353,103.17,1041,28,32,29,
From 150393 To 150423,105.23,1076,25,26,28,
From 150423 To 150453,105.67,1109,30,31,38,
From 150493 To 150523,104.73,1138,44,31,36,
From 150523 To 150553,104.33,1102,36,34,31,
From 150593 To 150623,144.1,961,29,18,34,
From 150624 To 150654,100.23,1142,33,38,29,
From 150694 To 150724,104.17,1080,28,33,27,
From 150724 To 150754,103.67,1043,33,23,24,
From 150794 To 150824,101.47,1068,29,39,27,
From 150824 To 150854,105.17,1084,41,21,24,
From 150894 To 150924,107.43,1096,21,31,41,
From 150924 To 150954,102.77,1146,29,25,47,
From 150994 To 151024,108.87,1078,39,28,26,
From 151025 To 151055,102.2,1073,31,31,35,
From 151095 To 151125,100.63,1037,35,27,27,
From 151125 To 151155,103.8,1128,36,42,30,
From 151195 To 151225,106.03,1050,28,35,30,
From 151225 To 151255,104.1,1032,24,36,32,
From 151295 To 151325,104.8,1054,21,29,32,
From 151325 To 151355,105.3,1093,37,37,20,
From 151395 To 151425,103.2,1075,25,31,36,
From 151426 To 151456,102.4,1036,32,34,16,
From 151496 To 151526,105.03,1079,39,29,26,
From 151526 To 151556,105.63,1034,30,23,31,
From 151596 To 151626,103.83,1089,29,26,32,
From 151626 To 151656,103.03,1099,38,34,33,
From 151696 To 151726,113.8,1024,27,25,30,
From 151726 To 151756,103.47,1118,41,28,32,
From 151796 To 151826,92.9,999,36,30,25,
From 151827 To 151857,96.93,1010,24,31,31,
From 151897 To 151927,100.23,1025,22,24,27,
From 151927 To 151957,100.93,1018,26,27,29,
From 151997 To 152027,100.07,1087,26,29,31,
From 152027 To 152057,98.07,1022,31,29,25,
From 152098 To 152128,102.8,1077,24,29,32,
From 152128 To 152158,89.23,970,21,31,27,
From 152198 To 152228,74.87,651,25,16,24,
From 152228 To 152258,63.67,560,19,19,19,
From 152298 To 152328,67.17,594,12,15,25,
From 152328 To 152358,72.97,621,17,21,12,
From 152398 To 152428,95.47,1049,33,32,33,
From 152429 To 152459,94.2,1045,27,26,29,
From 152499 To 152529,101.23,1067,33,40,35,
From 152529 To 152559,99.47,1091,21,32,34,
From 152599 To 152629,100.3,1044,39,22,29,
From 152629 To 152659,76.1,766,27,21,22,
From 152699 To 152729,72.43,850,21,28,26,
From 152770 To 152800,82.3,927,30,28,24,
From 152800 To 152830,106.27,1052,26,34,26,
From 152870 To 152900,103.17,1085,30,34,27,
From 152900 To 152930,103.83,1040,31,28,24,
From 152970 To 153000,109.73,1128,35,26,29,
From 153000 To 153030,99.9,1094,35,34,31,
From 153071 To 153101,100.2,1091,31,36,25,
From 153101 To 153131,103.83,1097,30,26,35,
From 153171 To 153201,95.2,947,29,28,31,
From 153201 To 153231,101.27,1018,21,26,27,
From 153271 To 153301,103.4,1064,30,31,28,
From 153301 To 153331,101.93,1052,27,41,20,
From 153372 To 153402,95.6,1015,32,29,28,
From 153402 To 153432,94.17,1056,33,35,33,
From 153472 To 153502,98.43,1047,33,27,29,
From 153502 To 153532,104.33,1094,28,27,34,
From 153572 To 153602,92.7,995,24,31,36,
From 153602 To 153632,88.37,880,22,25,20,
From 153673 To 153703,102.2,1052,22,30,28,
From 153703 To 153733,103.53,1049,32,28,30,
From 153773 To 153803,101.9,1022,26,38,25,
From 153803 To 153833,99.7,1128,43,37,31,
From 153873 To 153903,95.13,968,17,28,30,
From 153903 To 153933,103.67,1074,24,33,34,
From 153974 To 154004,104.87,1150,28,40,31,
From 154004 To 154034,86.2,774,27,24,23,
From 154074 To 154104,78.37,714,24,21,20,
From 154104 To 154134,90.53,824,18,19,31,
From 154174 To 154204,100.77,1071,27,23,42,
From 154204 To 154234,99.43,1094,31,37,36,
From 154275 To 154305,101.73,1142,38,28,41,
From 154305 To 154335,100.87,1064,34,31,32,
From 154375 To 154405,96.1,1055,23,30,37,
From 154405 To 154435,77.83,820,24,23,25,
From 154475 To 154505,92.33,977,31,22,24,
From 154505 To 154535,103.8,1022,31,31,27,
From 154576 To 154606,101.9,988,21,37,35,
From 154606 To 154636,101.33,1117,37,31,32,
From 154676 To 154706,105.0,1122,31,35,28,
From 154706 To 154736,103.37,1094,34,38,27,
From 154776 To 154806,105.9,1066,37,33,21,
From 154806 To 154836,97.4,1067,36,22,37,
From 154877 To 154907,99.43,1108,39,22,32,
From 154907 To 154937,109.43,1006,29,27,25,
From 154977 To 155007,103.17,1108,33,41,27,
From 155007 To 155037,102.67,1085,31,34,24,
From 155077 To 155107,102.9,1039,29,35,22,
From 155107 To 155137,108.0,1058,36,18,26,
From 155178 To 155208,102.6,1133,20,34,36,
From 155208 To 155238,102.27,1126,39,32,32,
From 155278 To 155308,104.97,1097,38,30,27,
From 155308 To 155338,101.67,1034,34,25,33,
From 155378 To 155408,104.57,1043,31,26,32,
From 155408 To 155438,101.43,1088,36,33,32,
From 155479 To 155509,101.0,1099,32,38,26,
From 155509 To 155539,99.47,1053,23,41,36,
From 155579 To 155609,101.63,1064,36,31,28,
From 155609 To 155639,107.83,1074,29,27,32,
From 155679 To 155709,102.83,1060,35,24,27,
From 155709 To 155739,104.1,1009,27,21,28,
From 155780 To 155810,101.2,1102,33,36,30,
From 155810 To 155840,105.4,1077,22,29,40,
From 155880 To 155910,107.77,1103,36,26,41,
From 155910 To 155940,103.27,1114,34,21,37,
From 159980 To 160010,98.83,1052,37,37,31,
From 160010 To 160040,102.03,1062,33,32,36,
From 160081 To 160111,96.33,940,30,30,26,
From 160111 To 160141,68.03,540,22,13,11,
From 160181 To 160211,76.53,635,14,13,22,
From 160211 To 160241,101.27,888,26,17,22,
From 160281 To 160311,100.23,1119,34,36,29,
From 160311 To 160341,101.53,1077,38,30,38,
From 160382 To 160412,99.13,1027,24,30,32,
From 160412 To 160442,100.4,1046,26,19,32,
From 160482 To 160512,98.27,996,26,30,25,
From 160512 To 160542,83.9,942,27,26,25,
From 160582 To 160612,91.03,897,22,21,34,
From 160612 To 160642,99.27,985,20,31,29,
From 160683 To 160713,99.3,1020,28,24,25,
From 160713 To 160743,100.57,996,24,38,18,
From 160783 To 160813,98.5,961,20,25,23,
From 160813 To 160843,103.7,1025,33,25,20,
From 160883 To 160913,104.07,1065,28,23,30,
From 160913 To 160943,106.0,1030,28,28,21,
From 160984 To 161014,105.13,1191,39,43,34,
From 161014 To 161044,103.57,1039,22,26,33,
From 161084 To 161114,100.57,1040,30,28,37,
From 161114 To 161144,105.8,1086,21,32,40,
From 161184 To 161214,102.33,1084,34,42,29,
From 161214 To 161244,104.03,1138,35,38,33,
From 161285 To 161315,101.27,1125,35,36,31,
From 161315 To 161345,100.4,989,32,30,34,
From 161385 To 161415,100.1,1085,23,31,31,
From 161415 To 161445,101.67,1051,28,30,29,
From 161485 To 161515,99.33,992,26,30,25,
From 161515 To 161545,105.03,1036,21,32,35,
From 161586 To 161616,100.03,1055,24,31,22,
From 161616 To 161646,104.1,1040,36,27,29,
From 161686 To 161716,94.17,1009,24,33,29,
From 161716 To 161746,108.33,1075,22,36,33,
From 161786 To 161816,104.6,1037,29,24,35,
From 161816 To 161846,104.57,1102,34,33,32,
From 161887 To 161917,80.97,694,22,20,19,
From 161917 To 161947,75.93,588,16,14,17,
From 161987 To 162017,88.07,815,23,20,21,
From 162017 To 162047,98.93,1068,32,27,37,
From 162087 To 162117,100.8,1055,33,38,31,
From 162118 To 162148,105.1,1100,32,26,34,
From 162188 To 162218,99.83,1082,33,31,36,
From 162218 To 162248,96.33,1012,20,44,37,
From 162288 To 162318,81.77,860,22,25,20,
From 162318 To 162348,95.6,1056,39,28,36,
From 162388 To 162418,101.9,1015,30,31,34,
From 162418 To 162448,104.2,1041,24,21,28,
From 162489 To 162519,95.07,1080,41,30,32,
