Period, CPUAvg, person,concept,obs,encounter,
From 162519 To 162549,94.63,994,25,33,30,
From 162589 To 162619,98.9,939,19,21,34,
From 162619 To 162649,100.83,1067,31,38,23,
From 162689 To 162719,102.23,1153,38,47,32,
From 162719 To 162749,99.23,1067,37,32,25,
From 162790 To 162820,103.2,1033,36,30,29,
From 162820 To 162850,98.73,1065,33,34,31,
From 162890 To 162920,94.4,996,20,39,24,
From 162920 To 162950,101.37,1012,19,30,29,
From 162990 To 163020,108.13,1032,23,24,28,
From 163020 To 163050,96.8,1015,30,26,33,
From 163091 To 163121,102.77,1097,28,33,26,
From 163121 To 163151,102.93,1111,30,39,25,
From 163191 To 163221,100.07,971,18,28,33,
From 163221 To 163251,103.17,1020,28,25,28,
From 163291 To 163321,101.77,1058,28,34,32,
From 163321 To 163351,102.53,1023,28,24,33,
From 163392 To 163422,102.6,1123,37,24,34,
From 163422 To 163452,74.97,774,28,19,27,
From 163492 To 163522,98.57,1084,36,32,38,
From 163522 To 163552,95.87,942,26,25,28,
From 163592 To 163622,74.43,727,18,16,17,
From 163623 To 163653,68.83,728,26,17,21,
From 163693 To 163723,27.2,332,12,7,8,
From 163723 To 163753,57.23,616,12,22,22,
From 163793 To 163823,55.53,615,23,16,14,
From 163823 To 163853,55.37,493,11,12,15,
From 163893 To 163923,68.7,752,22,11,20,
From 163924 To 163954,98.67,1052,30,34,29,
From 163994 To 164024,88.67,910,24,24,27,
From 164024 To 164054,89.93,961,30,25,23,
From 164094 To 164124,98.23,989,26,26,31,
From 164124 To 164154,90.9,964,21,22,37,
From 164195 To 164225,82.33,856,24,28,19,
From 164225 To 164255,75.8,741,24,16,17,
From 164295 To 164325,76.2,793,28,17,21,
From 164325 To 164355,92.8,971,27,27,32,
From 164395 To 164425,93.33,929,24,20,26,
From 164425 To 164455,77.97,692,19,25,18,
From 164496 To 164526,40.37,324,7,10,13,
From 164526 To 164556,62.3,550,15,16,16,
From 164596 To 164626,51.43,440,15,9,16,
From 164626 To 164656,54.1,448,14,15,9,
From 164697 To 164727,70.37,711,19,22,20,
From 164727 To 164757,50.6,587,7,23,18,
From 164797 To 164827,91.5,995,33,32,33,
From 164827 To 164857,102.67,995,37,24,22,
From 164897 To 164927,92.7,926,22,26,28,
From 164927 To 164957,88.6,973,35,34,30,
From 164998 To 165028,93.5,1054,33,28,28,
From 165028 To 165058,69.57,666,21,19,21,
From 165098 To 165128,64.83,663,17,19,21,
From 165128 To 165158,63.47,647,21,17,23,
From 165198 To 165228,65.33,671,18,13,21,
From 165228 To 165258,76.93,793,21,25,21,
From 165299 To 165329,72.87,762,28,14,25,
From 165329 To 165359,99.5,1078,40,33,24,
From 165399 To 165429,89.4,867,22,22,16,
From 165429 To 165459,97.77,989,40,28,22,
From 165499 To 165529,87.03,892,20,18,27,
From 165529 To 165559,84.63,912,29,26,24,
From 165600 To 165630,88.17,959,28,33,22,
From 165670 To 165700,91.63,968,33,30,29,
From 165700 To 165730,76.6,797,20,21,22,
From 165770 To 165800,92.7,1010,22,37,30,
From 165800 To 165830,64.07,576,15,25,8,
From 165871 To 165901,86.53,935,33,26,23,
From 165901 To 165931,53.73,535,17,18,14,
From 169971 To 170001,92.03,951,35,31,24,
From 170001 To 170031,71.77,721,20,25,19,
From 170071 To 170101,90.63,923,21,29,30,
From 170101 To 170131,86.13,877,19,28,21,
From 170172 To 170202,66.77,703,27,18,21,
From 170202 To 170232,96.67,1029,31,25,31,
From 170272 To 170302,87.47,871,22,28,24,
From 170302 To 170332,74.17,749,24,21,17,
From 170372 To 170402,89.37,948,23,34,20,
From 170402 To 170432,74.63,662,26,12,14,
From 170473 To 170503,41.93,420,17,11,8,
From 170503 To 170533,64.8,617,18,12,14,
From 170573 To 170603,49.67,483,13,17,7,
From 170603 To 170633,17.77,152,1,2,4,
From 170674 To 170704,0.17,2,0,1,0,
From 170704 To 170734,0.13,3,0,0,0,
From 170774 To 170804,0.17,3,0,0,0,
From 170804 To 170834,0.13,3,0,0,0,
From 170874 To 170904,0.1,3,0,0,0,
From 170905 To 170935,0.2,3,0,0,0,
From 170975 To 171005,0.13,3,0,0,0,
From 171005 To 171035,0.17,3,0,0,0,
From 171075 To 171105,0.9,3,0,0,0,
From 171105 To 171135,2.2,3,0,0,0,
From 171175 To 171205,3.97,3,0,0,0,
From 171206 To 171236,1.57,3,0,0,0,
From 171276 To 171306,18.67,3,0,0,0,
From 171306 To 171336,29.9,124,6,5,3,
From 171376 To 171406,72.6,712,16,24,18,
From 171406 To 171436,53.97,502,16,14,16,
From 171477 To 171507,62.77,663,21,20,18,
From 171507 To 171537,43.63,506,17,11,14,
From 171577 To 171607,36.3,353,9,17,9,
From 171607 To 171637,44.63,447,8,11,14,
From 171678 To 171708,33.43,334,8,8,14,
From 171708 To 171738,51.33,529,7,12,13,
From 171778 To 171808,47.6,566,14,18,23,
From 171808 To 171838,53.07,547,12,11,17,
From 171878 To 171908,64.5,713,17,26,21,
From 171909 To 171939,42.63,383,8,12,8,
From 171979 To 172009,31.43,276,10,6,5,
From 172009 To 172039,43.93,322,11,7,10,
From 172079 To 172109,53.37,507,12,24,16,
From 172110 To 172140,53.23,452,9,12,14,
From 172180 To 172210,39.83,275,9,11,6,
From 172210 To 172240,42.53,441,15,7,12,
From 172280 To 172310,60.33,604,15,12,21,
From 172311 To 172341,75.23,834,24,23,25,
From 172381 To 172411,55.5,616,20,14,13,
From 172411 To 172441,42.23,400,10,19,12,
From 172481 To 172511,64.13,617,15,14,14,
From 172511 To 172541,63.57,687,23,17,21,
From 172582 To 172612,38.53,484,14,15,16,
From 172612 To 172642,48.07,494,22,16,17,
From 172682 To 172712,67.8,741,23,12,23,
From 172712 To 172742,77.97,866,38,29,13,
From 172782 To 172812,65.6,675,19,21,17,
From 172812 To 172842,67.03,686,16,27,19,
From 172883 To 172913,69.27,622,16,16,18,
From 172913 To 172943,74.77,796,22,28,20,
From 172983 To 173013,82.77,838,21,21,33,
From 173013 To 173043,59.33,593,15,12,15,
From 173083 To 173113,65.83,678,27,18,17,
From 173113 To 173143,66.23,702,17,19,24,
From 173184 To 173214,61.43,617,14,17,24,
From 173214 To 173244,42.57,419,12,10,10,
From 173284 To 173314,58.4,659,22,22,11,
From 173314 To 173344,41.3,429,9,15,20,
From 173384 To 173414,60.8,692,24,19,15,
From 173415 To 173445,63.4,740,28,14,28,
From 173485 To 173515,54.7,572,16,23,20,
From 173515 To 173545,67.1,686,21,24,22,
From 173585 To 173615,49.3,491,20,9,10,
From 173615 To 173645,40.83,382,11,8,5,
From 173685 To 173715,62.33,624,12,16,23,
From 173716 To 173746,66.5,779,33,17,23,
From 173786 To 173816,54.73,584,16,14,18,
From 173816 To 173846,61.23,711,8,21,35,
From 173886 To 173916,46.1,453,7,14,22,
From 173916 To 173946,60.73,623,24,18,20,
From 173986 To 174016,58.07,587,20,12,20,
From 174017 To 174047,64.93,749,18,19,26,
From 174087 To 174117,62.13,680,19,17,23,
From 174117 To 174147,32.53,349,8,8,9,
From 174187 To 174217,33.17,335,9,12,8,
From 174217 To 174247,45.8,527,20,16,11,
From 174287 To 174317,37.83,374,11,11,9,
From 174318 To 174348,62.97,647,23,14,18,
From 174388 To 174418,59.93,605,23,12,17,
From 174418 To 174448,59.57,658,21,17,20,
From 174488 To 174518,62.5,651,21,17,17,
From 174519 To 174549,56.73,614,15,18,23,
From 174589 To 174619,57.63,616,18,22,15,
From 174619 To 174649,41.13,444,12,12,12,
From 174689 To 174719,61.73,628,17,22,16,
From 174719 To 174749,53.2,568,15,18,15,
From 174790 To 174820,34.77,335,9,7,9,
From 174820 To 174850,56.2,586,15,14,23,
From 174890 To 174920,62.67,663,8,20,20,
From 174920 To 174950,34.1,368,7,4,18,
From 174990 To 175020,33.97,352,8,7,18,
From 175020 To 175050,47.6,523,16,18,13,
From 175091 To 175121,34.6,366,8,15,8,
From 175121 To 175151,49.9,544,19,14,11,
From 175191 To 175221,38.77,314,8,5,10,
From 175221 To 175251,51.73,559,19,14,11,
From 175291 To 175321,65.03,649,20,22,16,
From 175322 To 175352,56.4,650,21,27,19,
From 175392 To 175422,58.47,588,15,8,22,
From 175422 To 175452,38.33,440,15,10,11,
From 175492 To 175522,61.37,632,23,18,19,
From 175522 To 175552,66.37,722,15,29,21,
From 175592 To 175622,78.67,784,22,22,26,
From 175623 To 175653,71.93,779,24,24,19,
From 175693 To 175723,51.53,423,16,13,10,
From 175723 To 175753,34.87,206,4,4,3,
From 175793 To 175823,21.8,168,3,6,3,
From 175824 To 175854,34.27,325,6,8,13,
From 175894 To 175924,37.17,274,6,5,6,
From 175924 To 175954,34.73,270,8,11,8,
From 179994 To 180024,35.73,299,6,9,5,
From 180024 To 180054,64.23,668,12,27,15,
From 180094 To 180124,34.17,307,12,9,13,
From 180125 To 180155,33.67,387,11,12,8,
From 180195 To 180225,67.73,693,19,21,21,
From 180225 To 180255,66.83,736,22,20,21,
From 180295 To 180325,39.87,367,15,11,11,
From 180325 To 180355,66.33,725,14,19,17,
From 180396 To 180426,83.2,816,22,23,20,
From 180426 To 180456,68.27,745,20,29,30,
From 180496 To 180526,63.97,632,20,14,21,
From 180526 To 180556,64.6,702,23,13,22,
From 180596 To 180626,56.2,600,15,17,22,
From 180626 To 180656,41.3,437,10,16,11,
From 180697 To 180727,65.97,707,28,15,21,
From 180727 To 180757,35.37,317,10,8,7,
From 180797 To 180827,17.77,213,7,12,4,
From 180827 To 180857,75.77,838,38,20,24,
From 180897 To 180927,42.47,478,9,23,17,
From 180927 To 180957,59.7,616,16,18,13,
From 180998 To 181028,57.73,654,19,23,20,
From 181028 To 181058,68.2,709,21,23,18,
From 181098 To 181128,42.6,381,6,12,16,
From 181128 To 181158,49.87,512,6,20,16,
From 181198 To 181228,50.47,555,19,15,20,
From 181228 To 181258,51.9,522,11,14,16,
From 181299 To 181329,66.37,688,12,18,24,
From 181329 To 181359,63.53,649,16,20,19,
From 181399 To 181429,57.47,620,19,19,16,
From 181429 To 181459,58.97,633,18,18,21,
From 181499 To 181529,43.7,342,11,8,9,
From 181570 To 181600,67.1,653,16,18,17,
From 181600 To 181630,62.43,655,26,13,9,
From 181670 To 181700,60.87,647,17,23,16,
From 181700 To 181730,63.3,663,11,17,22,
From 181770 To 181800,69.47,730,23,23,26,
From 181801 To 181831,46.47,428,9,11,12,
From 181871 To 181901,58.1,593,13,14,17,
From 181901 To 181931,34.33,346,10,7,7,
From 181971 To 182001,0.27,2,1,0,0,
From 182002 To 182032,56.43,601,17,18,16,
From 182072 To 182102,59.2,651,16,15,18,
From 182102 To 182132,45.4,440,16,9,13,
From 182172 To 182202,45.33,455,15,13,16,
From 182202 To 182232,38.3,413,5,14,10,
From 182272 To 182302,51.77,596,27,21,14,
From 182303 To 182333,55.1,640,14,17,23,
From 182373 To 182403,68.9,652,14,28,19,
From 182403 To 182433,39.33,356,15,4,10,
From 182473 To 182503,48.23,501,13,16,14,
From 182503 To 182533,46.5,453,13,11,20,
From 182573 To 182603,65.0,671,25,12,13,
From 182604 To 182634,31.7,359,12,15,8,
From 182674 To 182704,40.8,393,11,8,14,
From 182704 To 182734,51.43,532,19,13,13,
From 182775 To 182805,31.27,337,11,6,6,
From 182805 To 182835,34.4,355,7,14,8,
From 182875 To 182905,57.3,566,18,11,14,
From 182905 To 182935,74.27,830,23,14,31,
From 182975 To 183005,43.23,350,11,12,12,
From 183005 To 183035,41.47,523,18,10,18,
From 183076 To 183106,55.17,579,24,17,17,
From 183106 To 183136,31.27,341,10,9,17,
From 183176 To 183206,25.53,296,8,14,9,
From 183206 To 183236,26.37,140,3,8,2,
From 183277 To 183307,17.33,62,4,1,1,
From 183307 To 183337,28.13,209,9,3,9,
From 183378 To 183408,29.17,212,9,5,3,
From 183408 To 183438,28.6,217,7,3,5,
From 183478 To 183508,22.53,174,4,9,7,
From 183508 To 183538,32.5,305,7,4,8,
From 183578 To 183608,38.0,384,10,14,13,
From 183609 To 183639,17.63,197,5,7,8,
From 183679 To 183709,31.6,377,12,8,10,
From 183709 To 183739,27.2,275,8,11,10,
From 183779 To 183809,10.9,132,6,7,2,
From 183809 To 183839,4.8,68,2,2,3,
From 183879 To 183909,28.8,300,10,6,8,
From 183910 To 183940,37.8,412,13,10,12,
From 183980 To 184010,43.23,495,15,23,10,
From 184010 To 184040,35.17,348,5,8,12,
From 184080 To 184110,46.1,521,12,13,12,
From 184111 To 184141,59.97,628,27,20,20,
From 184181 To 184211,58.6,622,18,16,15,
From 184211 To 184241,54.1,581,21,17,18,
From 184281 To 184311,20.57,203,4,3,3,
From 184311 To 184341,64.4,677,25,23,22,
