Period, CPUAvg, person,obs,encounter, ConceptServiceImpl:929,ConceptServiceImpl:300
From 120574 To 120604,95.07,2348,45,81,540,64
From 120604 To 120634,85.43,2051,65,54,760,59
From 120674 To 120704,90.83,2188,62,63,710,69
From 120704 To 120734,80.2,1924,55,44,588,54
From 120774 To 120804,85.3,2127,64,63,752,59
From 120804 To 120834,92.07,2185,60,67,768,62
From 120874 To 120904,95.23,2258,64,63,768,61
From 120905 To 120935,91.33,2263,63,68,765,51
From 120975 To 121005,86.2,2079,64,54,685,69
From 121005 To 121035,84.6,2036,64,61,694,51
From 121075 To 121105,87.17,2115,58,66,655,57
From 121105 To 121135,89.73,2147,65,61,778,60
From 121175 To 121205,86.8,2091,62,70,707,63
From 121205 To 121235,94.2,2303,64,75,788,61
From 121275 To 121305,95.1,2305,62,72,723,63
From 121305 To 121335,89.33,2121,58,65,679,56
From 121375 To 121405,91.67,2218,70,48,784,65
From 121406 To 121436,88.73,2221,66,72,750,72
From 121476 To 121506,89.33,2139,73,51,804,76
From 121506 To 121536,81.53,1996,67,60,722,61
From 121576 To 121606,89.87,2172,67,62,770,73
From 121606 To 121636,87.47,2118,56,63,692,47
From 121676 To 121706,92.73,2217,83,62,946,63
From 121706 To 121736,90,2169,61,70,730,52
From 121776 To 121806,84.57,2051,66,58,760,64
From 121806 To 121836,95.2,2236,60,65,700,67
From 121876 To 121906,92.33,2197,60,71,682,60
From 121907 To 121937,95.47,2328,75,60,896,55
From 121977 To 122007,87.4,2097,60,62,681,61
From 122007 To 122037,87.1,2107,65,65,753,58
From 122077 To 122107,87.47,2087,53,81,595,52
From 122107 To 122137,84.57,1980,60,57,721,58
From 122177 To 122207,88.3,2059,47,52,589,65
From 122207 To 122237,90.4,2219,77,63,771,60
From 122277 To 122307,87.57,2063,57,83,613,59
From 122307 To 122337,88.13,2083,64,57,755,56
From 122377 To 122407,94.83,2249,59,67,687,65
From 122408 To 122438,93.5,2344,65,69,763,74
From 122478 To 122508,83.53,1967,63,51,712,54
From 122508 To 122538,98.93,2295,66,60,730,56
From 122578 To 122608,93.97,2215,75,49,874,63
From 122608 To 122638,91.37,2189,66,55,774,66
From 122678 To 122708,84.03,1994,56,65,660,54
From 122708 To 122738,89.63,2118,67,67,792,58
From 122778 To 122808,91.17,2169,51,79,562,58
From 122808 To 122838,85.23,2040,65,54,797,50
From 122879 To 122909,85.73,2125,61,60,679,65
From 122909 To 122939,91.6,2149,49,55,580,66
From 122979 To 123009,91.27,2165,56,58,619,66
From 123009 To 123039,87.47,2117,72,57,842,60
From 123079 To 123109,90.6,2128,56,57,637,60
From 123109 To 123139,87.43,2041,59,56,690,60
From 123179 To 123209,91.13,2166,75,73,870,52
From 123209 To 123239,87.9,2111,59,61,714,60
From 123279 To 123309,86.43,2007,56,52,693,56
