Period, CPUAvg, person,concept,obs,encounter,
From 100103 To 100133,165.77,547,17,21,16,
From 100173 To 100203,163.17,501,13,14,15,
From 100203 To 100233,166.27,578,16,13,17,
From 100274 To 100304,153.13,618,12,17,22,
From 100304 To 100334,163.33,576,19,16,17,
From 100374 To 100404,184.03,529,19,17,15,
From 100404 To 100434,170.2,564,20,14,16,
From 100474 To 100504,175.53,472,16,8,16,
From 100504 To 100534,170.5,529,16,15,13,
From 100574 To 100604,164.97,594,20,10,19,
From 100605 To 100635,174.3,506,10,12,16,
From 100675 To 100705,175.1,635,29,16,5,
From 100705 To 100735,163.6,510,9,23,12,
From 100775 To 100805,157.73,605,23,15,27,
From 100805 To 100835,173.4,554,19,18,14,
From 100875 To 100905,158.67,514,14,13,21,
From 100905 To 100935,172.93,565,17,19,16,
From 100976 To 101006,165.37,535,14,14,13,
From 101006 To 101036,130.1,567,17,17,13,
From 101076 To 101106,161.17,528,11,17,16,
From 101106 To 101136,163.87,542,14,19,11,
From 101176 To 101206,173.63,515,16,10,15,
From 101206 To 101236,165.13,547,12,13,20,
From 101276 To 101306,173.83,497,17,14,20,
From 101307 To 101337,160.03,531,14,12,16,
From 101377 To 101407,163.7,534,17,19,11,
From 101407 To 101437,164.13,584,21,15,15,
From 101477 To 101507,140.4,492,14,18,14,
From 101507 To 101537,150.1,531,19,16,12,
From 101577 To 101607,157.5,558,24,14,12,
From 101607 To 101637,154.43,535,18,18,17,
From 101678 To 101708,142.47,466,11,11,16,
From 101708 To 101738,121.67,406,10,20,14,
From 101778 To 101808,78.67,221,9,3,8,
From 101809 To 101839,103.27,378,13,10,11,
From 101879 To 101909,157.13,593,16,17,19,
From 101909 To 101939,147.1,564,15,11,23,
From 101979 To 102009,163.43,520,17,14,11,
From 102009 To 102039,162.33,502,11,20,13,
From 102080 To 102110,132.87,426,14,11,15,
From 102110 To 102140,164.0,478,13,15,10,
From 102180 To 102210,146.1,451,18,12,9,
From 102210 To 102240,133.9,491,9,7,16,
From 102280 To 102310,159.17,529,17,18,14,
From 102310 To 102340,152.93,500,15,15,14,
From 102381 To 102411,141.23,488,8,19,14,
From 102411 To 102441,151.87,480,18,9,11,
From 102481 To 102511,112.8,501,12,12,15,
From 102511 To 102541,146.77,456,13,12,16,
From 102581 To 102611,163.43,548,11,14,20,
From 102611 To 102641,111.0,379,13,13,15,
From 102681 To 102711,99.2,358,10,7,7,
From 102712 To 102742,99.6,321,15,9,11,
From 102782 To 102812,105.97,372,12,8,13,
From 102812 To 102842,93.1,260,8,7,7,
From 102882 To 102912,92.63,377,12,8,10,
From 102912 To 102942,66.47,217,7,8,11,
From 102982 To 103012,80.07,230,5,7,8,
From 103013 To 103043,65.77,190,6,8,4,
From 103083 To 103113,67.33,212,5,3,7,
From 103113 To 103143,28.93,6,0,0,1,
From 103183 To 103213,85.57,198,5,5,4,
From 103213 To 103243,63.67,156,8,5,3,
From 103283 To 103313,70.27,262,7,11,6,
From 103314 To 103344,116.83,390,8,16,16,
From 103384 To 103414,83.17,290,6,5,10,
From 103414 To 103444,82.5,267,12,9,6,
From 103484 To 103514,92.97,322,6,5,10,
From 103514 To 103544,115.0,395,10,12,7,
From 103584 To 103614,89.1,320,4,12,9,
From 103615 To 103645,93.4,269,8,11,6,
From 103685 To 103715,35.97,60,1,2,0,
From 103715 To 103745,53.1,211,4,5,10,
From 103786 To 103816,41.47,149,5,1,2,
From 103816 To 103846,33.3,31,1,0,2,
From 103886 To 103916,41.53,128,2,3,2,
From 103916 To 103946,72.47,315,5,8,11,
From 103986 To 104016,51.03,123,4,2,3,
From 104016 To 104046,63.3,270,10,8,6,
From 104086 To 104116,75.5,310,8,8,9,
From 104117 To 104147,50.73,147,1,5,4,
From 104187 To 104217,75.97,316,10,9,8,
From 104217 To 104247,74.47,209,7,10,5,
From 104287 To 104317,54.67,250,6,7,7,
From 104317 To 104347,73.0,317,6,8,13,
From 104388 To 104418,72.43,259,11,7,12,
From 104418 To 104448,125.47,436,10,9,16,
From 104488 To 104518,58.13,161,4,6,5,
From 104518 To 104548,96.47,380,12,19,11,
From 104589 To 104619,60.1,243,8,10,5,
From 104619 To 104649,95.73,369,10,8,9,
From 104689 To 104719,81.33,259,7,7,8,
From 104719 To 104749,102.0,422,15,15,14,
From 104790 To 104820,85.23,283,6,10,9,
From 104820 To 104850,91.2,244,6,8,7,
From 104890 To 104920,98.33,259,11,2,1,
From 104920 To 104950,110.93,463,11,13,11,
From 104990 To 105020,61.3,164,6,7,7,
From 105020 To 105050,121.57,384,13,12,16,
From 105090 To 105120,61.87,221,6,9,2,
From 105121 To 105151,116.1,378,14,8,10,
From 105191 To 105221,70.53,217,7,2,6,
From 105221 To 105251,111.13,361,12,11,9,
From 105291 To 105321,63.4,206,6,5,6,
From 105321 To 105351,108.03,408,13,9,11,
From 105391 To 105421,74.0,224,5,4,5,
From 105421 To 105451,104.33,346,11,9,12,
From 105492 To 105522,70.57,262,6,6,8,
From 105522 To 105552,105.93,333,4,10,8,
From 105592 To 105622,65.03,219,2,4,10,
From 105622 To 105652,104.87,322,7,13,9,
From 105692 To 105722,61.7,181,6,3,8,
From 105722 To 105752,116.73,485,22,10,17,
From 105793 To 105823,58.57,226,8,7,5,
From 105823 To 105853,106.9,423,12,9,12,
From 105893 To 105923,81.8,227,11,5,6,
From 105923 To 105953,111.7,356,6,10,5,
From 109993 To 110023,71.1,236,4,7,3,
From 110023 To 110053,124.53,405,8,19,12,
From 110093 To 110123,47.5,104,1,5,1,
From 110124 To 110154,104.13,412,7,11,17,
From 110194 To 110224,74.37,202,7,3,1,
From 110224 To 110254,118.57,433,12,12,12,
From 110294 To 110324,79.97,201,7,1,6,
From 110324 To 110354,100.07,382,12,15,10,
From 110394 To 110424,101.57,366,8,8,5,
From 110424 To 110454,93.1,221,14,5,4,
From 110495 To 110525,106.07,362,11,12,9,
From 110525 To 110555,78.73,268,8,8,7,
From 110595 To 110625,110.53,400,11,20,8,
From 110625 To 110655,73.13,222,5,7,8,
From 110695 To 110725,113.4,447,14,12,8,
