Period, CPUAvg, person,concept,obs,encounter,
From 110725 To 110755,59.4,187,9,8,7,
From 110795 To 110825,117.77,436,11,14,11,
From 110826 To 110856,66.2,213,6,7,9,
From 110896 To 110926,68.8,289,4,10,11,
From 110926 To 110956,83.4,207,7,3,6,
From 110996 To 111026,104.07,498,13,13,16,
From 111026 To 111056,78.7,263,12,7,16,
From 111096 To 111126,71.47,245,4,7,8,
From 111127 To 111157,105.2,379,15,18,9,
From 111197 To 111227,90.67,337,8,7,10,
From 111227 To 111257,99.7,312,5,13,12,
From 111297 To 111327,94.63,402,9,11,11,
From 111327 To 111357,65.8,196,7,9,7,
From 111397 To 111427,108.3,400,11,10,14,
From 111427 To 111457,77.03,262,9,8,6,
From 111498 To 111528,80.27,346,6,7,10,
From 111528 To 111558,88.37,301,9,13,9,
From 111598 To 111628,73.2,272,9,11,5,
From 111628 To 111658,100.97,300,10,10,10,
From 111698 To 111728,74.97,239,5,4,8,
From 111728 To 111758,103.23,337,10,6,13,
From 111799 To 111829,82.47,340,8,11,9,
From 111829 To 111859,86.4,272,11,10,9,
From 111899 To 111929,94.0,311,8,7,11,
From 111929 To 111959,83.27,293,10,14,10,
From 111999 To 112029,85.2,320,9,14,7,
From 112029 To 112059,83.93,289,8,9,10,
From 112099 To 112129,82.47,239,5,7,7,
From 112170 To 112200,99.8,351,13,10,9,
From 112200 To 112230,66.4,274,7,8,5,
From 112270 To 112300,94.3,280,8,5,12,
From 112301 To 112331,87.93,289,7,5,10,
From 112371 To 112401,100.5,344,11,11,11,
From 112401 To 112431,70.2,284,7,7,6,
From 112471 To 112501,123.77,461,17,14,15,
From 112501 To 112531,68.67,160,4,4,5,
From 112572 To 112602,85.1,356,13,5,8,
From 112602 To 112632,89.57,334,10,12,9,
From 112672 To 112702,92.67,298,7,5,8,
From 112702 To 112732,96.7,287,8,11,4,
From 112772 To 112802,93.27,309,10,18,3,
From 112802 To 112832,80.0,336,7,6,13,
From 112873 To 112903,100.03,355,12,5,18,
From 112903 To 112933,97.47,381,8,8,13,
From 112973 To 113003,81.6,326,10,13,12,
From 113003 To 113033,88.57,258,5,4,12,
From 113073 To 113103,98.07,357,3,16,18,
From 113103 To 113133,68.9,216,7,3,5,
From 113173 To 113203,98.07,319,5,15,12,
From 113204 To 113234,109.4,397,7,15,13,
From 113274 To 113304,59.93,183,2,9,6,
From 113304 To 113334,94.13,342,9,14,10,
From 113374 To 113404,70.17,209,4,13,4,
From 113404 To 113434,109.3,397,18,6,7,
From 113475 To 113505,64.27,174,5,6,8,
From 113505 To 113535,71.07,171,10,5,3,
From 113575 To 113605,71.53,222,6,8,8,
From 113605 To 113635,85.93,236,7,7,6,
From 113675 To 113705,78.33,220,8,5,1,
From 113705 To 113735,105.13,417,7,14,9,
From 113775 To 113805,75.33,218,6,6,6,
From 113806 To 113836,93.9,392,6,11,9,
From 113876 To 113906,65.13,192,7,3,12,
From 113906 To 113936,112.27,463,13,14,14,
From 113976 To 114006,54.57,126,1,8,7,
From 114006 To 114036,110.67,414,5,10,11,
From 114076 To 114106,99.93,285,9,12,8,
From 114106 To 114136,80.5,364,8,6,7,
From 114177 To 114207,79.67,216,4,9,7,
From 114207 To 114237,118.9,435,13,20,10,
From 114277 To 114307,71.67,203,7,7,4,
From 114307 To 114337,109.27,409,5,17,12,
From 114377 To 114407,64.13,214,6,5,7,
From 114407 To 114437,118.77,422,15,14,8,
From 114477 To 114507,56.1,175,7,3,8,
From 114508 To 114538,119.87,451,10,7,20,
From 114578 To 114608,57.6,153,5,5,2,
From 114608 To 114638,119.2,425,7,9,12,
From 114678 To 114708,71.5,165,4,4,9,
From 114708 To 114738,99.67,396,9,9,13,
From 114778 To 114808,77.2,173,9,6,6,
From 114808 To 114838,98.2,362,6,11,10,
From 114879 To 114909,74.67,219,4,10,11,
From 114909 To 114939,96.5,405,10,9,18,
From 114979 To 115009,69.03,219,3,9,8,
From 115009 To 115039,111.07,420,13,12,10,
From 115079 To 115109,57.97,202,5,6,10,
From 115109 To 115139,118.2,472,17,9,14,
From 115179 To 115209,82.67,282,7,9,10,
From 115210 To 115240,103.17,325,15,6,10,
From 115280 To 115310,56.8,211,4,8,7,
From 115310 To 115340,118.87,471,12,11,14,
From 115380 To 115410,56.33,144,5,2,5,
From 115410 To 115440,115.73,385,6,7,13,
From 115480 To 115510,57.2,150,4,5,4,
From 115511 To 115541,107.73,445,16,16,13,
From 115581 To 115611,64.87,196,4,4,6,
From 115611 To 115641,66.97,273,8,8,5,
From 115681 To 115711,97.63,308,7,14,7,
From 115711 To 115741,123.0,450,13,13,11,
From 115781 To 115811,49.47,157,2,8,3,
From 115812 To 115842,83.83,258,13,5,8,
From 115882 To 115912,83.6,341,11,9,12,
From 115912 To 115942,86.7,336,7,9,11,
From 119982 To 120012,81.13,241,9,6,7,
From 120012 To 120042,83.6,286,3,6,6,
From 120082 To 120112,83.53,279,10,12,11,
From 120113 To 120143,72.3,217,3,4,6,
From 120183 To 120213,103.63,388,13,17,12,
From 120213 To 120243,73.13,196,7,3,4,
From 120283 To 120313,95.97,313,12,6,9,
From 120313 To 120343,80.83,239,9,4,3,
From 120383 To 120413,90.77,351,13,9,13,
From 120413 To 120443,78.07,240,3,9,6,
From 120484 To 120514,94.83,341,2,18,10,
From 120514 To 120544,70.47,236,6,6,6,
From 120584 To 120614,114.23,382,12,7,15,
From 120614 To 120644,64.93,245,12,2,6,
From 120684 To 120714,106.57,390,15,14,8,
From 120714 To 120744,60.27,188,9,4,3,
From 120784 To 120814,115.57,464,14,19,9,
From 120815 To 120845,52.07,145,2,4,3,
From 120885 To 120915,111.4,432,15,8,14,
From 120915 To 120945,54.4,132,3,5,4,
From 120985 To 121015,103.03,402,10,10,10,
From 121015 To 121045,60.93,183,3,6,6,
From 121086 To 121116,90.0,301,11,7,6,
From 121116 To 121146,76.3,257,15,3,3,
From 121186 To 121216,102.17,395,12,14,10,
From 121216 To 121246,75.13,259,8,7,8,
From 121286 To 121316,121.03,403,12,9,9,
From 121316 To 121346,71.43,192,9,4,8,
From 121387 To 121417,112.53,466,12,11,17,
From 121417 To 121447,59.77,231,8,4,4,
From 121487 To 121517,99.47,354,8,8,7,
From 121517 To 121547,83.3,247,10,4,7,
From 121587 To 121617,115.73,358,11,4,8,
From 121617 To 121647,71.83,176,7,5,4,
From 121688 To 121718,91.0,419,13,14,7,
From 121718 To 121748,95.93,264,6,16,6,
From 121788 To 121818,104.6,335,14,12,9,
From 121818 To 121848,69.07,221,4,7,10,
From 121888 To 121918,100.93,395,13,11,11,
From 121918 To 121948,53.27,204,4,8,7,
From 121988 To 122018,114.47,427,14,11,11,
From 122019 To 122049,74.17,244,5,6,13,
From 122089 To 122119,107.7,389,6,15,8,
From 122119 To 122149,70.87,235,11,10,7,
From 122189 To 122219,108.93,427,12,18,12,
From 122219 To 122249,90.9,237,5,3,7,
From 122289 To 122319,89.7,394,13,7,9,
From 122320 To 122350,76.97,218,5,3,10,
From 122390 To 122420,97.13,280,4,9,5,
From 122420 To 122450,62.4,224,7,8,3,
From 122490 To 122520,102.97,398,9,14,8,
From 122520 To 122550,66.07,225,8,4,9,
From 122590 To 122620,101.47,359,13,11,5,
From 122620 To 122650,75.53,217,5,8,5,
From 122691 To 122721,83.53,348,10,10,6,
From 122721 To 122751,95.4,306,9,12,8,
From 122791 To 122821,83.97,309,6,6,8,
From 122821 To 122851,88.8,261,5,14,10,
From 122891 To 122921,78.33,302,7,4,9,
From 122921 To 122951,72.2,239,6,8,12,
From 122992 To 123022,90.63,318,9,7,8,
From 123022 To 123052,78.2,225,4,10,5,
From 123092 To 123122,69.7,193,6,7,1,
From 123122 To 123152,105.4,396,11,12,14,
From 123192 To 123222,75.77,279,10,8,7,
From 123222 To 123252,105.53,308,8,8,10,
From 123293 To 123323,77.97,240,7,6,11,
From 123323 To 123353,103.33,394,18,17,7,
From 123393 To 123423,68.53,206,6,9,2,
From 123423 To 123453,91.37,361,10,7,10,
From 123493 To 123523,58.47,218,8,6,6,
From 123523 To 123553,118.77,451,10,17,9,
From 123593 To 123623,77.63,227,4,11,6,
From 123624 To 123654,105.67,406,14,11,13,
From 123694 To 123724,77.87,231,7,9,7,
From 123724 To 123754,106.5,423,9,13,9,
From 123794 To 123824,63.6,188,7,7,3,
From 123824 To 123854,88.3,304,11,9,6,
From 123894 To 123924,44.83,71,0,3,0,
From 123925 To 123955,66.63,160,5,7,3,
From 123995 To 124025,80.07,211,8,6,5,
From 124025 To 124055,69.3,188,3,6,3,
From 124095 To 124125,55.4,139,4,4,7,
From 124125 To 124155,125.03,505,13,9,12,
From 124195 To 124225,57.9,195,4,8,4,
From 124226 To 124256,73.0,235,2,9,6,
From 124296 To 124326,73.7,316,8,10,13,
From 124326 To 124356,94.4,312,10,7,8,
From 124396 To 124426,85.5,302,14,6,13,
From 124426 To 124456,109.33,387,10,13,8,
From 124496 To 124526,65.57,214,2,10,4,
From 124526 To 124556,85.53,316,11,9,7,
From 124597 To 124627,85.53,271,7,10,7,
From 124627 To 124657,76.9,310,7,8,8,
From 124697 To 124727,95.23,332,9,15,11,
From 124727 To 124757,78.63,232,8,6,4,
From 124797 To 124827,90.7,337,9,11,13,
From 124827 To 124857,74.27,217,5,9,4,
From 124897 To 124927,97.23,292,10,6,9,
From 124928 To 124958,68.33,257,5,7,5,
From 124998 To 125028,99.7,349,11,12,12,
From 125028 To 125058,71.57,273,7,9,7,
From 125098 To 125128,97.53,322,9,11,9,
From 125128 To 125158,73.3,224,2,6,6,
From 125198 To 125228,98.53,422,18,15,16,
From 125229 To 125259,72.2,233,9,7,6,
From 125299 To 125329,111.8,359,12,7,11,
From 125329 To 125359,66.8,232,9,5,6,
From 125399 To 125429,88.63,372,7,6,7,
From 125429 To 125459,56.57,141,2,3,7,
From 125499 To 125529,99.5,335,9,11,8,
From 125529 To 125559,70.3,227,8,9,8,
From 125600 To 125630,89.47,343,8,4,15,
From 125670 To 125700,78.17,265,14,5,9,
From 125700 To 125730,61.73,175,6,5,4,
From 125770 To 125800,116.03,424,12,13,13,
From 125800 To 125830,72.07,196,5,3,5,
From 125870 To 125900,86.93,336,10,14,8,
From 125901 To 125931,74.6,283,9,7,5,
From 129971 To 130001,108.27,444,10,16,16,
From 130001 To 130031,70.1,201,5,4,7,
From 130071 To 130101,92.8,387,8,4,13,
From 130101 To 130131,77.33,253,9,8,12,
From 130171 To 130201,73.43,267,10,4,5,
From 130202 To 130232,69.8,183,3,8,7,
From 130272 To 130302,112.7,411,6,11,13,
From 130302 To 130332,63.1,230,3,11,3,
From 130372 To 130402,99.7,260,4,9,8,
From 130402 To 130432,100.7,327,12,9,8,
From 130472 To 130502,99.8,353,5,10,5,
From 130503 To 130533,80.57,216,5,10,9,
From 130573 To 130603,98.87,394,7,9,11,
From 130604 To 130634,54.83,199,9,8,2,
From 130674 To 130704,97.0,376,8,5,12,
From 130704 To 130734,70.63,189,6,10,6,
From 130774 To 130804,87.77,322,6,11,8,
From 130804 To 130834,67.2,206,6,6,3,
From 130874 To 130904,67.73,225,10,7,9,
From 130905 To 130935,89.67,383,15,14,10,
From 130975 To 131005,76.1,261,4,10,7,
From 131005 To 131035,92.87,338,9,5,10,
From 131075 To 131105,69.43,186,6,5,5,
From 131105 To 131135,85.4,296,6,4,11,
From 131175 To 131205,79.93,219,8,7,4,
From 131206 To 131236,83.57,355,14,3,9,
From 131276 To 131306,73.9,260,8,11,3,
From 131306 To 131336,99.37,318,11,4,8,
From 131376 To 131406,65.57,197,6,8,3,
From 131406 To 131436,86.23,277,7,6,6,
From 131476 To 131506,85.67,287,9,7,13,
From 131507 To 131537,61.77,240,6,9,4,
From 131577 To 131607,94.63,365,11,9,14,
From 131607 To 131637,68.23,221,7,8,2,
From 131677 To 131707,102.47,366,13,4,12,
From 131707 To 131737,63.23,167,3,1,7,
From 131777 To 131807,106.13,393,11,9,11,
From 131808 To 131838,58.0,181,5,3,10,
From 131878 To 131908,92.17,315,11,6,5,
From 131908 To 131938,74.07,254,7,9,12,
From 131978 To 132008,91.73,281,10,5,7,
From 132008 To 132038,75.6,214,10,3,10,
From 132078 To 132108,90.93,362,9,13,11,
From 132109 To 132139,74.6,292,8,9,8,
From 132179 To 132209,76.7,238,6,10,3,
From 132209 To 132239,84.8,242,8,9,5,
From 132279 To 132309,65.3,207,5,7,6,
From 132309 To 132339,92.73,337,13,8,5,
From 132379 To 132409,62.3,203,3,6,9,
From 132410 To 132440,87.07,364,16,7,11,
From 132480 To 132510,71.83,240,5,3,12,
From 132510 To 132540,73.4,276,9,7,6,
From 132580 To 132610,76.43,258,4,8,8,
From 132610 To 132640,62.3,231,6,4,6,
From 132681 To 132711,84.47,308,12,11,6,
From 132711 To 132741,51.77,120,3,5,5,
From 132781 To 132811,68.13,260,8,8,5,
From 132811 To 132841,66.13,237,3,7,14,
From 132882 To 132912,76.53,207,4,4,4,
From 132912 To 132942,73.17,298,8,7,2,
From 132982 To 133012,64.6,170,3,8,6,
From 133012 To 133042,73.67,269,9,3,9,
From 133082 To 133112,61.37,212,7,7,5,
From 133113 To 133143,54.43,186,7,7,3,
From 133183 To 133213,61.77,204,4,6,4,
From 133213 To 133243,62.9,217,6,7,3,
From 133283 To 133313,63.27,228,8,6,8,
From 133314 To 133344,63.2,257,4,11,5,
From 133384 To 133414,56.97,178,5,7,3,
From 133414 To 133444,42.67,130,2,2,5,
From 133484 To 133514,64.9,279,10,6,7,
From 133514 To 133544,77.8,249,10,6,6,
From 133585 To 133615,62.37,228,8,4,5,
From 133615 To 133645,71.1,269,11,8,9,
From 133687 To 133717,51.3,199,12,3,5,
From 133718 To 133748,56.33,171,9,2,3,
From 133788 To 133818,80.77,279,7,5,8,
From 133818 To 133848,57.37,164,4,3,6,
From 133888 To 133918,60.33,187,3,2,4,
From 133918 To 133948,64.5,183,2,6,5,
From 133989 To 134019,52.2,172,6,2,7,
From 134019 To 134049,57.5,237,6,8,4,
From 134089 To 134119,61.4,181,3,4,3,
From 134119 To 134149,53.1,172,6,5,3,
From 134190 To 134220,51.93,226,5,5,7,
From 134221 To 134251,63.07,197,7,5,6,
From 134291 To 134321,50.67,111,3,3,2,
From 134322 To 134352,54.67,218,4,2,8,
From 134392 To 134422,51.43,183,5,5,4,
From 134422 To 134452,45.17,148,3,6,5,
From 134493 To 134523,44.2,139,3,3,4,
From 134523 To 134553,62.2,269,8,10,5,
From 134594 To 134624,44.83,104,1,3,5,
From 134624 To 134654,50.97,174,4,6,6,
From 134695 To 134725,50.47,223,3,9,7,
From 134725 To 134755,42.07,189,7,7,3,
From 134795 To 134825,55.6,142,7,1,6,
From 134825 To 134855,41.73,104,1,2,5,
From 134896 To 134926,61.87,246,6,7,6,
From 134926 To 134956,38.63,157,4,3,7,
From 134996 To 135026,37.33,101,0,7,3,
From 135026 To 135056,47.4,150,7,3,6,
From 135097 To 135127,26.33,144,3,1,2,
From 135127 To 135157,60.37,240,5,9,12,
From 135198 To 135228,48.9,122,8,1,2,
From 135228 To 135258,48.87,140,2,3,5,
From 135298 To 135328,34.1,150,4,2,6,
From 135328 To 135358,67.33,220,4,7,8,
From 135399 To 135429,36.47,108,2,5,1,
From 135429 To 135459,68.73,255,10,4,5,
From 135500 To 135530,60.93,247,5,10,11,
From 135570 To 135600,48.63,108,3,1,0,
From 135600 To 135630,43.6,100,5,1,4,
From 135670 To 135700,41.43,81,4,0,1,
From 135701 To 135731,28.4,91,4,0,1,
From 135771 To 135801,60.0,164,4,8,5,
From 135802 To 135832,37.43,88,3,2,3,
From 135872 To 135902,42.5,49,0,1,3,
From 135902 To 135932,67.6,187,5,8,4,
From 139972 To 140002,94.27,395,10,8,8,
From 140002 To 140032,81.03,191,9,6,4,
From 140073 To 140103,99.1,401,8,8,13,
From 140103 To 140133,84.43,248,10,4,6,
From 140173 To 140203,96.73,349,6,12,12,
From 140203 To 140233,62.47,215,11,4,7,
