 CPUAvg,search,buy, AController:74,AController:98,DaoImpl:69,HomeController:69,AController:91,HomeController:107,ItemDaoImpl:86,AController:110,AController:111,HomeController:53,Item:118,AController:136,AController:104,Item:253,AController:43,AService:489,HomeController:91,AController:55
128.77,4530,4365,2118,28225,69317,704,28225,704,1414,23907,23907,7744,91113,71721,28225,91119,23902,1414,704,118830
115.57,3850,4126,2055,26686,64268,692,26686,692,1363,22542,22542,7612,77381,67626,26686,77381,22572,1363,692,112058
132.83,4562,4488,2186,29216,70855,729,29216,728,1459,24731,24731,8008,90666,74193,29216,90666,24716,1459,728,123013
134.37,4621,4494,2138,29427,72261,697,29427,699,1439,24904,24904,7689,93352,74712,29427,93352,24931,1439,699,123875
117.13,3927,4005,1986,25760,63032,656,25760,656,1330,21801,21801,7216,79692,65403,25760,79692,21822,1330,656,108309
139.93,4610,4694,2436,30661,74397,816,30661,815,1621,25930,25930,8965,94459,77790,30661,94459,25873,1621,815,128805
126.4,4407,4298,2026,27848,68502,662,27848,663,1363,23575,23575,7293,88844,70725,27848,88844,23629,1363,663,117297
133.43,4393,4541,2340,29536,71523,777,29536,777,1563,24985,24985,8547,89991,74955,29536,89991,24977,1563,777,124138
131.27,4507,4366,2225,28518,70557,759,28518,758,1467,24166,24166,8338,92720,72498,28518,92720,24176,1467,758,120083
135.17,4541,4535,2315,29590,71741,785,29590,785,1530,25033,25033,8635,91311,75099,29590,91311,24995,1530,785,124459
121.47,4176,4208,2086,27220,66243,711,27220,712,1374,23046,23046,7832,82998,69138,27220,82998,23068,1374,712,114481
123,4120,4249,2216,27492,66371,747,27492,747,1469,23224,23224,8217,84013,69672,27492,84013,23258,1469,747,115485
131.3,4308,4407,2197,28734,68998,727,28734,727,1470,24304,24304,7997,84951,72912,28734,84951,24222,1470,727,120744
122.9,4361,4308,2215,28042,68443,759,28042,759,1456,23721,23721,8349,88092,71163,28042,88092,23801,1456,759,117908
130.17,4257,4459,2248,28736,69602,755,28736,753,1495,24307,24307,8283,86164,72921,28736,86161,24251,1495,753,120704
135.2,4559,4624,2211,29791,72549,728,29791,729,1481,25192,25192,8019,92129,75576,29791,92132,25184,1481,729,125288
125.3,4241,4270,2122,27854,67379,691,27854,690,1432,23567,23567,7590,85431,70701,27854,85431,23533,1432,690,117120
111.4,3671,3792,1928,24688,59599,616,24688,618,1311,20877,20877,6798,73044,62631,24688,73044,20940,1311,618,103711
117.53,3870,4106,2076,26484,63070,702,26484,701,1374,22360,22360,7711,76414,67080,26484,76414,22323,1374,701,111133
122.9,4232,4152,2055,26897,66367,694,26897,695,1361,22788,22788,7645,86113,68364,26897,86111,22823,1361,695,113185
124.87,4278,4178,2064,27300,66791,687,27300,687,1377,23119,23119,7557,86148,69357,27300,86150,23114,1377,687,114950
117.67,4119,4035,1964,26321,64195,629,26321,628,1336,22291,22291,6908,82405,66873,26321,82405,22314,1336,628,110759
119.77,4125,4090,1967,26497,64353,667,26497,667,1299,22402,22402,7337,82709,67206,26497,82709,22301,1299,667,111463
127.9,4358,4222,2075,27982,68075,697,27982,698,1378,23675,23675,7678,86581,71025,27982,86581,23653,1378,698,117720
133.17,4515,4555,2156,29070,71208,719,29070,716,1439,24613,24613,7876,90391,73839,29070,90391,24680,1439,716,122316
128.17,4537,4471,2139,29046,71181,687,29046,689,1451,24574,24574,7579,91342,73722,29046,91342,24582,1451,689,122182
130.57,4358,4382,2273,28759,69680,756,28759,757,1516,24326,24326,8327,88455,72978,28759,88455,24329,1516,757,120952
128.9,4368,4385,2144,28246,69134,721,28246,718,1426,23904,23904,7898,88511,71712,28246,88511,23902,1426,718,118704
132.47,4628,4394,2084,28780,71066,674,28780,675,1409,24381,24381,7425,92878,73143,28780,92878,24418,1409,675,121270
123.4,4161,4182,2024,27119,66019,671,27119,670,1351,22953,22953,7370,84482,68859,27119,84482,22892,1351,670,114088
121.57,4200,4117,2053,27004,65913,682,27004,685,1371,22831,22831,7535,84311,68493,27004,84311,22856,1371,685,113501
134.77,4713,4526,2253,29550,72079,751,29550,751,1502,25017,25017,8261,93298,75051,29550,93298,25000,1502,751,124385
125.07,4266,4278,2051,27641,67275,682,27641,680,1370,23394,23394,7480,85785,70182,27641,85785,23401,1370,680,116270
89.47,3019,2954,1456,19373,47454,466,19373,468,989,16405,16405,5148,60531,49215,19373,60531,16410,989,468,81484
116.3,4014,3899,1866,25352,62386,598,25352,598,1268,21478,21478,6578,81056,64434,25352,81056,21474,1268,598,106734
129.37,4468,4368,2153,28406,69901,699,28406,699,1454,24034,24034,7689,90941,72102,28406,90941,24065,1454,699,119481
131.83,4591,4626,2246,29956,72998,742,29956,740,1506,25345,25345,8140,92537,76035,29956,92537,25364,1506,740,125941
125.5,4188,4252,2133,27628,67242,697,27628,699,1434,23373,23373,7689,85704,70119,27628,85704,23353,1434,699,116229
129.57,4575,4290,2142,28193,69627,729,28193,728,1413,23909,23909,8008,92070,71727,28193,92070,23909,1413,728,118813
134.53,4468,4519,2363,29383,71974,811,29383,811,1552,24843,24843,8921,92597,74529,29383,92597,24853,1552,811,123454
125.03,4196,4270,2122,27852,67338,703,27852,704,1419,23546,23546,7744,84741,70638,27852,84741,23571,1419,704,117145
127.83,4260,4335,2115,27933,68021,707,27933,706,1407,23654,23654,7766,86477,70962,27933,86477,23566,1407,706,117533
132.57,4426,4483,2418,29419,71076,823,29419,823,1597,24877,24877,9053,89004,74631,29419,89004,24903,1597,823,123565
111.2,3731,3785,1890,24328,59446,648,24328,649,1241,20603,20603,7139,74972,61809,24328,74972,20657,1241,649,102337
