Period, CPUAvg, ConceptServiceImpl:929,ConceptServiceImpl:300,
From 1525966415 To 1525966445,82.87,324,28,
From 1525966445 To 1525966475,91.5,448,32,
From 1525966475 To 1525966505,90.83,334,31,
From 1525966505 To 1525966535,87.47,290,29,
From 1525966535 To 1525966565,79.03,426,29,
From 1525966565 To 1525966595,88.43,446,18,
From 1525966595 To 1525966625,85.63,300,29,
From 1525966626 To 1525966656,89.87,334,33,
From 1525966656 To 1525966686,85.2,320,31,
From 1525966686 To 1525966716,87.0,260,33,
From 1525966716 To 1525966746,88.83,436,36,
From 1525966746 To 1525966776,85.3,399,28,
From 1525966776 To 1525966806,84.23,351,37,
From 1525966806 To 1525966836,77.17,392,26,
From 1525966836 To 1525966866,93.1,344,28,
From 1525966866 To 1525966896,88.7,406,27,
From 1525966896 To 1525966926,83.2,334,35,
From 1525966926 To 1525966956,89.13,280,34,
From 1525966957 To 1525966987,83.57,456,29,
From 1525966987 To 1525967017,90.57,348,37,
From 1525967017 To 1525967047,80.6,420,30,
From 1525967047 To 1525967077,89.57,288,41,
From 1525967077 To 1525967107,90.37,308,26,
From 1525967107 To 1525967137,86.43,342,32,
From 1525967137 To 1525967167,76.83,428,28,
From 1525967167 To 1525967197,88.77,446,36,
From 1525967197 To 1525967227,87.63,330,33,
From 1525967227 To 1525967257,84.43,326,29,
From 1525967258 To 1525967288,90.47,418,36,
From 1525967288 To 1525967318,82.8,422,25,
From 1525967318 To 1525967348,89.1,402,27,
From 1525967348 To 1525967378,94.03,280,26,
From 1525967378 To 1525967408,85.97,334,38,
From 1525967408 To 1525967438,86.1,292,41,
From 1525967438 To 1525967468,87.67,308,29,
From 1525967468 To 1525967498,83.77,214,26,
From 1525967498 To 1525967528,87.9,352,30,
From 1525967528 To 1525967558,89.83,278,35,
From 1525967558 To 1525967588,86.4,345,28,
From 1525967589 To 1525967619,86.57,501,29,
From 1525967619 To 1525967649,83.97,304,27,
From 1525967649 To 1525967679,83.23,404,29,
From 1525967679 To 1525967709,86.47,370,29,
From 1525967709 To 1525967739,90.4,337,32,
From 1525967739 To 1525967769,76.4,293,36,
From 1525967769 To 1525967799,85.47,266,33,
From 1525967799 To 1525967829,85.43,360,36,
From 1525967829 To 1525967859,93.23,356,40,
From 1525967859 To 1525967889,85.6,382,33,
From 1525967890 To 1525967920,87.1,371,32,
From 1525967920 To 1525967950,88.27,413,32,
From 1525967950 To 1525967980,88.4,355,36,
From 1525967980 To 1525968010,85.7,369,36,
From 1525968010 To 1525968040,84.5,356,23,
From 1525968040 To 1525968070,82.1,464,25,
From 1525968070 To 1525968100,85.2,318,31,
From 1525968100 To 1525968130,84.73,460,32,
From 1525968130 To 1525968160,83.43,276,34,
From 1525968161 To 1525968191,90.53,326,30,
From 1525968191 To 1525968221,90.6,368,32,
From 1525968221 To 1525968251,84.87,286,42,
From 1525968251 To 1525968281,94.2,287,27,
From 1525968281 To 1525968311,80.87,285,30,
From 1525968311 To 1525968341,90.83,339,32,
From 1525968341 To 1525968371,83.47,363,33,
From 1525968371 To 1525968401,91.67,315,28,
From 1525968401 To 1525968431,90.0,397,32,
From 1525968431 To 1525968461,93.87,290,29,
From 1525968462 To 1525968492,85.43,510,31,
From 1525968492 To 1525968522,88.57,389,37,
From 1525968522 To 1525968552,88.27,331,27,
From 1525968552 To 1525968582,79.37,374,30,
From 1525968582 To 1525968612,86.07,377,43,
From 1525968612 To 1525968642,83.13,329,34,
From 1525968642 To 1525968672,90.77,376,31,
From 1525968672 To 1525968702,86.1,316,36,
